time,Detroit,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Drummond (G. Monroe gains possession),,,,Jump ball: A. Bogut vs. A. Drummond (G. Monroe gains possession)
11:36.0,G. Monroe makes 2-pt shot from 7 ft (assist by R. Jackson),2,2-0,,
11:22.0,,,2-0,,Turnover by H. Barnes (lost ball)
11:08.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,4-0,,
10:51.0,,,4-2,2,A. Bogut makes 2-pt shot from 9 ft
10:24.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Caldwell-Pope),2,6-2,,
10:05.0,,,6-2,,D. Green misses 2-pt shot from 2 ft (block by A. Drummond)
10:03.0,,,6-2,,Offensive rebound by A. Bogut
10:03.0,,,6-4,2,A. Bogut makes 2-pt shot from 1 ft
9:42.0,G. Monroe makes 2-pt shot at rim,2,8-4,,
9:33.0,,,8-4,,S. Curry misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by C. Butler,,8-4,,
9:18.0,R. Jackson misses 2-pt shot from 8 ft,,8-4,,
9:17.0,,,8-4,,Defensive rebound by S. Curry
9:12.0,,,8-7,3,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry)
9:03.0,Shooting foul by A. Bogut (drawn by A. Drummond),,8-7,,
9:03.0,A. Drummond misses free throw 1 of 2,,8-7,,
9:03.0,Offensive rebound by Team,,8-7,,
9:03.0,A. Drummond misses free throw 2 of 2,,8-7,,
9:01.0,,,8-7,,Defensive rebound by D. Green
8:56.0,,,8-7,,Turnover by H. Barnes (lost ball; steal by A. Drummond)
8:49.0,G. Monroe misses 2-pt shot from 2 ft,,8-7,,
8:48.0,Offensive rebound by A. Drummond,,8-7,,
8:48.0,A. Drummond misses 2-pt shot from 1 ft,,8-7,,
8:47.0,Offensive rebound by A. Drummond,,8-7,,
8:47.0,A. Drummond misses 2-pt shot from 1 ft,,8-7,,
8:46.0,,,8-7,,Defensive rebound by D. Green
8:39.0,,,8-7,,K. Thompson misses 2-pt shot from 14 ft
8:38.0,Defensive rebound by R. Jackson,,8-7,,
8:27.0,C. Butler misses 2-pt shot from 18 ft,,8-7,,
8:26.0,,,8-7,,Defensive rebound by A. Bogut
8:16.0,,,8-9,2,D. Green makes 2-pt shot from 18 ft (assist by K. Thompson)
7:48.0,G. Monroe misses 2-pt shot from 7 ft,,8-9,,
7:48.0,,,8-9,,Defensive rebound by Team
7:48.0,Loose ball foul by A. Drummond (drawn by K. Thompson),,8-9,,
7:39.0,,,8-9,,Turnover by K. Thompson (traveling)
7:25.0,K. Caldwell-Pope misses 2-pt shot from 12 ft,,8-9,,
7:24.0,,,8-9,,Defensive rebound by Team
7:13.0,,,8-12,3,S. Curry makes 3-pt shot from 26 ft
6:53.0,A. Drummond misses 2-pt shot from 5 ft,,8-12,,
