time,Miami,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. H. Whiteside (E. Kanter gains possession),,,,Jump ball: S. Adams vs. H. Whiteside (E. Kanter gains possession)
11:43.0,,,0-0,,Turnover by R. Westbrook (bad pass; steal by U. Haslem)
11:35.0,D. Wade makes 2-pt shot from 16 ft,2,2-0,,
11:18.0,Shooting block foul by U. Haslem (drawn by D. Waiters),,2-0,,
11:18.0,,,2-1,1,D. Waiters makes free throw 1 of 2
11:18.0,,,2-1,,D. Waiters misses free throw 2 of 2
11:17.0,Defensive rebound by U. Haslem,,2-1,,
10:57.0,L. Deng makes 2-pt shot from 8 ft,2,4-1,,
10:48.0,,,4-1,,Turnover by E. Kanter (bad pass; steal by D. Wade)
10:44.0,D. Wade makes 2-pt shot from 1 ft,2,6-1,,
10:31.0,,,6-1,,Oklahoma City full timeout
10:31.0,,,6-1,,A. Morrow enters the game for A. Roberson
10:24.0,,,6-3,2,E. Kanter makes 2-pt shot from 19 ft (assist by R. Westbrook)
10:03.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,8-3,,
9:46.0,,,8-5,2,E. Kanter makes 2-pt shot from 17 ft (assist by R. Westbrook)
9:28.0,U. Haslem misses 2-pt shot from 13 ft,,8-5,,
9:27.0,,,8-5,,Defensive rebound by R. Westbrook
9:16.0,,,8-5,,E. Kanter misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by L. Deng,,8-5,,
9:09.0,G. Dragic misses 2-pt shot from 1 ft,,8-5,,
9:08.0,,,8-5,,Defensive rebound by S. Adams
9:02.0,,,8-5,,R. Westbrook misses 2-pt shot from 18 ft
9:00.0,,,8-5,,Offensive rebound by S. Adams
8:57.0,,,8-5,,R. Westbrook misses 3-pt shot from 24 ft
8:56.0,Defensive rebound by U. Haslem,,8-5,,
8:39.0,Shooting foul by S. Adams (drawn by H. Whiteside),,8-5,,
8:39.0,H. Whiteside misses free throw 1 of 2,,8-5,,
8:39.0,Offensive rebound by Team,,8-5,,
8:39.0,H. Whiteside makes free throw 2 of 2,1,9-5,,
8:17.0,,,9-5,,A. Morrow misses 2-pt shot from 11 ft
8:16.0,,,9-5,,Offensive rebound by E. Kanter
8:12.0,,,9-7,2,E. Kanter makes 2-pt shot at rim
7:47.0,U. Haslem misses 2-pt shot from 17 ft,,9-7,,
7:46.0,,,9-7,,Defensive rebound by S. Adams
7:39.0,,,9-7,,Turnover by R. Westbrook (bad pass; steal by U. Haslem)
7:35.0,Turnover by D. Wade (bad pass),,9-7,,
7:20.0,,,9-9,2,E. Kanter makes 2-pt shot from 3 ft (assist by R. Westbrook)
7:01.0,D. Wade makes 2-pt shot from 15 ft,2,11-9,,
6:45.0,,,11-9,,E. Kanter misses 2-pt shot from 1 ft (block by H. Whiteside)
6:44.0,Defensive rebound by G. Dragic,,11-9,,
6:40.0,G. Dragic misses 2-pt shot at rim (block by R. Westbrook),,11-9,,
6:39.0,Offensive rebound by Team,,11-9,,
6:39.0,M. Chalmers enters the game for G. Dragic,,11-9,,
6:30.0,Shooting foul by A. Morrow (drawn by H. Whiteside),,11-9,,
6:30.0,H. Whiteside misses free throw 1 of 2,,11-9,,
6:30.0,Offensive rebound by Team,,11-9,,
6:30.0,H. Whiteside makes free throw 2 of 2,1,12-9,,
6:21.0,,,12-9,,D. Waiters misses 2-pt shot at rim
6:20.0,Defensive rebound by H. Whiteside,,12-9,,
6:11.0,D. Wade makes 2-pt shot from 23 ft,2,14-9,,
6:01.0,,,14-11,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
6:01.0,,,14-11,,Shooting foul by H. Whiteside (drawn by E. Kanter)
6:01.0,,,14-12,1,E. Kanter makes free throw 1 of 1
5:47.0,L. Deng misses 3-pt shot from 24 ft,,14-12,,
5:46.0,,,14-12,,Defensive rebound by R. Westbrook
5:40.0,,,14-15,3,D. Waiters makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:38.0,Miami full timeout,,14-15,,
5:26.0,L. Deng misses 2-pt shot from 2 ft,,14-15,,
5:25.0,Offensive rebound by U. Haslem,,14-15,,
5:25.0,U. Haslem misses 2-pt shot at rim,,14-15,,
5:23.0,,,14-15,,Defensive rebound by A. Morrow
5:18.0,,,14-17,2,R. Westbrook makes 2-pt shot at rim
4:58.0,M. Chalmers makes 3-pt shot from 24 ft (assist by D. Wade),3,17-17,,
4:35.0,,,17-19,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
4:24.0,U. Haslem misses 2-pt shot from 19 ft,,17-19,,
4:23.0,Offensive rebound by L. Deng,,17-19,,
4:17.0,M. Chalmers misses 3-pt shot from 25 ft,,17-19,,
4:16.0,Offensive rebound by Team,,17-19,,
4:16.0,M. Beasley enters the game for U. Haslem,,17-19,,
4:16.0,G. Dragic enters the game for D. Wade,,17-19,,
4:16.0,,,17-19,,M. McGary enters the game for S. Adams
4:06.0,Turnover by M. Beasley (bad pass),,17-19,,
3:51.0,,,17-21,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
3:32.0,H. Whiteside makes 2-pt shot at rim (assist by L. Deng),2,19-21,,
3:19.0,,,19-21,,Offensive foul by M. McGary
