time,Charlotte,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. C. Zeller (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. C. Zeller (D. Nowitzki gains possession)
11:47.0,Personal foul by G. Henderson (drawn by M. Ellis),,0-0,,
11:36.0,,,0-0,,M. Ellis misses 2-pt shot from 18 ft
11:35.0,Defensive rebound by C. Zeller,,0-0,,
11:15.0,M. Williams makes 2-pt shot from 11 ft (assist by C. Zeller),2,2-0,,
10:55.0,,,2-0,,R. Rondo misses 2-pt shot from 18 ft
10:54.0,Defensive rebound by C. Zeller,,2-0,,
10:43.0,M. Williams misses 2-pt shot from 20 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by M. Ellis
10:35.0,Personal foul by M. Kidd-Gilchrist (drawn by R. Jefferson),,2-0,,
10:29.0,,,2-2,2,R. Rondo makes 2-pt shot from 18 ft (assist by M. Ellis)
10:10.0,A. Jefferson misses 2-pt shot from 12 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by D. Nowitzki
9:59.0,,,2-2,,Turnover by R. Rondo (bad pass; steal by G. Henderson)
9:54.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson),2,4-2,,
9:38.0,,,4-5,3,R. Jefferson makes 3-pt shot from 23 ft (assist by T. Chandler)
9:13.0,Turnover by Team (shot clock),,4-5,,
9:03.0,Def 3 sec tech foul by A. Jefferson,,4-5,,
9:03.0,,,4-6,1,D. Nowitzki makes technical free throw
8:55.0,,,4-8,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by T. Chandler)
8:40.0,G. Henderson misses 3-pt shot from 22 ft,,4-8,,
8:39.0,Offensive rebound by A. Jefferson,,4-8,,
8:28.0,M. Williams misses 3-pt shot from 24 ft,,4-8,,
8:27.0,,,4-8,,Defensive rebound by D. Nowitzki
8:11.0,,,4-10,2,D. Nowitzki makes 2-pt shot from 11 ft
7:53.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,4-10,,
7:52.0,Offensive rebound by A. Jefferson,,4-10,,
7:52.0,A. Jefferson makes 2-pt shot at rim,2,6-10,,
7:34.0,,,6-10,,M. Ellis misses 2-pt shot from 14 ft
7:33.0,,,6-10,,Offensive rebound by T. Chandler
7:15.0,,,6-12,2,T. Chandler makes 2-pt shot from 2 ft (assist by R. Jefferson)
6:56.0,M. Kidd-Gilchrist makes 2-pt shot from 13 ft (assist by M. Williams),2,8-12,,
6:44.0,,,8-14,2,M. Ellis makes 2-pt shot from 3 ft
6:35.0,Charlotte full timeout,,8-14,,
6:35.0,,,8-14,,A. Aminu enters the game for D. Nowitzki
6:30.0,M. Williams misses 3-pt shot from 25 ft,,8-14,,
6:29.0,,,8-14,,Defensive rebound by R. Jefferson
6:07.0,,,8-14,,A. Aminu misses 2-pt shot from 3 ft
6:06.0,Defensive rebound by A. Jefferson,,8-14,,
6:02.0,Turnover by M. Williams (step out of bounds),,8-14,,
5:50.0,,,8-14,,R. Jefferson misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by A. Jefferson,,8-14,,
5:38.0,G. Henderson misses 2-pt shot from 15 ft,,8-14,,
5:38.0,,,8-14,,Defensive rebound by R. Jefferson
5:26.0,Shooting block foul by M. Kidd-Gilchrist (drawn by R. Jefferson),,8-14,,
5:26.0,,,8-14,,R. Jefferson misses free throw 1 of 2
5:26.0,,,8-14,,Offensive rebound by Team
5:26.0,,,8-14,,D. Harris enters the game for T. Chandler
5:26.0,,,8-14,,A. Stoudemire enters the game for R. Rondo
5:26.0,,,8-15,1,R. Jefferson makes free throw 2 of 2
5:17.0,,,8-15,,Personal foul by D. Harris (drawn by M. Williams)
5:17.0,M. Williams enters the game for C. Zeller,,8-15,,
5:13.0,,,8-15,,Personal foul by R. Jefferson (drawn by G. Henderson)
5:02.0,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson),2,10-15,,
4:45.0,,,10-15,,Turnover by A. Stoudemire (lost ball; steal by M. Williams)
4:38.0,,,10-15,,Personal foul by M. Ellis (drawn by G. Henderson)
4:30.0,Turnover by G. Henderson (bad pass; steal by D. Harris),,10-15,,
4:22.0,,,10-18,3,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Ellis)
3:59.0,Turnover by A. Jefferson (traveling),,10-18,,
3:59.0,B. Roberts enters the game for M. Kidd-Gilchrist,,10-18,,
3:59.0,L. Stephenson enters the game for G. Henderson,,10-18,,
3:45.0,,,10-18,,A. Stoudemire misses 2-pt shot from 7 ft
3:44.0,Defensive rebound by A. Jefferson,,10-18,,
3:24.0,M. Williams misses 3-pt shot from 25 ft,,10-18,,
3:23.0,,,10-18,,Defensive rebound by R. Jefferson
3:12.0,,,10-18,,A. Stoudemire misses 2-pt shot from 1 ft
3:10.0,Defensive rebound by A. Jefferson,,10-18,,
2:55.0,A. Jefferson misses 2-pt shot from 15 ft,,10-18,,
2:53.0,,,10-18,,Defensive rebound by R. Jefferson
2:51.0,,,10-18,,Dallas full timeout
2:51.0,J. Maxiell enters the game for A. Jefferson,,10-18,,
2:41.0,,,10-20,2,M. Ellis makes 2-pt shot from 5 ft
2:22.0,B. Roberts misses 2-pt shot from 19 ft,,10-20,,
2:21.0,,,10-20,,Defensive rebound by A. Aminu
2:05.0,,,10-20,,M. Ellis misses 2-pt shot from 15 ft
2:04.0,,,10-20,,Offensive rebound by A. Stoudemire
2:00.0,,,10-22,2,A. Stoudemire makes 2-pt shot from 3 ft
1:47.0,L. Stephenson misses 2-pt shot from 18 ft,,10-22,,
1:47.0,Offensive rebound by Team,,10-22,,
1:47.0,,,10-22,,Loose ball foul by A. Stoudemire (drawn by J. Maxiell)
1:47.0,,,10-22,,D. Nowitzki enters the game for M. Ellis
1:47.0,,,10-22,,J. Barea enters the game for R. Jefferson
1:42.0,L. Stephenson makes 2-pt shot from 9 ft,2,12-22,,
1:18.0,,,12-24,2,J. Barea makes 2-pt shot from 6 ft
1:02.0,L. Stephenson makes 2-pt shot at rim,2,14-24,,
0:46.0,,,14-26,2,A. Stoudemire makes 2-pt shot at rim (assist by D. Harris)
0:34.0,M. Williams makes 2-pt shot from 19 ft (assist by B. Roberts),2,16-26,,
0:27.0,,,16-28,2,A. Stoudemire makes 2-pt shot at rim (assist by J. Barea)
0:01.0,M. Williams misses 2-pt shot from 22 ft,,16-28,,
0:00.0,Offensive rebound by J. Maxiell,,16-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by J. Taylor (bad pass; steal by D. Harris),,16-28,,
11:41.0,,,16-28,,Turnover by D. Harris (bad pass; steal by J. Maxiell)
11:30.0,J. Maxiell misses 2-pt shot from 14 ft,,16-28,,
11:29.0,,,16-28,,Defensive rebound by D. Nowitzki
11:17.0,,,16-28,,Turnover by J. Barea (bad pass; steal by M. Williams)
11:02.0,L. Stephenson misses 2-pt shot from 2 ft (block by A. Aminu),,16-28,,
11:02.0,Offensive rebound by Team,,16-28,,
10:59.0,J. Taylor misses 2-pt shot at rim (block by A. Aminu),,16-28,,
10:57.0,,,16-28,,Defensive rebound by D. Nowitzki
10:52.0,,,16-30,2,J. Barea makes 2-pt shot at rim (assist by D. Harris)
10:39.0,L. Stephenson misses 2-pt shot from 21 ft,,16-30,,
10:38.0,Offensive rebound by J. Maxiell,,16-30,,
10:33.0,J. Taylor misses 3-pt shot from 24 ft,,16-30,,
10:32.0,,,16-30,,Defensive rebound by D. Nowitzki
10:29.0,,,16-30,,Shooting foul by J. Taylor (drawn by J. Barea)
10:29.0,,,16-31,1,J. Barea makes free throw 1 of 2
10:29.0,,,16-32,1,J. Barea makes free throw 2 of 2
10:18.0,L. Stephenson misses 2-pt shot from 1 ft (block by A. Aminu),,16-32,,
10:15.0,Offensive rebound by J. Taylor,,16-32,,
10:12.0,J. Maxiell makes 2-pt shot from 2 ft (assist by M. Williams),2,18-32,,
10:12.0,Shooting foul by A. Aminu (drawn by J. Maxiell),,18-32,,
10:12.0,J. Maxiell misses free throw 1 of 1,,18-32,,
10:12.0,,,18-32,,Defensive rebound by Team
9:51.0,,,18-32,,C. Villanueva misses 2-pt shot from 1 ft (block by J. Maxiell)
