time,Washington,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Pekovic (K. Garnett gains possession),,,,Jump ball: M. Gortat vs. N. Pekovic (K. Garnett gains possession)
11:44.0,,,0-0,,Turnover by K. Martin (bad pass; steal by G. Temple)
11:43.0,Shooting foul by K. Martin (drawn by G. Temple),,0-0,,
11:43.0,G. Temple makes free throw 1 of 2,1,1-0,,
11:43.0,G. Temple makes free throw 2 of 2,1,2-0,,
11:22.0,,,2-0,,K. Garnett misses 2-pt shot from 21 ft
11:20.0,,,2-0,,Offensive rebound by R. Rubio
11:17.0,,,2-0,,Shooting foul by M. Gortat (drawn by A. Wiggins)
11:17.0,,,2-0,,A. Wiggins misses free throw 1 of 2
11:17.0,,,2-0,,Offensive rebound by Team
11:17.0,,,2-1,1,A. Wiggins makes free throw 2 of 2
11:00.0,N. Hilario misses 2-pt shot from 14 ft,,2-1,,
10:59.0,Offensive rebound by G. Temple,,2-1,,
10:51.0,N. Hilario misses 2-pt shot from 4 ft (block by K. Garnett),,2-1,,
10:48.0,,,2-1,,Defensive rebound by K. Garnett
10:40.0,,,2-1,,R. Rubio misses 2-pt shot from 1 ft
10:39.0,Defensive rebound by M. Gortat,,2-1,,
10:33.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,4-1,,
10:23.0,Personal foul by J. Wall (drawn by R. Rubio),,4-1,,
10:18.0,,,4-1,,R. Rubio misses 2-pt shot from 19 ft
10:16.0,,,4-1,,Offensive rebound by N. Pekovic
10:15.0,,,4-1,,N. Pekovic misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by M. Gortat,,4-1,,
10:05.0,J. Wall makes 3-pt shot from 24 ft (assist by G. Temple),3,7-1,,
9:48.0,,,7-1,,Turnover by K. Martin (lost ball; steal by G. Temple)
9:44.0,G. Temple makes 2-pt shot at rim,2,9-1,,
9:44.0,,,9-1,,Minnesota full timeout
9:31.0,,,9-1,,Turnover by A. Wiggins (traveling)
9:19.0,Turnover by N. Hilario (3 sec),,9-1,,
9:07.0,,,9-1,,K. Martin misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by M. Gortat,,9-1,,
8:48.0,O. Porter misses 2-pt shot from 19 ft (block by A. Wiggins),,9-1,,
8:47.0,,,9-1,,Defensive rebound by K. Garnett
8:39.0,,,9-1,,A. Wiggins misses 3-pt shot from 23 ft
8:37.0,,,9-1,,Offensive rebound by Team
8:31.0,,,9-1,,Turnover by A. Wiggins (bad pass; steal by J. Wall)
8:27.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,11-1,,
8:06.0,,,11-1,,K. Martin misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by G. Temple,,11-1,,
7:57.0,J. Wall misses 3-pt shot from 24 ft,,11-1,,
7:56.0,Offensive rebound by N. Hilario,,11-1,,
7:51.0,M. Gortat misses 2-pt shot from 14 ft,,11-1,,
7:50.0,,,11-1,,Defensive rebound by K. Martin
7:40.0,,,11-1,,N. Pekovic misses 2-pt shot from 7 ft (block by M. Gortat)
7:38.0,Defensive rebound by G. Temple,,11-1,,
7:30.0,N. Hilario misses 2-pt shot from 11 ft,,11-1,,
7:28.0,,,11-1,,Defensive rebound by N. Pekovic
7:19.0,,,11-1,,K. Garnett misses 2-pt shot from 20 ft
7:17.0,Defensive rebound by J. Wall,,11-1,,
