time,Dallas,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Noel (M. Carter-Williams gains possession),,,,Jump ball: T. Chandler vs. N. Noel (M. Carter-Williams gains possession)
11:42.0,,,0-0,,Turnover by L. Mbah a Moute (lost ball; steal by T. Chandler)
11:36.0,D. Harris misses 2-pt shot at rim,,0-0,,
11:34.0,,,0-0,,Defensive rebound by L. Mbah a Moute
11:30.0,,,0-0,,H. Thompson misses 3-pt shot from 24 ft
11:28.0,,,0-0,,Offensive rebound by N. Noel
11:21.0,,,0-0,,H. Sims misses 2-pt shot from 17 ft
11:19.0,Defensive rebound by A. Aminu,,0-0,,
11:04.0,M. Ellis misses 2-pt shot from 5 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by H. Sims
10:56.0,,,0-2,2,H. Thompson makes 2-pt shot at rim (assist by M. Carter-Williams)
10:45.0,C. Parsons misses 3-pt shot from 26 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by L. Mbah a Moute
10:33.0,,,0-2,,H. Sims misses 2-pt shot from 14 ft
10:31.0,Defensive rebound by T. Chandler,,0-2,,
10:22.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,2-2,,
10:01.0,,,2-2,,Turnover by N. Noel (bad pass)
9:48.0,D. Harris makes 2-pt shot from 1 ft,2,4-2,,
9:32.0,Violation by A. Aminu (def goaltending),,4-2,,
9:32.0,,,4-4,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
9:18.0,,,4-4,,Personal foul by H. Thompson (drawn by D. Harris)
9:10.0,A. Aminu misses 2-pt shot from 6 ft,,4-4,,
9:09.0,,,4-4,,Defensive rebound by N. Noel
8:48.0,,,4-4,,Turnover by M. Carter-Williams (lost ball; steal by T. Chandler)
8:41.0,Turnover by D. Harris (bad pass; steal by M. Carter-Williams),,4-4,,
8:36.0,,,4-6,2,M. Carter-Williams makes 2-pt shot from 1 ft
8:19.0,Turnover by M. Ellis (bad pass; steal by L. Mbah a Moute),,4-6,,
