time,Indiana,pts.away,score,pts.home,Oklahoma City
0:56.0,Offensive rebound by R. Stuckey,,17-28,,
0:51.0,R. Stuckey misses 2-pt shot from 1 ft,,17-28,,
0:51.0,Offensive rebound by I. Mahinmi,,17-28,,
0:51.0,I. Mahinmi makes 2-pt shot from 1 ft,2,19-28,,
0:51.0,Shooting foul by N. Collison (drawn by I. Mahinmi),,19-28,,
0:51.0,L. Scola enters the game for S. Hill,,19-28,,
0:51.0,D. Rudez enters the game for D. West,,19-28,,
0:51.0,,,19-28,,D. Augustin enters the game for R. Westbrook
0:51.0,I. Mahinmi makes free throw 1 of 1,1,20-28,,
0:39.0,,,20-30,2,N. Collison makes 2-pt shot at rim
0:26.0,L. Scola misses 3-pt shot from 22 ft,,20-30,,
0:25.0,,,20-30,,Defensive rebound by S. Ibaka
0:05.0,Personal foul by R. Stuckey (drawn by D. Waiters),,20-30,,
0:02.0,,,20-30,,A. Morrow misses 3-pt shot from 27 ft
0:01.0,Defensive rebound by I. Mahinmi,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-30,,M. McGary misses 2-pt shot from 2 ft
11:48.0,Defensive rebound by C. Watson,,20-30,,
11:33.0,Offensive foul by R. Stuckey,,20-30,,
11:33.0,Turnover by R. Stuckey (offensive foul),,20-30,,
11:21.0,,,20-30,,D. Waiters misses 3-pt shot from 24 ft
11:20.0,Defensive rebound by C. Watson,,20-30,,
11:10.0,Turnover by R. Stuckey (lost ball; steal by N. Collison),,20-30,,
11:05.0,,,20-30,,D. Waiters misses 2-pt shot from 2 ft
11:04.0,,,20-30,,Offensive rebound by A. Morrow
11:04.0,,,20-30,,A. Morrow misses 2-pt shot from 1 ft
11:03.0,,,20-30,,Offensive rebound by A. Morrow
11:02.0,,,20-32,2,A. Morrow makes 2-pt shot from 3 ft
10:45.0,C. Watson misses 3-pt shot from 24 ft,,20-32,,
10:44.0,,,20-32,,Defensive rebound by D. Waiters
10:33.0,,,20-32,,D. Augustin misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by L. Scola,,20-32,,
10:25.0,D. Rudez misses 3-pt shot from 23 ft,,20-32,,
10:24.0,,,20-32,,Defensive rebound by N. Collison
10:11.0,,,20-32,,N. Collison misses 2-pt shot from 15 ft
10:11.0,Defensive rebound by C. Watson,,20-32,,
10:00.0,R. Stuckey makes 3-pt shot from 24 ft (assist by C. Watson),3,23-32,,
9:39.0,,,23-32,,Shooting foul by I. Mahinmi (drawn by M. McGary)
9:39.0,,,23-33,1,M. McGary makes free throw 1 of 2
9:39.0,,,23-34,1,M. McGary makes free throw 2 of 2
9:31.0,I. Mahinmi makes 2-pt shot from 1 ft (assist by C. Watson),2,25-34,,
9:31.0,Shooting foul by M. McGary (drawn by I. Mahinmi),,25-34,,
9:31.0,I. Mahinmi misses free throw 1 of 1,,25-34,,
9:30.0,,,25-34,,Defensive rebound by M. McGary
9:22.0,,,25-36,2,M. McGary makes 2-pt shot from 2 ft (assist by D. Augustin)
9:22.0,,,25-36,,Shooting foul by I. Mahinmi (drawn by M. McGary)
9:22.0,,,25-37,1,M. McGary makes free throw 1 of 1
