time,Golden State,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. P. Gasol (S. Curry gains possession),,,,Jump ball: A. Bogut vs. P. Gasol (S. Curry gains possession)
11:32.0,D. Green misses 3-pt shot from 25 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by J. Butler
11:16.0,Personal foul by H. Barnes (drawn by J. Noah),,0-0,,
11:03.0,,,0-0,,P. Gasol misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by S. Curry,,0-0,,
10:50.0,S. Curry misses 3-pt shot from 24 ft,,0-0,,
10:49.0,Offensive rebound by A. Bogut,,0-0,,
10:49.0,A. Bogut misses 2-pt shot at rim,,0-0,,
10:48.0,,,0-0,,Defensive rebound by M. Dunleavy
10:39.0,,,0-0,,Shooting foul by S. Curry (drawn by D. Rose)
10:39.0,,,0-1,1,D. Rose makes free throw 1 of 2
10:39.0,,,0-2,1,D. Rose makes free throw 2 of 2
10:22.0,A. Bogut misses 2-pt shot from 7 ft (block by P. Gasol),,0-2,,
10:21.0,,,0-2,,Defensive rebound by Team
9:57.0,,,0-2,,D. Rose misses 3-pt shot from 24 ft
9:57.0,,,0-2,,Offensive rebound by Team
9:57.0,,,0-2,,Turnover by Team (shot clock)
9:35.0,K. Thompson misses 2-pt shot from 9 ft,,0-2,,
9:34.0,Offensive rebound by A. Bogut,,0-2,,
9:29.0,K. Thompson misses 3-pt shot from 23 ft,,0-2,,
9:28.0,,,0-2,,Defensive rebound by D. Rose
9:17.0,,,0-2,,M. Dunleavy misses 2-pt shot from 19 ft
9:16.0,Defensive rebound by A. Bogut,,0-2,,
9:09.0,K. Thompson misses 3-pt shot from 24 ft,,0-2,,
9:08.0,,,0-2,,Defensive rebound by J. Noah
9:03.0,,,0-2,,Shooting foul by K. Thompson (drawn by D. Rose)
9:03.0,,,0-3,1,D. Rose makes free throw 1 of 2
9:03.0,,,0-4,1,D. Rose makes free throw 2 of 2
8:47.0,D. Green makes 3-pt shot from 24 ft (assist by K. Thompson),3,3-4,,
8:30.0,,,3-4,,M. Dunleavy misses 2-pt shot from 15 ft (block by H. Barnes)
8:25.0,,,3-4,,Offensive rebound by D. Rose
8:22.0,,,3-4,,Turnover by M. Dunleavy (bad pass; steal by D. Green)
8:16.0,K. Thompson makes 2-pt shot from 19 ft,2,5-4,,
7:58.0,,,5-6,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
