time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Plumlee (E. Bledsoe gains possession),,,,Jump ball: A. Bogut vs. M. Plumlee (E. Bledsoe gains possession)
11:39.0,,,0-2,2,M. Morris makes 2-pt shot from 8 ft
11:18.0,D. Green makes 2-pt shot from 18 ft (assist by S. Curry),2,2-2,,
10:56.0,,,2-2,,M. Morris misses 2-pt shot from 3 ft
10:55.0,Defensive rebound by Team,,2-2,,
10:43.0,Offensive foul by A. Bogut,,2-2,,
10:43.0,Turnover by A. Bogut (offensive foul),,2-2,,
10:31.0,,,2-4,2,G. Dragic makes 2-pt shot from 15 ft
10:18.0,Shooting foul by M. Morris (drawn by H. Barnes),,2-4,,
10:18.0,H. Barnes makes free throw 1 of 2,1,3-4,,
10:18.0,H. Barnes misses free throw 2 of 2,,3-4,,
10:18.0,,,3-4,,Defensive rebound by M. Plumlee
10:06.0,,,3-4,,G. Dragic misses 2-pt shot from 14 ft
10:05.0,Defensive rebound by H. Barnes,,3-4,,
9:54.0,D. Green misses 3-pt shot from 25 ft,,3-4,,
9:53.0,,,3-4,,Defensive rebound by M. Morris
9:43.0,,,3-6,2,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe)
9:27.0,S. Curry makes 3-pt shot from 27 ft (assist by A. Bogut),3,6-6,,
9:18.0,,,6-6,,E. Bledsoe misses 2-pt shot from 10 ft
9:17.0,Defensive rebound by A. Bogut,,6-6,,
9:08.0,S. Curry makes 2-pt shot from 3 ft,2,8-6,,
8:49.0,,,8-6,,M. Morris misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by L. Barbosa,,8-6,,
8:42.0,S. Curry misses 3-pt shot from 26 ft,,8-6,,
8:41.0,,,8-6,,Defensive rebound by M. Plumlee
8:31.0,,,8-6,,G. Dragic misses 2-pt shot from 1 ft (block by A. Bogut)
8:29.0,,,8-6,,Offensive rebound by M. Morris
8:27.0,,,8-8,2,M. Morris makes 2-pt shot from 16 ft
8:27.0,,,8-8,,Technical foul by Team
8:27.0,S. Curry makes technical free throw,1,9-8,,
8:17.0,D. Green misses 2-pt shot from 7 ft,,9-8,,
8:15.0,Offensive rebound by D. Green,,9-8,,
8:15.0,D. Green makes 2-pt shot at rim,2,11-8,,
8:00.0,,,11-8,,M. Morris misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by A. Bogut,,11-8,,
7:46.0,Turnover by D. Green (traveling),,11-8,,
7:30.0,,,11-8,,M. Morris misses 2-pt shot from 12 ft
7:29.0,Defensive rebound by D. Green,,11-8,,
7:20.0,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Curry),3,14-8,,
7:01.0,,,14-8,,M. Morris misses 3-pt shot from 23 ft
7:00.0,Defensive rebound by S. Curry,,14-8,,
6:49.0,S. Curry misses 2-pt shot from 21 ft,,14-8,,
6:48.0,,,14-8,,Defensive rebound by M. Morris
6:45.0,,,14-8,,Turnover by M. Morris (bad pass; steal by H. Barnes)
6:39.0,D. Green misses 3-pt shot from 25 ft,,14-8,,
6:38.0,,,14-8,,Defensive rebound by M. Plumlee
6:36.0,,,14-8,,Turnover by M. Plumlee (lost ball; steal by S. Curry)
6:34.0,S. Curry makes 3-pt shot from 23 ft,3,17-8,,
6:34.0,,,17-8,,Phoenix full timeout
6:19.0,,,17-10,2,M. Plumlee makes 2-pt shot from 6 ft (assist by E. Bledsoe)
6:08.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,19-10,,
5:53.0,,,19-13,3,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe)
5:41.0,,,19-13,,Def 3 sec tech foul by M. Plumlee
5:41.0,S. Curry makes technical free throw,1,20-13,,
5:35.0,Turnover by S. Curry (bad pass),,20-13,,
5:11.0,,,20-16,3,G. Dragic makes 3-pt shot from 25 ft
5:08.0,Turnover by A. Bogut (bad pass; steal by M. Plumlee),,20-16,,
5:03.0,,,20-16,,E. Bledsoe misses 3-pt shot from 24 ft
5:02.0,Defensive rebound by H. Barnes,,20-16,,
4:57.0,S. Curry misses 3-pt shot from 25 ft,,20-16,,
4:55.0,,,20-16,,Defensive rebound by G. Dragic
4:46.0,,,20-16,,M. Morris misses 3-pt shot from 22 ft
4:46.0,Defensive rebound by H. Barnes,,20-16,,
4:27.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,23-16,,
4:04.0,,,23-19,3,G. Dragic makes 3-pt shot from 24 ft
3:51.0,Turnover by S. Curry (bad pass),,23-19,,
