time,Oklahoma City,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. F. Ezeli (D. Green gains possession),,,,Jump ball: S. Adams vs. F. Ezeli (D. Green gains possession)
11:44.0,,,0-2,2,K. Thompson makes 2-pt shot from 16 ft (assist by D. Green)
11:31.0,A. Roberson makes 2-pt shot from 2 ft (assist by S. Ibaka),2,2-2,,
11:13.0,,,2-2,,K. Thompson misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by A. Roberson,,2-2,,
11:04.0,R. Westbrook makes 2-pt shot from 18 ft,2,4-2,,
10:54.0,,,4-2,,F. Ezeli misses 2-pt shot from 2 ft (block by S. Ibaka)
10:53.0,Defensive rebound by S. Adams,,4-2,,
10:49.0,R. Westbrook misses 2-pt shot from 2 ft (block by K. Thompson),,4-2,,
10:49.0,Offensive rebound by Team,,4-2,,
10:46.0,K. Durant makes 2-pt shot from 12 ft (assist by A. Roberson),2,6-2,,
10:38.0,Personal foul by A. Roberson (drawn by D. Green),,6-2,,
10:30.0,,,6-4,2,K. Thompson makes 2-pt shot from 2 ft
10:13.0,K. Durant makes 2-pt shot from 5 ft,2,8-4,,
10:13.0,Shooting foul by F. Ezeli (drawn by K. Durant),,8-4,,
10:13.0,K. Durant makes free throw 1 of 1,1,9-4,,
10:00.0,,,9-4,,Turnover by K. Thompson (traveling)
9:51.0,Shooting foul by F. Ezeli (drawn by R. Westbrook),,9-4,,
9:51.0,R. Westbrook makes free throw 1 of 2,1,10-4,,
9:51.0,,,10-4,,M. Speights enters the game for F. Ezeli
9:51.0,R. Westbrook makes free throw 2 of 2,1,11-4,,
9:44.0,,,11-7,3,S. Curry makes 3-pt shot from 24 ft
9:17.0,R. Westbrook makes 3-pt shot from 26 ft,3,14-7,,
9:04.0,,,14-7,,M. Speights misses 2-pt shot from 8 ft
9:03.0,Defensive rebound by K. Durant,,14-7,,
8:56.0,Turnover by K. Durant (bad pass; steal by D. Green),,14-7,,
8:51.0,,,14-7,,H. Barnes misses 2-pt shot at rim (block by S. Ibaka)
8:50.0,Defensive rebound by A. Roberson,,14-7,,
8:41.0,K. Durant makes 2-pt shot from 15 ft,2,16-7,,
8:35.0,,,16-7,,Golden State full timeout
8:28.0,,,16-9,2,M. Speights makes 2-pt shot from 1 ft (assist by S. Curry)
8:02.0,A. Roberson misses 3-pt shot from 25 ft,,16-9,,
8:00.0,,,16-9,,Defensive rebound by M. Speights
7:49.0,,,16-9,,D. Green misses 3-pt shot from 25 ft
7:48.0,,,16-9,,Offensive rebound by S. Curry
7:45.0,,,16-9,,M. Speights misses 2-pt shot from 12 ft
7:44.0,Defensive rebound by A. Roberson,,16-9,,
7:28.0,S. Adams misses 2-pt shot from 3 ft,,16-9,,
7:27.0,Offensive rebound by S. Ibaka,,16-9,,
7:18.0,K. Durant makes 3-pt shot from 26 ft,3,19-9,,
7:07.0,,,19-9,,S. Curry misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by S. Ibaka,,19-9,,
6:57.0,K. Durant makes 3-pt shot from 26 ft,3,22-9,,
6:43.0,,,22-11,2,D. Green makes 2-pt shot from 13 ft (assist by S. Curry)
6:29.0,K. Durant makes 3-pt shot from 25 ft,3,25-11,,
6:19.0,,,25-11,,S. Curry misses 2-pt shot from 12 ft
6:18.0,Defensive rebound by S. Ibaka,,25-11,,
6:10.0,K. Durant misses 3-pt shot from 26 ft,,25-11,,
6:10.0,Offensive rebound by Team,,25-11,,
6:10.0,,,25-11,,A. Iguodala enters the game for H. Barnes
6:10.0,K. Perkins enters the game for S. Adams,,25-11,,
6:10.0,Offensive foul by K. Perkins,,25-11,,
6:10.0,Turnover by K. Perkins (offensive foul),,25-11,,
5:52.0,,,25-11,,M. Speights misses 2-pt shot from 9 ft
5:51.0,Defensive rebound by A. Roberson,,25-11,,
5:45.0,R. Westbrook makes 2-pt shot from 1 ft,2,27-11,,
5:32.0,,,27-13,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
5:16.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,30-13,,
5:00.0,,,30-15,2,D. Green makes 2-pt shot from 9 ft
4:38.0,R. Westbrook misses 3-pt shot from 25 ft,,30-15,,
4:38.0,,,30-15,,Defensive rebound by D. Green
4:30.0,,,30-18,3,K. Thompson makes 3-pt shot from 23 ft (assist by A. Iguodala)
4:23.0,Oklahoma City full timeout,,30-18,,
4:23.0,P. Jones enters the game for S. Ibaka,,30-18,,
4:19.0,K. Perkins makes 2-pt shot from 5 ft (assist by R. Westbrook),2,32-18,,
4:04.0,,,32-20,2,M. Speights makes 2-pt shot from 1 ft (assist by D. Green)
3:49.0,R. Westbrook makes 2-pt shot from 12 ft,2,34-20,,
3:33.0,Violation by K. Perkins (def goaltending),,34-20,,
3:33.0,,,34-22,2,D. Green makes 2-pt shot from 6 ft (assist by S. Curry)
3:21.0,R. Westbrook misses 2-pt shot from 5 ft (block by S. Curry),,34-22,,
3:18.0,,,34-22,,Defensive rebound by D. Green
3:14.0,,,34-25,3,S. Curry makes 3-pt shot from 27 ft (assist by D. Green)
3:02.0,Turnover by R. Westbrook (bad pass; steal by S. Curry),,34-25,,
2:57.0,,,34-25,,D. Green misses 2-pt shot at rim
2:55.0,Defensive rebound by P. Jones,,34-25,,
2:51.0,,,34-25,,Personal foul by A. Iguodala (drawn by K. Durant)
2:51.0,,,34-25,,S. Livingston enters the game for S. Curry
2:51.0,A. Morrow enters the game for K. Durant,,34-25,,
2:44.0,Shooting foul by M. Speights (drawn by R. Westbrook),,34-25,,
2:44.0,R. Westbrook misses free throw 1 of 2,,34-25,,
2:44.0,Offensive rebound by Team,,34-25,,
2:44.0,,,34-25,,Technical foul by M. Speights (drawn by R. Westbrook)
2:44.0,R. Westbrook makes technical free throw,1,35-25,,
2:44.0,R. Westbrook makes free throw 2 of 2,1,36-25,,
2:25.0,,,36-25,,K. Thompson misses 2-pt shot from 10 ft
2:24.0,Defensive rebound by A. Roberson,,36-25,,
2:18.0,R. Westbrook misses 2-pt shot from 1 ft,,36-25,,
2:18.0,,,36-25,,Defensive rebound by Team
2:10.0,,,36-25,,Turnover by D. Green (bad pass; steal by A. Roberson)
2:06.0,A. Roberson makes 2-pt shot from 2 ft,2,38-25,,
1:53.0,,,38-25,,A. Iguodala misses 2-pt shot from 17 ft
1:53.0,Defensive rebound by P. Jones,,38-25,,
1:30.0,R. Westbrook misses 3-pt shot from 26 ft,,38-25,,
1:29.0,,,38-25,,Defensive rebound by M. Speights
1:22.0,,,38-27,2,S. Livingston makes 2-pt shot from 1 ft
1:08.0,A. Morrow makes 2-pt shot from 16 ft (assist by R. Westbrook),2,40-27,,
0:59.0,,,40-30,3,D. Green makes 3-pt shot from 26 ft (assist by S. Livingston)
0:38.0,P. Jones misses 3-pt shot from 26 ft,,40-30,,
0:37.0,,,40-30,,Defensive rebound by M. Speights
0:27.0,,,40-30,,A. Iguodala misses 3-pt shot from 23 ft
0:26.0,Defensive rebound by Team,,40-30,,
0:26.0,,,40-30,,H. Barnes enters the game for D. Green
0:26.0,K. Durant enters the game for A. Roberson,,40-30,,
0:26.0,R. Jackson enters the game for P. Jones,,40-30,,
0:06.0,R. Westbrook misses 2-pt shot from 22 ft,,40-30,,
0:05.0,,,40-30,,Defensive rebound by H. Barnes
0:02.0,,,40-32,2,H. Barnes makes 2-pt shot from 18 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,40-32,,D. Green misses 3-pt shot from 26 ft
11:50.0,,,40-32,,Offensive rebound by S. Livingston
11:31.0,,,40-35,3,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Curry)
11:14.0,K. Durant makes 2-pt shot from 22 ft,2,42-35,,
11:07.0,Personal foul by P. Jones (drawn by S. Curry),,42-35,,
11:03.0,,,42-35,,S. Curry misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by P. Jones,,42-35,,
10:54.0,K. Durant misses 2-pt shot from 3 ft (block by D. Green),,42-35,,
10:54.0,Offensive rebound by Team,,42-35,,
10:50.0,P. Jones misses 2-pt shot from 5 ft,,42-35,,
10:49.0,,,42-35,,Defensive rebound by D. Green
10:31.0,,,42-35,,D. Green misses 2-pt shot from 3 ft (block by K. Durant)
10:29.0,Defensive rebound by K. Perkins,,42-35,,
10:21.0,P. Jones makes 2-pt shot from 2 ft (assist by K. Perkins),2,44-35,,
10:10.0,,,44-38,3,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry)
10:06.0,Oklahoma City full timeout,,44-38,,
9:52.0,K. Durant makes 2-pt shot from 18 ft,2,46-38,,
9:34.0,,,46-40,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
9:20.0,S. Ibaka enters the game for K. Perkins,,46-40,,
9:15.0,S. Ibaka makes 2-pt shot at rim (assist by K. Durant),2,48-40,,
8:57.0,,,48-42,2,S. Curry makes 2-pt shot at rim (assist by D. Green)
8:43.0,R. Jackson misses 2-pt shot from 18 ft,,48-42,,
8:40.0,Offensive rebound by S. Ibaka,,48-42,,
8:35.0,P. Jones misses 3-pt shot from 25 ft,,48-42,,
8:33.0,,,48-42,,Defensive rebound by S. Curry
8:29.0,Personal foul by R. Jackson (drawn by S. Curry),,48-42,,
8:23.0,,,48-42,,Turnover by S. Curry (lost ball; steal by S. Ibaka)
8:17.0,K. Durant misses 2-pt shot from 3 ft,,48-42,,
8:16.0,,,48-42,,Defensive rebound by A. Iguodala
8:00.0,,,48-44,2,S. Livingston makes 2-pt shot from 14 ft
7:42.0,Turnover by R. Jackson (bad pass; steal by H. Barnes),,48-44,,
7:37.0,,,48-47,3,S. Curry makes 3-pt shot from 27 ft (assist by A. Iguodala)
7:30.0,Oklahoma City full timeout,,48-47,,
7:30.0,R. Westbrook enters the game for R. Jackson,,48-47,,
7:16.0,S. Ibaka misses 2-pt shot from 19 ft,,48-47,,
7:15.0,,,48-47,,Defensive rebound by H. Barnes
7:03.0,,,48-49,2,S. Livingston makes 2-pt shot from 16 ft (assist by D. Green)
6:48.0,R. Westbrook misses 2-pt shot from 2 ft,,48-49,,
6:47.0,Offensive rebound by Team,,48-49,,
6:43.0,Technical foul by Team,,48-49,,
6:43.0,,,48-50,1,S. Curry makes technical free throw
6:22.0,,,48-50,,S. Curry misses 3-pt shot from 29 ft
6:21.0,Defensive rebound by P. Jones,,48-50,,
6:16.0,Shooting foul by H. Barnes (drawn by K. Durant),,48-50,,
6:16.0,K. Durant makes free throw 1 of 2,1,49-50,,
6:16.0,A. Roberson enters the game for P. Jones,,49-50,,
6:16.0,K. Durant makes free throw 2 of 2,1,50-50,,
6:13.0,,,50-50,,Golden State full timeout
6:13.0,P. Jones enters the game for K. Durant,,50-50,,
6:08.0,,,50-50,,H. Barnes misses 2-pt shot from 1 ft
6:07.0,Defensive rebound by A. Roberson,,50-50,,
5:47.0,Turnover by R. Westbrook (lost ball; steal by H. Barnes),,50-50,,
5:42.0,,,50-52,2,H. Barnes makes 2-pt shot from 1 ft
5:20.0,Turnover by S. Ibaka (lost ball; steal by A. Iguodala),,50-52,,
5:10.0,,,50-52,,S. Livingston misses 2-pt shot from 10 ft
5:09.0,Defensive rebound by Team,,50-52,,
5:09.0,,,50-52,,Loose ball foul by H. Barnes (drawn by A. Morrow)
5:09.0,,,50-52,,K. Thompson enters the game for S. Livingston
5:09.0,,,50-52,,J. Holiday enters the game for A. Iguodala
4:52.0,Shooting foul by H. Barnes (drawn by R. Westbrook),,50-52,,
4:52.0,R. Westbrook makes free throw 1 of 2,1,51-52,,
4:52.0,,,51-52,,M. Speights enters the game for H. Barnes
4:52.0,R. Westbrook makes free throw 2 of 2,1,52-52,,
4:28.0,,,52-55,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Thompson)
4:10.0,P. Jones misses 2-pt shot from 4 ft (block by M. Speights),,52-55,,
4:08.0,,,52-55,,Defensive rebound by J. Holiday
