time,Phoenix,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. J. Thompson (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. J. Thompson (E. Bledsoe gains possession)
11:38.0,G. Dragic misses 2-pt shot from 7 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by R. Evans
11:19.0,Violation by P. Tucker (kicked ball),,0-0,,
11:12.0,,,0-2,2,J. Thompson makes 2-pt shot from 8 ft (assist by B. McLemore)
11:02.0,M. Morris makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,2-2,,
10:54.0,,,2-2,,B. McLemore misses 2-pt shot from 4 ft (block by A. Len)
10:53.0,,,2-2,,Offensive rebound by R. Evans
10:52.0,,,2-2,,R. Evans misses 2-pt shot from 2 ft (block by A. Len)
10:50.0,Defensive rebound by A. Len,,2-2,,
10:44.0,P. Tucker misses 3-pt shot from 23 ft,,2-2,,
10:43.0,,,2-2,,Defensive rebound by R. Evans
10:27.0,,,2-2,,R. Gay misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by A. Len,,2-2,,
10:15.0,A. Len misses 2-pt shot from 6 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by J. Thompson
10:03.0,,,2-2,,D. Collison misses 3-pt shot from 25 ft
10:02.0,Defensive rebound by A. Len,,2-2,,
9:59.0,Shooting foul by J. Thompson (drawn by G. Dragic),,2-2,,
9:59.0,G. Dragic makes free throw 1 of 2,1,3-2,,
9:59.0,G. Dragic makes free throw 2 of 2,1,4-2,,
9:34.0,,,4-4,2,R. Gay makes 2-pt shot from 18 ft
9:11.0,M. Morris misses 2-pt shot from 7 ft,,4-4,,
9:10.0,,,4-4,,Defensive rebound by R. Evans
8:55.0,,,4-4,,R. Gay misses 2-pt shot from 4 ft
8:54.0,Defensive rebound by P. Tucker,,4-4,,
8:48.0,E. Bledsoe makes 2-pt shot from 13 ft,2,6-4,,
8:23.0,,,6-4,,Turnover by B. McLemore (lost ball; steal by M. Morris)
8:20.0,Turnover by A. Len (bad pass),,6-4,,
8:06.0,,,6-4,,D. Collison misses 2-pt shot from 2 ft
8:06.0,,,6-4,,Offensive rebound by Team
