time,Sacramento,pts.away,score,pts.home,Memphis
0:37.0,Offensive rebound by Team,,17-24,,
0:37.0,R. Hollins enters the game for R. Gay,,17-24,,
0:37.0,N. Stauskas makes free throw 2 of 2,1,18-24,,
0:27.0,,,18-24,,B. Udrih misses 2-pt shot from 2 ft
0:25.0,Defensive rebound by A. Miller,,18-24,,
0:06.0,D. Williams misses 3-pt shot from 25 ft,,18-24,,
0:06.0,Offensive rebound by N. Stauskas,,18-24,,
0:04.0,N. Stauskas misses 2-pt shot from 1 ft (block by M. Conley),,18-24,,
0:04.0,Offensive rebound by Team,,18-24,,
0:02.0,D. Williams makes 2-pt shot from 2 ft (assist by O. Casspi),2,20-24,,
0:01.0,Personal foul by A. Miller (drawn by M. Conley),,20-24,,
0:00.0,,,20-24,,M. Conley misses 3-pt shot from 43 ft
0:00.0,,,20-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,O. Casspi makes 2-pt shot from 3 ft,2,22-24,,
11:29.0,Personal foul by R. Hollins (drawn by V. Carter),,22-24,,
11:20.0,,,22-26,2,Z. Randolph makes 2-pt shot from 2 ft (assist by N. Calathes)
10:54.0,A. Miller misses 2-pt shot from 7 ft,,22-26,,
10:52.0,,,22-26,,Defensive rebound by K. Koufos
10:43.0,,,22-28,2,Z. Randolph makes 2-pt shot from 14 ft
10:17.0,A. Miller misses 2-pt shot from 9 ft,,22-28,,
10:14.0,,,22-28,,Defensive rebound by B. Udrih
10:07.0,,,22-30,2,K. Koufos makes 2-pt shot from 4 ft (assist by B. Udrih)
10:00.0,Sacramento full timeout,,22-30,,
10:00.0,J. Thompson enters the game for N. Stauskas,,22-30,,
10:00.0,B. McLemore enters the game for R. Hollins,,22-30,,
9:44.0,J. Thompson misses 2-pt shot from 4 ft,,22-30,,
9:42.0,,,22-30,,Defensive rebound by Z. Randolph
9:33.0,,,22-33,3,B. Udrih makes 3-pt shot from 25 ft (assist by Z. Randolph)
9:05.0,D. Williams misses 2-pt shot from 5 ft (block by K. Koufos),,22-33,,
9:05.0,Offensive rebound by Team,,22-33,,
9:05.0,Turnover by Team (shot clock),,22-33,,
8:46.0,,,22-36,3,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph)
8:33.0,D. Williams misses 2-pt shot from 5 ft (block by B. Udrih),,22-36,,
8:32.0,Offensive rebound by D. Williams,,22-36,,
8:32.0,D. Williams makes 2-pt shot from 5 ft,2,24-36,,
8:18.0,,,24-36,,K. Koufos misses 2-pt shot from 5 ft
8:17.0,Defensive rebound by J. Thompson,,24-36,,
8:13.0,Turnover by A. Miller (bad pass),,24-36,,
8:13.0,R. Gay enters the game for O. Casspi,,24-36,,
7:50.0,,,24-36,,Z. Randolph misses 2-pt shot from 16 ft
7:49.0,,,24-36,,Offensive rebound by K. Koufos
7:49.0,,,24-36,,K. Koufos misses 2-pt shot from 1 ft
7:46.0,Defensive rebound by R. Gay,,24-36,,
7:44.0,Shooting foul by V. Carter (drawn by D. Williams),,24-36,,
7:44.0,D. Williams misses free throw 1 of 2,,24-36,,
7:44.0,Offensive rebound by Team,,24-36,,
7:44.0,,,24-36,,M. Gasol enters the game for K. Koufos
7:44.0,,,24-36,,J. Green enters the game for V. Carter
7:44.0,D. Williams makes free throw 2 of 2,1,25-36,,
7:24.0,,,25-39,3,J. Green makes 3-pt shot from 22 ft (assist by B. Udrih)
7:07.0,B. McLemore misses 2-pt shot from 1 ft,,25-39,,
7:07.0,,,25-39,,Defensive rebound by Team
7:07.0,Loose ball foul by J. Thompson (drawn by M. Gasol),,25-39,,
7:07.0,R. McCallum enters the game for A. Miller,,25-39,,
6:57.0,,,25-41,2,B. Udrih makes 2-pt shot from 1 ft (assist by M. Gasol)
6:43.0,D. Williams makes 2-pt shot from 1 ft,2,27-41,,
6:24.0,,,27-41,,Z. Randolph misses 2-pt shot from 17 ft
6:23.0,Defensive rebound by B. McLemore,,27-41,,
6:14.0,R. Gay makes 2-pt shot from 9 ft,2,29-41,,
5:57.0,,,29-43,2,B. Udrih makes 2-pt shot from 16 ft (assist by M. Gasol)
5:44.0,,,29-43,,Violation by J. Green (kicked ball)
5:44.0,Sacramento full timeout,,29-43,,
5:30.0,J. Thompson misses 2-pt shot from 15 ft,,29-43,,
5:30.0,Offensive rebound by Team,,29-43,,
5:30.0,Turnover by Team (shot clock),,29-43,,
5:13.0,,,29-43,,Offensive foul by M. Gasol
5:13.0,,,29-43,,Turnover by M. Gasol (offensive foul)
5:13.0,,,29-43,,C. Lee enters the game for B. Udrih
5:13.0,,,29-43,,M. Conley enters the game for N. Calathes
4:59.0,R. Gay makes 2-pt shot from 22 ft (assist by R. McCallum),2,31-43,,
4:36.0,,,31-43,,Turnover by C. Lee (bad pass)
4:31.0,Turnover by R. McCallum (traveling),,31-43,,
4:14.0,,,31-43,,J. Green misses 2-pt shot from 2 ft (block by J. Thompson)
4:12.0,,,31-43,,Offensive rebound by M. Gasol
4:12.0,,,31-45,2,M. Gasol makes 2-pt shot from 3 ft
4:00.0,D. Williams misses 2-pt shot from 1 ft,,31-45,,
3:58.0,Offensive rebound by D. Williams,,31-45,,
3:55.0,R. Gay makes 2-pt shot from 1 ft,2,33-45,,
3:49.0,,,33-47,2,J. Green makes 2-pt shot from 1 ft
3:49.0,,,33-47,,Shooting foul by J. Thompson (drawn by J. Green)
3:49.0,R. Evans enters the game for D. Williams,,33-47,,
3:49.0,,,33-48,1,J. Green makes free throw 1 of 1
3:30.0,R. McCallum misses 3-pt shot from 22 ft,,33-48,,
3:30.0,Offensive rebound by R. McCallum,,33-48,,
3:12.0,Shooting foul by M. Gasol (drawn by R. McCallum),,33-48,,
3:12.0,R. McCallum makes free throw 1 of 2,1,34-48,,
3:12.0,,,34-48,,K. Koufos enters the game for M. Gasol
3:12.0,R. McCallum misses free throw 2 of 2,,34-48,,
3:11.0,,,34-48,,Defensive rebound by K. Koufos
2:47.0,,,34-48,,Z. Randolph misses 2-pt shot from 13 ft
2:45.0,Defensive rebound by R. Gay,,34-48,,
2:38.0,Offensive foul by J. Thompson,,34-48,,
2:38.0,Turnover by J. Thompson (offensive foul),,34-48,,
2:38.0,,,34-48,,Memphis full timeout
2:38.0,R. Hollins enters the game for J. Thompson,,34-48,,
2:20.0,Personal foul by R. Evans (drawn by Z. Randolph),,34-48,,
2:16.0,,,34-48,,M. Conley misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by R. McCallum,,34-48,,
2:01.0,R. McCallum makes 2-pt shot from 2 ft (assist by R. Gay),2,36-48,,
1:47.0,,,36-48,,C. Lee misses 2-pt shot from 17 ft
1:46.0,,,36-48,,Offensive rebound by Z. Randolph
1:46.0,,,36-48,,Shooting foul by R. Hollins (drawn by Z. Randolph)
1:46.0,,,36-49,1,Z. Randolph makes free throw 1 of 2
1:46.0,,,36-50,1,Z. Randolph makes free throw 2 of 2
1:25.0,Shooting foul by J. Green (drawn by R. Gay),,36-50,,
1:25.0,R. Gay makes free throw 1 of 2,1,37-50,,
1:25.0,R. Gay makes free throw 2 of 2,1,38-50,,
1:15.0,Violation by R. McCallum (kicked ball),,38-50,,
1:07.0,,,38-50,,M. Conley misses 2-pt shot from 5 ft
1:05.0,,,38-50,,Offensive rebound by K. Koufos
1:00.0,,,38-52,2,C. Lee makes 2-pt shot from 22 ft (assist by Z. Randolph)
0:50.0,R. McCallum misses 2-pt shot from 2 ft,,38-52,,
0:50.0,Offensive rebound by R. Evans,,38-52,,
0:50.0,R. Evans makes 2-pt shot at rim,2,40-52,,
0:42.0,Personal foul by R. Hollins (drawn by M. Conley),,40-52,,
0:42.0,,,40-53,1,M. Conley makes free throw 1 of 2
0:42.0,,,40-54,1,M. Conley makes free throw 2 of 2
0:33.0,,,40-54,,Personal foul by J. Green (drawn by R. Gay)
0:33.0,R. Evans makes free throw 1 of 2,1,41-54,,
0:33.0,D. Williams enters the game for R. Hollins,,41-54,,
0:33.0,R. Evans misses free throw 2 of 2,,41-54,,
0:33.0,,,41-54,,Defensive rebound by Z. Randolph
0:21.0,,,41-56,2,C. Lee makes 2-pt shot from 16 ft (assist by M. Conley)
0:02.0,R. Gay misses 2-pt shot from 7 ft,,41-56,,
0:01.0,Offensive rebound by R. Evans,,41-56,,
0:01.0,R. Evans makes 2-pt shot from 1 ft,2,43-56,,
0:01.0,,,43-56,,Violation by K. Koufos (def goaltending)
0:00.0,,,43-56,,Z. Randolph misses 3-pt shot from 59 ft
0:00.0,,,43-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-56,,Violation by M. Conley (kicked ball)
11:35.0,B. McLemore makes 3-pt shot from 22 ft,3,46-56,,
11:12.0,,,46-56,,Turnover by Z. Randolph (bad pass; steal by R. Gay)
11:07.0,R. McCallum misses 2-pt shot from 1 ft (block by M. Conley),,46-56,,
11:07.0,Offensive rebound by Team,,46-56,,
10:53.0,R. Gay misses 2-pt shot from 8 ft,,46-56,,
10:53.0,,,46-56,,Defensive rebound by M. Gasol
10:36.0,,,46-56,,Turnover by Z. Randolph (lost ball; steal by R. Evans)
10:28.0,R. Evans misses 2-pt shot from 3 ft,,46-56,,
10:27.0,Offensive rebound by R. Evans,,46-56,,
10:17.0,Offensive foul by R. Evans,,46-56,,
10:17.0,Turnover by R. Evans (offensive foul),,46-56,,
10:04.0,,,46-59,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
9:39.0,R. Gay misses 2-pt shot from 4 ft,,46-59,,
9:38.0,,,46-59,,Defensive rebound by Z. Randolph
9:23.0,,,46-59,,M. Gasol misses 2-pt shot from 12 ft
9:21.0,Defensive rebound by R. Gay,,46-59,,
9:06.0,J. Thompson misses 2-pt shot from 2 ft,,46-59,,
9:04.0,,,46-59,,Defensive rebound by J. Green
8:59.0,,,46-61,2,C. Lee makes 2-pt shot from 12 ft (assist by J. Green)
8:43.0,J. Thompson misses 2-pt shot from 13 ft,,46-61,,
8:43.0,,,46-61,,Defensive rebound by Z. Randolph
8:32.0,,,46-61,,C. Lee misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by R. Evans,,46-61,,
8:20.0,J. Thompson makes 2-pt shot from 3 ft (assist by R. McCallum),2,48-61,,
8:05.0,,,48-61,,J. Green misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by J. Thompson,,48-61,,
7:57.0,Turnover by R. Gay (bad pass; steal by M. Conley),,48-61,,
7:52.0,,,48-63,2,M. Conley makes 2-pt shot from 1 ft (assist by J. Green)
7:52.0,Sacramento full timeout,,48-63,,
7:52.0,C. Landry enters the game for J. Thompson,,48-63,,
7:37.0,C. Landry makes 2-pt shot from 1 ft (assist by R. Evans),2,50-63,,
7:16.0,,,50-63,,Z. Randolph misses 2-pt shot from 20 ft
7:15.0,Defensive rebound by R. McCallum,,50-63,,
7:01.0,R. Gay makes 2-pt shot from 2 ft,2,52-63,,
6:37.0,,,52-63,,Shooting foul by R. Evans (drawn by Z. Randolph)
6:37.0,,,52-64,1,Z. Randolph makes free throw 1 of 2
6:37.0,,,52-64,,V. Carter enters the game for M. Gasol
6:37.0,N. Stauskas enters the game for B. McLemore,,52-64,,
6:37.0,,,52-65,1,Z. Randolph makes free throw 2 of 2
6:22.0,R. Gay misses 2-pt shot from 5 ft,,52-65,,
6:20.0,Offensive rebound by R. Gay,,52-65,,
6:20.0,R. Gay makes 2-pt shot from 2 ft,2,54-65,,
5:57.0,,,54-65,,Z. Randolph misses 2-pt shot from 4 ft
5:56.0,Defensive rebound by R. Evans,,54-65,,
5:39.0,Turnover by C. Landry (lost ball; steal by Z. Randolph),,54-65,,
5:26.0,,,54-67,2,C. Lee makes 2-pt shot from 19 ft (assist by J. Green)
5:04.0,R. Gay misses 3-pt shot from 22 ft,,54-67,,
5:03.0,,,54-67,,Defensive rebound by V. Carter
4:45.0,,,54-69,2,Z. Randolph makes 2-pt shot at rim
4:33.0,R. McCallum makes 2-pt shot from 8 ft,2,56-69,,
4:33.0,Shooting foul by M. Conley (drawn by R. McCallum),,56-69,,
4:33.0,D. Williams enters the game for R. Evans,,56-69,,
4:33.0,R. McCallum makes free throw 1 of 1,1,57-69,,
4:20.0,,,57-71,2,M. Conley makes 2-pt shot from 1 ft
4:05.0,Turnover by R. McCallum (traveling),,57-71,,
4:05.0,A. Miller enters the game for R. McCallum,,57-71,,
4:05.0,,,57-71,,Memphis full timeout
3:56.0,Personal foul by N. Stauskas (drawn by J. Green),,57-71,,
3:40.0,,,57-71,,V. Carter misses 3-pt shot from 24 ft
3:37.0,Defensive rebound by C. Landry,,57-71,,
3:23.0,R. Gay makes 2-pt shot at rim,2,59-71,,
3:06.0,,,59-71,,M. Conley misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by N. Stauskas,,59-71,,
2:57.0,,,59-71,,Personal foul by M. Conley (drawn by C. Landry)
2:57.0,,,59-71,,M. Gasol enters the game for Z. Randolph
2:47.0,D. Williams misses 3-pt shot from 25 ft,,59-71,,
2:47.0,,,59-71,,Defensive rebound by M. Gasol
2:40.0,,,59-71,,M. Conley misses 2-pt shot at rim (block by N. Stauskas)
2:37.0,Defensive rebound by N. Stauskas,,59-71,,
2:32.0,Turnover by D. Williams (bad pass; steal by M. Gasol),,59-71,,
2:26.0,,,59-73,2,J. Green makes 2-pt shot at rim
2:23.0,Sacramento full timeout,,59-73,,
2:23.0,,,59-73,,N. Calathes enters the game for J. Green
2:23.0,O. Casspi enters the game for R. Gay,,59-73,,
1:57.0,N. Stauskas makes 3-pt shot from 27 ft (assist by O. Casspi),3,62-73,,
1:33.0,,,62-73,,M. Gasol misses 2-pt shot from 8 ft
1:32.0,,,62-73,,Offensive rebound by V. Carter
1:32.0,,,62-73,,V. Carter misses 2-pt shot at rim
1:29.0,Defensive rebound by N. Stauskas,,62-73,,
1:21.0,C. Landry makes 2-pt shot from 15 ft (assist by N. Stauskas),2,64-73,,
0:58.0,,,64-73,,Turnover by C. Lee (bad pass)
0:58.0,,,64-73,,B. Udrih enters the game for M. Conley
0:43.0,O. Casspi misses 3-pt shot from 25 ft,,64-73,,
0:42.0,Offensive rebound by C. Landry,,64-73,,
0:38.0,C. Landry misses 2-pt shot from 2 ft (block by M. Gasol),,64-73,,
0:37.0,,,64-73,,Defensive rebound by B. Udrih
0:33.0,,,64-75,2,N. Calathes makes 2-pt shot from 1 ft (assist by B. Udrih)
0:16.0,D. Williams misses 2-pt shot from 1 ft (block by V. Carter),,64-75,,
0:14.0,,,64-75,,Defensive rebound by M. Gasol
0:11.0,,,64-75,,Turnover by M. Gasol (lost ball)
0:03.0,,,64-75,,Personal take foul by C. Lee (drawn by N. Stauskas)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,64-75,,M. Gasol misses 2-pt shot from 13 ft
11:46.0,Defensive rebound by C. Landry,,64-75,,
11:35.0,Shooting foul by N. Calathes (drawn by C. Landry),,64-75,,
11:35.0,C. Landry misses free throw 1 of 2,,64-75,,
11:35.0,Offensive rebound by Team,,64-75,,
11:35.0,C. Landry makes free throw 2 of 2,1,65-75,,
11:22.0,,,65-78,3,V. Carter makes 3-pt shot from 23 ft (assist by N. Calathes)
10:59.0,A. Miller misses 2-pt shot from 2 ft,,65-78,,
10:56.0,,,65-78,,Defensive rebound by K. Koufos
10:49.0,,,65-78,,N. Calathes misses 2-pt shot from 21 ft
10:48.0,Defensive rebound by D. Williams,,65-78,,
10:33.0,O. Casspi misses 2-pt shot from 4 ft,,65-78,,
10:30.0,Offensive rebound by C. Landry,,65-78,,
10:30.0,C. Landry misses 2-pt shot from 1 ft (block by K. Koufos),,65-78,,
10:28.0,,,65-78,,Defensive rebound by N. Calathes
10:23.0,,,65-78,,Offensive foul by M. Gasol
10:23.0,,,65-78,,Turnover by M. Gasol (offensive foul)
10:11.0,C. Landry misses 2-pt shot from 13 ft,,65-78,,
10:11.0,,,65-78,,Defensive rebound by N. Calathes
10:06.0,Personal foul by A. Miller (drawn by N. Calathes),,65-78,,
9:59.0,,,65-78,,V. Carter misses 3-pt shot from 24 ft
9:59.0,,,65-78,,Offensive rebound by M. Gasol
9:58.0,Jump ball: M. Gasol vs. C. Landry (N. Stauskas gains possession),,,,Jump ball: M. Gasol vs. C. Landry (N. Stauskas gains possession)
9:58.0,,,65-78,,Turnover by M. Gasol (lost ball)
