time,Sacramento,pts.away,score,pts.home,Memphis
2:47.0,Sacramento full timeout,,78-91,,
2:47.0,,,78-91,,M. Gasol enters the game for K. Koufos
2:47.0,,,78-91,,Technical foul by Z. Randolph
2:47.0,B. McLemore makes technical free throw,1,79-91,,
2:32.0,Turnover by J. Thompson (lost ball; steal by M. Gasol),,79-91,,
2:14.0,,,79-91,,C. Lee misses 3-pt shot from 23 ft
2:13.0,,,79-91,,Offensive rebound by Z. Randolph
2:13.0,Loose ball foul by J. Thompson (drawn by Z. Randolph),,79-91,,
2:13.0,,,79-91,,Memphis full timeout
2:13.0,D. Wear enters the game for D. Williams,,79-91,,
2:13.0,,,79-91,,Z. Randolph misses free throw 1 of 2
2:13.0,,,79-91,,Offensive rebound by Team
2:13.0,,,79-92,1,Z. Randolph makes free throw 2 of 2
1:59.0,N. Stauskas misses 3-pt shot from 23 ft,,79-92,,
1:58.0,,,79-92,,Defensive rebound by Z. Randolph
1:55.0,,,79-92,,Memphis full timeout
1:55.0,,,79-92,,V. Carter enters the game for Z. Randolph
1:41.0,,,79-92,,J. Green misses 2-pt shot from 16 ft
1:39.0,Defensive rebound by J. Thompson,,79-92,,
1:27.0,Turnover by B. McLemore (bad pass; steal by M. Gasol),,79-92,,
1:21.0,,,79-94,2,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol)
1:02.0,R. McCallum makes 2-pt shot from 9 ft,2,81-94,,
0:39.0,,,81-97,3,M. Conley makes 3-pt shot from 24 ft (assist by V. Carter)
0:29.0,B. McLemore misses 3-pt shot from 22 ft,,81-97,,
0:28.0,Offensive rebound by D. Wear,,81-97,,
0:24.0,R. McCallum makes 2-pt shot from 9 ft (assist by D. Wear),2,83-97,,
0:00.0,,,83-97,,Turnover by Team (shot clock)
0:00.0,End of 4th quarter,,,,End of 4th quarter
