time,Orlando,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. N. Vucevic (K. O'Quinn gains possession),,,,Jump ball: C. Andersen vs. N. Vucevic (K. O'Quinn gains possession)
11:45.0,T. Harris makes 2-pt shot from 3 ft (assist by N. Vucevic),2,2-0,,
11:29.0,,,2-0,,C. Bosh misses 2-pt shot from 20 ft
11:28.0,,,2-0,,Offensive rebound by Team
11:24.0,,,2-0,,D. Wade misses 2-pt shot from 9 ft
11:23.0,Defensive rebound by K. O'Quinn,,2-0,,
11:14.0,K. O'Quinn makes 3-pt shot from 24 ft (assist by E. Payton),3,5-0,,
10:48.0,,,5-0,,C. Bosh misses 2-pt shot from 18 ft (block by K. O'Quinn)
10:47.0,Defensive rebound by T. Harris,,5-0,,
10:45.0,Turnover by T. Harris (lost ball; steal by C. Bosh),,5-0,,
10:43.0,,,5-0,,Turnover by C. Bosh (step out of bounds)
10:35.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,7-0,,
10:18.0,,,7-2,2,L. Deng makes 2-pt shot at rim (assist by C. Andersen)
10:01.0,,,7-2,,Violation by L. Deng (def goaltending)
10:01.0,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton),2,9-2,,
9:48.0,,,9-4,2,C. Bosh makes 2-pt shot from 5 ft
9:40.0,Turnover by E. Payton (bad pass; steal by L. Deng),,9-4,,
9:37.0,,,9-4,,Shooting foul by E. Payton (drawn by L. Deng)
9:37.0,,,9-5,1,L. Deng makes free throw 1 of 2
9:37.0,,,9-6,1,L. Deng makes free throw 2 of 2
9:23.0,Turnover by V. Oladipo (bad pass; steal by D. Wade),,9-6,,
9:17.0,,,9-8,2,M. Chalmers makes 2-pt shot from 1 ft (assist by D. Wade)
8:53.0,E. Payton misses 2-pt shot from 10 ft,,9-8,,
8:52.0,,,9-8,,Defensive rebound by M. Chalmers
8:35.0,,,9-8,,Turnover by M. Chalmers (bad pass; steal by E. Payton)
8:32.0,,,9-8,,Violation by C. Bosh (def goaltending)
8:32.0,V. Oladipo makes 2-pt shot from 2 ft,2,11-8,,
8:18.0,,,11-8,,Turnover by D. Wade (bad pass)
8:02.0,V. Oladipo makes 3-pt shot from 24 ft (assist by K. O'Quinn),3,14-8,,
7:47.0,,,14-8,,L. Deng misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by N. Vucevic,,14-8,,
7:32.0,K. O'Quinn makes 2-pt shot from 19 ft,2,16-8,,
7:13.0,,,16-8,,C. Bosh misses 2-pt shot from 19 ft
7:12.0,Defensive rebound by E. Payton,,16-8,,
6:59.0,N. Vucevic misses 2-pt shot from 2 ft,,16-8,,
6:58.0,Offensive rebound by N. Vucevic,,16-8,,
6:56.0,N. Vucevic misses 2-pt shot from 2 ft,,16-8,,
6:55.0,,,16-8,,Defensive rebound by C. Bosh
6:53.0,,,16-8,,Turnover by M. Chalmers (bad pass)
6:31.0,Turnover by V. Oladipo (lost ball; steal by M. Chalmers),,16-8,,
6:27.0,Shooting block foul by K. O'Quinn (drawn by D. Wade),,16-8,,
6:27.0,,,16-9,1,D. Wade makes free throw 1 of 2
6:27.0,,,16-9,,N. Cole enters the game for M. Chalmers
6:27.0,,,16-10,1,D. Wade makes free throw 2 of 2
6:13.0,,,16-10,,Violation by N. Cole (kicked ball)
6:03.0,N. Vucevic makes 2-pt shot from 19 ft (assist by V. Oladipo),2,18-10,,
5:44.0,,,18-12,2,C. Bosh makes 2-pt shot from 14 ft (assist by D. Wade)
5:20.0,V. Oladipo misses 3-pt shot from 25 ft,,18-12,,
5:19.0,,,18-12,,Defensive rebound by C. Bosh
4:59.0,,,18-14,2,C. Bosh makes 2-pt shot from 13 ft
4:59.0,,,18-14,,Shooting foul by K. O'Quinn (drawn by C. Bosh)
4:59.0,,,18-14,,Miami full timeout
4:59.0,C. Frye enters the game for K. O'Quinn,,18-14,,
4:59.0,,,18-15,1,C. Bosh makes free throw 1 of 1
4:41.0,T. Harris misses 2-pt shot from 16 ft,,18-15,,
4:40.0,Offensive rebound by E. Payton,,18-15,,
4:37.0,C. Frye misses 3-pt shot from 25 ft,,18-15,,
4:36.0,,,18-15,,Defensive rebound by N. Cole
4:23.0,,,18-15,,C. Bosh misses 2-pt shot from 1 ft
4:22.0,Defensive rebound by N. Vucevic,,18-15,,
4:13.0,E. Payton misses 2-pt shot from 9 ft,,18-15,,
4:12.0,,,18-15,,Defensive rebound by L. Deng
4:00.0,,,18-17,2,L. Deng makes 2-pt shot at rim (assist by N. Cole)
3:53.0,Orlando full timeout,,18-17,,
3:53.0,E. Fournier enters the game for E. Payton,,18-17,,
3:53.0,,,18-17,,M. Chalmers enters the game for C. Bosh
3:53.0,,,18-17,,D. Granger enters the game for D. Wade
3:33.0,T. Harris makes 3-pt shot from 25 ft (assist by N. Vucevic),3,21-17,,
3:16.0,,,21-17,,Turnover by L. Deng (lost ball; steal by V. Oladipo)
3:12.0,Turnover by V. Oladipo (bad pass; steal by N. Cole),,21-17,,
3:04.0,,,21-19,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
2:52.0,,,21-19,,Violation by C. Andersen (kicked ball)
2:52.0,D. Dedmon enters the game for N. Vucevic,,21-19,,
2:52.0,,,21-19,,H. Whiteside enters the game for C. Andersen
2:44.0,Turnover by V. Oladipo (bad pass; steal by M. Chalmers),,21-19,,
2:27.0,,,21-19,,L. Deng misses 2-pt shot from 1 ft
2:26.0,,,21-19,,Offensive rebound by H. Whiteside
2:26.0,,,21-19,,Shooting foul by D. Dedmon (drawn by H. Whiteside)
2:26.0,,,21-19,,H. Whiteside misses free throw 1 of 2
2:26.0,,,21-19,,Offensive rebound by Team
2:26.0,B. Gordon enters the game for T. Harris,,21-19,,
2:26.0,,,21-19,,H. Whiteside misses free throw 2 of 2
2:25.0,Defensive rebound by E. Fournier,,21-19,,
2:10.0,C. Frye makes 2-pt shot from 21 ft (assist by B. Gordon),2,23-19,,
1:49.0,,,23-22,3,D. Granger makes 3-pt shot from 24 ft
1:36.0,B. Gordon misses 2-pt shot from 12 ft,,23-22,,
1:35.0,Offensive rebound by Team,,23-22,,
1:35.0,E. Payton enters the game for V. Oladipo,,23-22,,
1:25.0,D. Dedmon misses 2-pt shot from 5 ft (block by H. Whiteside),,23-22,,
1:24.0,,,23-22,,Defensive rebound by N. Cole
1:10.0,,,23-22,,N. Cole misses 2-pt shot from 20 ft
1:09.0,,,23-22,,Offensive rebound by D. Granger
1:03.0,,,23-25,3,D. Granger makes 3-pt shot from 24 ft (assist by N. Cole)
0:37.0,B. Gordon makes 3-pt shot from 23 ft (assist by E. Fournier),3,26-25,,
0:15.0,,,26-25,,Turnover by D. Granger (lost ball; steal by E. Fournier)
0:04.0,,,26-25,,Personal foul by N. Cole (drawn by E. Fournier)
0:01.0,E. Fournier misses 3-pt shot from 24 ft,,26-25,,
0:00.0,,,26-25,,Defensive rebound by D. Granger
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
