time,Brooklyn,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Lopez (L. Thomas gains possession),,,,Jump ball: L. Amundson vs. B. Lopez (L. Thomas gains possession)
11:39.0,,,0-0,,A. Bargnani misses 2-pt shot from 8 ft
11:38.0,Defensive rebound by T. Young,,0-0,,
11:20.0,Turnover by T. Young (lost ball; steal by S. Larkin),,0-0,,
11:02.0,,,0-0,,L. Amundson misses 2-pt shot from 4 ft
11:01.0,Defensive rebound by T. Young,,0-0,,
10:57.0,Shooting foul by L. Galloway (drawn by M. Brown),,0-0,,
10:57.0,Brooklyn full timeout,,0-0,,
10:57.0,M. Brown makes free throw 1 of 2,1,1-0,,
10:57.0,M. Brown makes free throw 2 of 2,1,2-0,,
10:44.0,,,2-0,,A. Bargnani misses 2-pt shot from 3 ft
10:43.0,Defensive rebound by J. Johnson,,2-0,,
10:33.0,T. Young misses 2-pt shot from 3 ft (block by L. Amundson),,2-0,,
10:33.0,Jump ball: L. Amundson vs. T. Young (L. Thomas gains possession),,,,Jump ball: L. Amundson vs. T. Young (L. Thomas gains possession)
10:33.0,,,2-0,,Defensive rebound by Team
10:21.0,,,2-0,,Turnover by L. Thomas (bad pass; steal by J. Johnson)
10:10.0,D. Williams misses 3-pt shot from 24 ft,,2-0,,
10:09.0,,,2-0,,Defensive rebound by L. Amundson
9:51.0,,,2-2,2,S. Larkin makes 2-pt shot from 2 ft
9:42.0,D. Williams misses 2-pt shot from 13 ft,,2-2,,
9:41.0,,,2-2,,Defensive rebound by L. Amundson
9:34.0,,,2-2,,S. Larkin misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by T. Young,,2-2,,
9:23.0,D. Williams makes 2-pt shot from 21 ft,2,4-2,,
9:08.0,,,4-2,,Turnover by A. Bargnani (bad pass; steal by M. Brown)
9:02.0,T. Young makes 2-pt shot at rim (assist by M. Brown),2,6-2,,
8:47.0,Personal foul by M. Brown (drawn by A. Bargnani),,6-2,,
8:40.0,,,6-5,3,A. Bargnani makes 3-pt shot from 24 ft (assist by L. Amundson)
8:31.0,M. Brown misses 2-pt shot from 14 ft,,6-5,,
8:30.0,Offensive rebound by B. Lopez,,6-5,,
8:21.0,B. Lopez makes 2-pt shot from 4 ft,2,8-5,,
8:05.0,,,8-7,2,L. Thomas makes 2-pt shot from 21 ft (assist by L. Galloway)
7:53.0,Shooting foul by S. Larkin (drawn by M. Brown),,8-7,,
7:53.0,M. Brown makes free throw 1 of 2,1,9-7,,
7:53.0,M. Brown makes free throw 2 of 2,1,10-7,,
7:38.0,,,10-9,2,L. Galloway makes 2-pt shot from 1 ft (assist by L. Amundson)
7:27.0,,,10-9,,Personal foul by L. Thomas (drawn by J. Johnson)
7:25.0,,,10-9,,Personal foul by L. Galloway (drawn by M. Brown)
7:25.0,,,10-9,,R. Ledo enters the game for L. Galloway
7:12.0,J. Johnson makes 3-pt shot from 24 ft (assist by D. Williams),3,13-9,,
6:55.0,,,13-9,,Turnover by L. Amundson (traveling)
6:32.0,J. Johnson misses 2-pt shot from 5 ft,,13-9,,
6:31.0,,,13-9,,Defensive rebound by A. Bargnani
6:18.0,,,13-9,,R. Ledo misses 2-pt shot from 21 ft
6:16.0,Defensive rebound by T. Young,,13-9,,
6:07.0,B. Lopez makes 2-pt shot from 1 ft (assist by D. Williams),2,15-9,,
6:00.0,,,15-9,,New York full timeout
5:46.0,,,15-9,,Turnover by A. Bargnani (lost ball; steal by M. Brown)
5:41.0,T. Young misses 2-pt shot at rim,,15-9,,
5:40.0,,,15-9,,Defensive rebound by Team
5:40.0,Loose ball foul by B. Lopez (drawn by A. Bargnani),,15-9,,
5:26.0,,,15-9,,S. Larkin misses 3-pt shot from 25 ft
5:25.0,Defensive rebound by T. Young,,15-9,,
5:10.0,B. Lopez makes 2-pt shot from 10 ft,2,17-9,,
4:53.0,,,17-9,,A. Bargnani misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by D. Williams,,17-9,,
4:37.0,B. Lopez misses 2-pt shot from 7 ft (block by A. Bargnani),,17-9,,
4:36.0,,,17-9,,Defensive rebound by L. Amundson
4:20.0,,,17-9,,Shooting foul by B. Lopez (drawn by A. Bargnani)
4:20.0,,,17-10,1,A. Bargnani makes free throw 1 of 2
4:20.0,A. Anderson enters the game for J. Johnson,,17-10,,
4:20.0,M. Plumlee enters the game for B. Lopez,,17-10,,
4:20.0,,,17-10,,C. Early enters the game for L. Thomas
4:20.0,,,17-10,,J. Smith enters the game for L. Amundson
4:20.0,,,17-11,1,A. Bargnani makes free throw 2 of 2
4:02.0,D. Williams makes 2-pt shot from 1 ft,2,19-11,,
3:48.0,,,19-11,,C. Early misses 3-pt shot from 23 ft
3:47.0,Defensive rebound by M. Plumlee,,19-11,,
3:31.0,A. Anderson makes 2-pt shot from 9 ft,2,21-11,,
3:11.0,,,21-14,3,R. Ledo makes 3-pt shot from 24 ft
3:00.0,,,21-14,,Violation by R. Ledo (kicked ball)
2:51.0,M. Brown misses 2-pt shot from 20 ft,,21-14,,
2:50.0,Offensive rebound by M. Plumlee,,21-14,,
2:47.0,M. Plumlee makes 2-pt shot at rim,2,23-14,,
2:34.0,,,23-14,,Turnover by R. Ledo (back court)
2:19.0,M. Plumlee misses 2-pt shot at rim,,23-14,,
2:18.0,,,23-14,,Defensive rebound by A. Bargnani
2:10.0,,,23-14,,J. Smith misses 3-pt shot from 22 ft
2:09.0,Defensive rebound by M. Brown,,23-14,,
1:53.0,D. Williams misses 2-pt shot from 3 ft,,23-14,,
1:52.0,Offensive rebound by D. Williams,,23-14,,
1:52.0,D. Williams makes 2-pt shot from 3 ft,2,25-14,,
1:39.0,,,25-16,2,A. Bargnani makes 2-pt shot from 18 ft (assist by C. Early)
1:31.0,A. Anderson makes 2-pt shot from 1 ft (assist by D. Williams),2,27-16,,
1:11.0,,,27-16,,Turnover by C. Early (bad pass; steal by D. Williams)
1:08.0,,,27-16,,Personal foul by C. Early (drawn by T. Young)
1:08.0,T. Young misses free throw 1 of 2,,27-16,,
1:08.0,Offensive rebound by Team,,27-16,,
1:08.0,J. Jack enters the game for M. Brown,,27-16,,
1:08.0,B. Bogdanovic enters the game for D. Williams,,27-16,,
1:08.0,,,27-16,,Q. Acy enters the game for A. Bargnani
1:08.0,T. Young makes free throw 2 of 2,1,28-16,,
0:50.0,,,28-18,2,S. Larkin makes 2-pt shot from 1 ft (assist by R. Ledo)
0:37.0,A. Anderson misses 2-pt shot from 6 ft,,28-18,,
0:36.0,,,28-18,,Defensive rebound by Q. Acy
0:30.0,,,28-20,2,R. Ledo makes 2-pt shot from 2 ft
