time,Houston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Thompson (P. Beverley gains possession),,,,Jump ball: D. Howard vs. T. Thompson (P. Beverley gains possession)
11:44.0,Turnover by J. Harden (traveling),,0-0,,
11:32.0,,,0-0,,K. Love misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by P. Beverley,,0-0,,
11:21.0,T. Ariza misses 2-pt shot from 2 ft (block by M. Miller),,0-0,,
11:21.0,Offensive rebound by Team,,0-0,,
11:18.0,P. Beverley makes 2-pt shot at rim (assist by T. Ariza),2,2-0,,
10:58.0,,,2-0,,K. Love misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by D. Howard,,2-0,,
10:42.0,T. Ariza makes 2-pt shot from 18 ft (assist by J. Harden),2,4-0,,
10:28.0,,,4-2,2,K. Irving makes 2-pt shot from 17 ft
10:07.0,D. Motiejunas misses 2-pt shot from 10 ft,,4-2,,
10:04.0,,,4-2,,Defensive rebound by K. Love
9:57.0,,,4-2,,K. Love misses 2-pt shot from 9 ft (block by D. Howard)
9:57.0,,,4-2,,Offensive rebound by Team
9:50.0,,,4-2,,T. Thompson misses 2-pt shot from 1 ft
9:50.0,,,4-2,,Offensive rebound by T. Thompson
9:50.0,,,4-2,,T. Thompson misses 2-pt shot from 1 ft
9:50.0,Defensive rebound by Team,,4-2,,
9:50.0,,,4-2,,Loose ball foul by T. Thompson (drawn by D. Howard)
9:41.0,,,4-2,,Personal foul by M. Miller (drawn by D. Howard)
9:32.0,Turnover by D. Howard (step out of bounds),,4-2,,
9:15.0,,,4-2,,Shooting foul by P. Beverley (drawn by K. Irving)
9:15.0,,,4-3,1,K. Irving makes free throw 1 of 2
9:15.0,,,4-4,1,K. Irving makes free throw 2 of 2
9:05.0,D. Howard makes 2-pt shot at rim (assist by P. Beverley),2,6-4,,
8:46.0,,,6-7,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by K. Love)
8:37.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,9-7,,
8:21.0,,,9-7,,Turnover by K. Irving (bad pass; steal by T. Ariza)
8:12.0,J. Harden misses 3-pt shot from 24 ft,,9-7,,
8:10.0,,,9-7,,Defensive rebound by M. Miller
7:48.0,,,9-10,3,M. Miller makes 3-pt shot from 23 ft (assist by M. Dellavedova)
7:36.0,T. Ariza misses 3-pt shot from 24 ft,,9-10,,
7:35.0,,,9-10,,Defensive rebound by K. Love
7:21.0,,,9-10,,K. Irving misses 2-pt shot at rim
7:20.0,,,9-10,,Offensive rebound by T. Thompson
7:20.0,,,9-10,,T. Thompson misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by Team,,9-10,,
7:19.0,,,9-10,,Personal foul by T. Thompson (drawn by D. Motiejunas)
7:17.0,,,9-10,,B. Haywood enters the game for T. Thompson
7:06.0,P. Beverley misses 3-pt shot from 23 ft,,9-10,,
7:05.0,,,9-10,,Defensive rebound by K. Love
6:55.0,,,9-10,,M. Dellavedova misses 2-pt shot from 7 ft
6:53.0,,,9-10,,Offensive rebound by B. Haywood
6:53.0,,,9-12,2,B. Haywood makes 2-pt shot at rim
6:33.0,D. Howard misses 2-pt shot at rim,,9-12,,
6:32.0,,,9-12,,Defensive rebound by M. Dellavedova
6:20.0,,,9-15,3,K. Irving makes 3-pt shot from 22 ft (assist by M. Miller)
5:56.0,Turnover by D. Motiejunas (bad pass; steal by M. Miller),,9-15,,
5:48.0,,,9-15,,Cleveland full timeout
5:48.0,,,9-15,,J. Smith enters the game for M. Dellavedova
