time,Dallas,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. M. Gasol (D. Nowitzki gains possession)
11:42.0,R. Rondo misses 2-pt shot from 11 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by Z. Randolph
11:24.0,,,0-0,,M. Conley misses 2-pt shot from 13 ft
11:22.0,Defensive rebound by D. Nowitzki,,0-0,,
11:18.0,R. Rondo makes 2-pt shot at rim,2,2-0,,
10:59.0,,,2-0,,Shooting foul by R. Rondo (drawn by M. Conley)
10:59.0,,,2-1,1,M. Conley makes free throw 1 of 2
10:59.0,,,2-2,1,M. Conley makes free throw 2 of 2
10:46.0,D. Nowitzki misses 2-pt shot from 19 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by M. Gasol
10:32.0,,,2-2,,C. Lee misses 2-pt shot from 21 ft
10:29.0,Defensive rebound by R. Rondo,,2-2,,
10:16.0,Turnover by C. Parsons (lost ball; steal by T. Allen),,2-2,,
10:10.0,,,2-4,2,M. Gasol makes 2-pt shot at rim (assist by Z. Randolph)
9:47.0,Offensive foul by R. Rondo,,2-4,,
9:47.0,Turnover by R. Rondo (offensive foul),,2-4,,
9:47.0,D. Harris enters the game for R. Rondo,,2-4,,
9:23.0,,,2-4,,C. Lee misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by D. Harris,,2-4,,
9:15.0,C. Parsons misses 3-pt shot from 23 ft,,2-4,,
9:13.0,Offensive rebound by T. Chandler,,2-4,,
9:10.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,4-4,,
8:57.0,,,4-4,,M. Conley misses 2-pt shot from 22 ft
8:56.0,Defensive rebound by T. Chandler,,4-4,,
8:48.0,M. Ellis misses 3-pt shot from 27 ft,,4-4,,
8:47.0,,,4-4,,Defensive rebound by M. Gasol
8:25.0,,,4-4,,M. Gasol misses 2-pt shot from 10 ft
8:24.0,Defensive rebound by C. Parsons,,4-4,,
8:16.0,Shooting foul by C. Lee (drawn by T. Chandler),,4-4,,
8:16.0,T. Chandler makes free throw 1 of 2,1,5-4,,
8:16.0,T. Chandler makes free throw 2 of 2,1,6-4,,
8:00.0,,,6-4,,Turnover by C. Lee (bad pass)
7:50.0,Shooting foul by T. Allen (drawn by M. Ellis),,6-4,,
7:50.0,M. Ellis misses free throw 1 of 2,,6-4,,
7:50.0,Offensive rebound by Team,,6-4,,
7:50.0,M. Ellis makes free throw 2 of 2,1,7-4,,
7:30.0,,,7-6,2,Z. Randolph makes 2-pt shot from 3 ft
7:23.0,C. Parsons misses 2-pt shot from 1 ft,,7-6,,
7:21.0,,,7-6,,Defensive rebound by Z. Randolph
7:05.0,,,7-6,,M. Gasol misses 2-pt shot from 18 ft
