time,Minnesota,pts.away,score,pts.home,New Orleans
2:38.0,,,10-22,2,A. Davis makes 2-pt shot at rim (assist by A. Ajinca)
2:31.0,,,10-22,,Personal foul by A. Ajinca (drawn by J. Hamilton)
2:20.0,L. Brown misses 2-pt shot from 2 ft (block by A. Ajinca),,10-22,,
2:18.0,,,10-22,,Defensive rebound by A. Ajinca
2:03.0,,,10-22,,A. Davis misses 2-pt shot from 1 ft (block by J. Hamilton)
2:02.0,Defensive rebound by A. Payne,,10-22,,
1:57.0,,,10-22,,Personal block foul by D. Cunningham
1:39.0,C. Budinger misses 3-pt shot from 25 ft,,10-22,,
1:37.0,,,10-22,,Defensive rebound by A. Ajinca
1:25.0,,,10-22,,A. Ajinca misses 2-pt shot from 12 ft
1:22.0,Defensive rebound by Z. LaVine,,10-22,,
1:20.0,Shooting foul by T. Evans (drawn by Z. LaVine),,10-22,,
1:20.0,Z. LaVine makes free throw 1 of 2,1,11-22,,
1:20.0,,,11-22,,T. Douglas enters the game for T. Evans
1:20.0,Z. LaVine misses free throw 2 of 2,,11-22,,
1:18.0,,,11-22,,Defensive rebound by A. Davis
0:55.0,,,11-24,2,A. Davis makes 2-pt shot from 12 ft
0:40.0,Z. LaVine misses 2-pt shot from 21 ft,,11-24,,
0:39.0,,,11-24,,Defensive rebound by A. Davis
0:26.0,,,11-24,,Shooting foul by A. Payne (drawn by A. Davis)
0:26.0,,,11-25,1,A. Davis makes free throw 1 of 2
0:26.0,R. Hummel enters the game for A. Payne,,11-25,,
0:26.0,,,11-25,,A. Davis misses free throw 2 of 2
0:26.0,Defensive rebound by C. Budinger,,11-25,,
0:01.0,Z. LaVine misses 3-pt shot from 25 ft,,11-25,,
0:00.0,,,11-25,,Defensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Shooting foul by A. Davis (drawn by C. Budinger),,11-25,,
11:41.0,C. Budinger makes free throw 1 of 2,1,12-25,,
11:41.0,C. Budinger makes free throw 2 of 2,1,13-25,,
11:24.0,,,13-27,2,A. Ajinca makes 2-pt shot from 7 ft
11:03.0,A. Wiggins misses 2-pt shot from 2 ft (block by D. Cunningham),,13-27,,
11:02.0,,,13-27,,Defensive rebound by A. Ajinca
10:56.0,,,13-27,,D. Cunningham misses 2-pt shot from 1 ft
10:54.0,Defensive rebound by C. Budinger,,13-27,,
10:44.0,L. Brown makes 2-pt shot from 1 ft,2,15-27,,
10:23.0,,,15-29,2,N. Cole makes 2-pt shot from 2 ft (assist by A. Davis)
10:04.0,R. Hummel misses 2-pt shot from 21 ft,,15-29,,
10:03.0,,,15-29,,Defensive rebound by D. Cunningham
9:47.0,,,15-29,,A. Davis misses 2-pt shot from 5 ft
9:46.0,Defensive rebound by L. Brown,,15-29,,
9:40.0,A. Wiggins makes 2-pt shot from 2 ft (assist by L. Brown),2,17-29,,
9:14.0,,,17-29,,A. Ajinca misses 2-pt shot from 8 ft
9:13.0,,,17-29,,Offensive rebound by A. Davis
9:13.0,,,17-31,2,A. Davis makes 2-pt shot at rim
8:52.0,J. Hamilton makes 3-pt shot from 24 ft (assist by L. Brown),3,20-31,,
8:31.0,,,20-34,3,T. Douglas makes 3-pt shot from 25 ft (assist by A. Ajinca)
8:18.0,L. Brown makes 2-pt shot from 1 ft,2,22-34,,
8:10.0,,,22-34,,New Orleans full timeout
8:10.0,,,22-34,,Q. Pondexter enters the game for A. Davis
7:55.0,,,22-34,,T. Douglas misses 2-pt shot from 15 ft
7:54.0,,,22-34,,Offensive rebound by Team
7:48.0,,,22-36,2,N. Cole makes 2-pt shot from 15 ft
7:35.0,Turnover by L. Brown (lost ball),,22-36,,
7:23.0,,,22-36,,D. Cunningham misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by J. Hamilton,,22-36,,
7:14.0,,,22-36,,Personal foul by D. Cunningham (drawn by A. Wiggins)
7:14.0,A. Bennett enters the game for R. Hummel,,22-36,,
7:08.0,,,22-36,,Violation by T. Douglas (kicked ball)
7:08.0,,,22-36,,E. Gordon enters the game for T. Douglas
6:58.0,Turnover by L. Brown (bad pass; steal by A. Ajinca),,22-36,,
6:44.0,,,22-36,,Turnover by D. Cunningham (3 sec)
6:44.0,Z. LaVine enters the game for L. Brown,,22-36,,
6:30.0,A. Wiggins misses 2-pt shot from 11 ft,,22-36,,
6:29.0,Offensive rebound by J. Hamilton,,22-36,,
6:27.0,J. Hamilton makes 2-pt shot from 2 ft,2,24-36,,
6:09.0,,,24-36,,Turnover by A. Ajinca (3 sec)
6:09.0,A. Payne enters the game for J. Hamilton,,24-36,,
5:56.0,Shooting foul by Q. Pondexter (drawn by A. Wiggins),,24-36,,
5:56.0,Official timeout,,24-36,,
5:56.0,A. Wiggins makes free throw 1 of 2,1,25-36,,
5:56.0,A. Wiggins makes free throw 2 of 2,1,26-36,,
5:43.0,,,26-36,,Turnover by Q. Pondexter (lost ball)
5:30.0,A. Wiggins misses 2-pt shot from 21 ft,,26-36,,
5:29.0,Offensive rebound by A. Payne,,26-36,,
5:26.0,A. Payne makes 2-pt shot from 11 ft,2,28-36,,
5:14.0,,,28-36,,Shooting foul by Z. LaVine (drawn by N. Cole)
5:14.0,,,28-36,,N. Cole misses free throw 1 of 2
5:14.0,,,28-36,,Offensive rebound by Team
5:14.0,,,28-36,,O. Asik enters the game for D. Cunningham
5:14.0,,,28-36,,A. Davis enters the game for A. Ajinca
5:14.0,,,28-36,,N. Cole misses free throw 2 of 2
5:13.0,Defensive rebound by A. Wiggins,,28-36,,
4:55.0,A. Payne makes 2-pt shot at rim (assist by C. Budinger),2,30-36,,
4:35.0,,,30-38,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
4:20.0,A. Payne makes 2-pt shot from 4 ft (assist by A. Wiggins),2,32-38,,
4:02.0,,,32-38,,A. Davis misses 2-pt shot from 19 ft
4:01.0,Defensive rebound by A. Wiggins,,32-38,,
3:54.0,,,32-38,,Def 3 sec tech foul by O. Asik
3:54.0,C. Budinger makes technical free throw,1,33-38,,
3:54.0,,,33-38,,T. Evans enters the game for N. Cole
