time,Boston,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. J. Valanciunas (G. Vasquez gains possession),,,,Jump ball: B. Bass vs. J. Valanciunas (G. Vasquez gains possession)
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 7 ft
11:40.0,Defensive rebound by A. Bradley,,0-0,,
11:26.0,T. Zeller makes 2-pt shot from 14 ft (assist by E. Turner),2,2-0,,
11:10.0,,,2-0,,Turnover by G. Vasquez (bad pass)
10:59.0,E. Turner makes 2-pt shot from 2 ft,2,4-0,,
10:38.0,,,4-0,,Shooting foul by A. Bradley (drawn by T. Hansbrough)
10:38.0,,,4-1,1,T. Hansbrough makes free throw 1 of 2
10:38.0,,,4-2,1,T. Hansbrough makes free throw 2 of 2
10:26.0,,,4-2,,Violation by J. Valanciunas (kicked ball)
10:13.0,A. Bradley misses 2-pt shot from 18 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by J. Valanciunas
10:01.0,,,4-2,,D. DeRozan misses 2-pt shot from 9 ft
10:00.0,Defensive rebound by E. Turner,,4-2,,
9:49.0,B. Bass misses 2-pt shot from 13 ft,,4-2,,
9:48.0,,,4-2,,Defensive rebound by J. Valanciunas
9:29.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 8 ft
9:14.0,A. Bradley misses 2-pt shot from 14 ft,,4-4,,
9:13.0,,,4-4,,Defensive rebound by T. Ross
9:05.0,,,4-4,,Turnover by D. DeRozan (bad pass; steal by M. Smart)
9:00.0,M. Smart makes 2-pt shot from 1 ft,2,6-4,,
8:38.0,,,6-4,,T. Ross misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by B. Bass,,6-4,,
8:23.0,B. Bass misses 2-pt shot from 18 ft,,6-4,,
8:22.0,,,6-4,,Defensive rebound by T. Ross
8:14.0,,,6-4,,G. Vasquez misses 2-pt shot from 2 ft
8:12.0,Defensive rebound by M. Smart,,6-4,,
8:11.0,Turnover by M. Smart (lost ball),,6-4,,
7:59.0,,,6-6,2,D. DeRozan makes 2-pt shot from 4 ft
7:50.0,E. Turner misses 2-pt shot at rim (block by T. Hansbrough),,6-6,,
7:49.0,Offensive rebound by Team,,6-6,,
7:44.0,M. Smart makes 2-pt shot from 1 ft (assist by T. Zeller),2,8-6,,
7:18.0,,,8-8,2,T. Hansbrough makes 2-pt shot from 9 ft
7:07.0,T. Zeller misses 2-pt shot from 3 ft,,8-8,,
7:06.0,,,8-8,,Defensive rebound by T. Hansbrough
6:52.0,,,8-8,,D. DeRozan misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by T. Zeller,,8-8,,
6:43.0,A. Bradley misses 2-pt shot from 17 ft,,8-8,,
6:42.0,,,8-8,,Defensive rebound by J. Valanciunas
6:24.0,,,8-8,,J. Valanciunas misses 2-pt shot from 4 ft
6:23.0,,,8-8,,Offensive rebound by J. Valanciunas
6:21.0,,,8-10,2,J. Valanciunas makes 2-pt shot at rim
6:02.0,B. Bass makes 2-pt shot from 18 ft (assist by E. Turner),2,10-10,,
5:42.0,,,10-12,2,D. DeRozan makes 2-pt shot from 2 ft
5:42.0,Boston full timeout,,10-12,,
5:42.0,I. Thomas enters the game for E. Turner,,10-12,,
5:42.0,J. Crowder enters the game for T. Zeller,,10-12,,
5:42.0,K. Olynyk enters the game for M. Smart,,10-12,,
5:28.0,Turnover by K. Olynyk (bad pass),,10-12,,
5:19.0,,,10-12,,Turnover by D. DeRozan (lost ball)
5:10.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,13-12,,
4:52.0,,,13-14,2,G. Vasquez makes 2-pt shot from 10 ft (assist by J. Valanciunas)
