time,Boston,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Jefferson vs. T. Zeller (G. Henderson gains possession),,,,Jump ball: A. Jefferson vs. T. Zeller (G. Henderson gains possession)
11:39.0,,,0-0,,C. Zeller misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by J. Green,,0-0,,
11:23.0,Shooting foul by L. Stephenson (drawn by J. Green),,0-0,,
11:23.0,J. Green makes free throw 1 of 2,1,1-0,,
11:23.0,J. Green makes free throw 2 of 2,1,2-0,,
11:12.0,,,2-0,,Turnover by A. Jefferson (lost ball; steal by R. Rondo)
11:07.0,A. Bradley misses 2-pt shot from 1 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by A. Jefferson
10:55.0,,,2-0,,L. Stephenson misses 3-pt shot from 25 ft
10:54.0,Defensive rebound by T. Zeller,,2-0,,
10:38.0,J. Green makes 2-pt shot from 2 ft (assist by A. Bradley),2,4-0,,
10:20.0,,,4-2,2,A. Jefferson makes 2-pt shot from 8 ft
10:20.0,,,4-2,,Shooting foul by A. Bradley (drawn by A. Jefferson)
10:20.0,,,4-2,,A. Jefferson misses free throw 1 of 1
10:17.0,Defensive rebound by J. Sullinger,,4-2,,
10:09.0,Turnover by A. Bradley (traveling),,4-2,,
10:00.0,,,4-4,2,L. Stephenson makes 2-pt shot from 16 ft
9:39.0,J. Green makes 2-pt shot from 8 ft,2,6-4,,
9:22.0,,,6-4,,A. Jefferson misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by J. Sullinger,,6-4,,
9:07.0,J. Green misses 2-pt shot from 8 ft,,6-4,,
9:06.0,,,6-4,,Defensive rebound by A. Jefferson
8:54.0,,,6-4,,C. Zeller misses 2-pt shot from 11 ft
8:53.0,,,6-4,,Offensive rebound by K. Walker
8:37.0,,,6-6,2,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker)
8:19.0,,,6-6,,Def 3 sec tech foul by A. Jefferson
8:19.0,J. Green misses technical free throw,,6-6,,
8:19.0,Offensive rebound by Team,,6-6,,
8:12.0,A. Bradley makes 2-pt shot from 18 ft (assist by R. Rondo),2,8-6,,
7:57.0,,,8-6,,A. Jefferson misses 2-pt shot from 7 ft
7:57.0,Defensive rebound by R. Rondo,,8-6,,
7:51.0,J. Sullinger misses 3-pt shot from 25 ft,,8-6,,
7:50.0,,,8-6,,Defensive rebound by G. Henderson
7:32.0,,,8-6,,A. Jefferson misses 2-pt shot from 15 ft
7:30.0,Defensive rebound by J. Sullinger,,8-6,,
7:21.0,T. Zeller makes 2-pt shot from 1 ft (assist by R. Rondo),2,10-6,,
7:11.0,,,10-9,3,K. Walker makes 3-pt shot from 26 ft
6:54.0,J. Green misses 3-pt shot from 26 ft,,10-9,,
6:53.0,,,10-9,,Defensive rebound by K. Walker
6:39.0,,,10-11,2,C. Zeller makes 2-pt shot from 19 ft (assist by L. Stephenson)
6:24.0,R. Rondo misses 3-pt shot from 26 ft,,10-11,,
6:23.0,,,10-11,,Defensive rebound by A. Jefferson
6:13.0,,,10-11,,Shooting foul by T. Zeller (drawn by K. Walker)
6:13.0,,,10-13,2,K. Walker makes 2-pt shot from 2 ft (assist by A. Jefferson)
6:13.0,,,10-13,,M. Kidd-Gilchrist enters the game for G. Henderson
6:13.0,,,10-14,1,K. Walker makes free throw 1 of 1
5:56.0,J. Sullinger misses 2-pt shot from 8 ft,,10-14,,
5:53.0,,,10-14,,Defensive rebound by M. Kidd-Gilchrist
5:38.0,,,10-14,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
5:37.0,Defensive rebound by R. Rondo,,10-14,,
5:29.0,R. Rondo misses 2-pt shot from 1 ft,,10-14,,
5:28.0,,,10-14,,Defensive rebound by A. Jefferson
5:24.0,,,10-16,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
5:24.0,,,10-16,,Shooting foul by J. Sullinger (drawn by C. Zeller)
5:24.0,,,10-16,,Charlotte full timeout
5:24.0,K. Olynyk enters the game for J. Sullinger,,10-16,,
5:24.0,,,10-17,1,C. Zeller makes free throw 1 of 1
5:09.0,Turnover by K. Olynyk (traveling),,10-17,,
4:47.0,,,10-17,,A. Jefferson misses 2-pt shot from 6 ft
4:46.0,Defensive rebound by R. Rondo,,10-17,,
4:39.0,T. Zeller misses 2-pt shot at rim (block by A. Jefferson),,10-17,,
4:37.0,Offensive rebound by T. Zeller,,10-17,,
4:37.0,T. Zeller misses 2-pt shot at rim,,10-17,,
4:35.0,Offensive rebound by K. Olynyk,,10-17,,
4:21.0,K. Olynyk misses 2-pt shot from 7 ft,,10-17,,
4:20.0,,,10-17,,Defensive rebound by L. Stephenson
4:06.0,,,10-17,,K. Walker misses 2-pt shot from 17 ft
4:05.0,Defensive rebound by T. Zeller,,10-17,,
3:56.0,J. Green makes 2-pt shot from 8 ft,2,12-17,,
3:36.0,,,12-19,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller)
3:36.0,,,12-19,,Shooting foul by J. Green (drawn by M. Kidd-Gilchrist)
3:36.0,,,12-19,,M. Williams enters the game for C. Zeller
3:36.0,,,12-19,,B. Biyombo enters the game for A. Jefferson
3:36.0,,,12-19,,G. Neal enters the game for L. Stephenson
3:36.0,E. Turner enters the game for J. Green,,12-19,,
3:36.0,M. Smart enters the game for A. Bradley,,12-19,,
3:36.0,,,12-20,1,M. Kidd-Gilchrist makes free throw 1 of 1
3:16.0,T. Zeller makes 2-pt shot from 9 ft,2,14-20,,
3:03.0,,,14-20,,Turnover by K. Walker (bad pass; steal by E. Turner)
2:49.0,E. Turner misses 3-pt shot from 25 ft,,14-20,,
2:48.0,,,14-20,,Defensive rebound by M. Williams
2:39.0,,,14-20,,G. Neal misses 2-pt shot from 12 ft
2:37.0,Defensive rebound by T. Zeller,,14-20,,
2:28.0,Offensive foul by T. Zeller,,14-20,,
2:28.0,Turnover by T. Zeller (offensive foul),,14-20,,
2:28.0,Boston full timeout,,14-20,,
2:28.0,B. Bass enters the game for T. Zeller,,14-20,,
2:09.0,,,14-20,,G. Neal misses 2-pt shot from 19 ft
2:08.0,,,14-20,,Offensive rebound by M. Kidd-Gilchrist
2:07.0,,,14-20,,Shooting foul by E. Turner (drawn by M. Kidd-Gilchrist)
2:07.0,,,14-21,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:07.0,,,14-22,1,M. Kidd-Gilchrist makes free throw 2 of 2
1:56.0,,,14-22,,Personal foul by B. Biyombo (drawn by B. Bass)
1:41.0,Turnover by Team (shot clock),,14-22,,
1:41.0,M. Thornton enters the game for R. Rondo,,14-22,,
1:29.0,,,14-22,,K. Walker misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by K. Olynyk,,14-22,,
1:12.0,B. Bass misses 2-pt shot from 17 ft,,14-22,,
1:11.0,,,14-22,,Defensive rebound by B. Biyombo
1:04.0,,,14-22,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
1:04.0,,,14-22,,Offensive rebound by Team
1:04.0,Jump ball: B. Bass vs. B. Biyombo (M. Kidd-Gilchrist gains possession),,,,Jump ball: B. Bass vs. B. Biyombo (M. Kidd-Gilchrist gains possession)
1:01.0,,,14-22,,Turnover by Team (back court)
0:50.0,B. Bass misses 2-pt shot from 3 ft,,14-22,,
0:49.0,,,14-22,,Defensive rebound by M. Williams
0:41.0,,,14-22,,K. Walker misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by M. Smart,,14-22,,
0:27.0,K. Olynyk makes 2-pt shot from 18 ft (assist by B. Bass),2,16-22,,
0:05.0,,,16-22,,K. Walker misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by E. Turner,,16-22,,
0:00.0,M. Thornton misses 3-pt shot from 38 ft,,16-22,,
0:00.0,Offensive rebound by Team,,16-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Bass makes 2-pt shot from 16 ft (assist by E. Turner),2,18-22,,
11:28.0,,,18-24,2,M. Williams makes 2-pt shot from 1 ft (assist by G. Neal)
11:11.0,B. Bass misses 2-pt shot from 9 ft,,18-24,,
11:10.0,,,18-24,,Defensive rebound by G. Neal
11:02.0,,,18-26,2,G. Neal makes 2-pt shot from 13 ft
10:49.0,,,18-26,,Violation by B. Biyombo (def goaltending)
10:49.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,20-26,,
10:30.0,,,20-26,,L. Stephenson misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by E. Turner,,20-26,,
10:14.0,B. Bass makes 2-pt shot from 14 ft,2,22-26,,
10:05.0,Personal foul by E. Turner (drawn by M. Williams),,22-26,,
10:05.0,,,22-26,,M. Williams misses free throw 1 of 3
10:05.0,,,22-26,,Offensive rebound by Team
10:05.0,,,22-27,1,M. Williams makes free throw 2 of 3
10:05.0,,,22-27,,M. Williams misses free throw 3 of 3
10:01.0,Defensive rebound by M. Thornton,,22-27,,
9:50.0,E. Turner misses 2-pt shot at rim (block by M. Williams),,22-27,,
9:47.0,,,22-27,,Defensive rebound by B. Roberts
9:40.0,,,22-27,,M. Williams misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by Team,,22-27,,
9:40.0,,,22-27,,Loose ball foul by B. Biyombo (drawn by K. Olynyk)
9:31.0,M. Thornton misses 2-pt shot from 18 ft,,22-27,,
9:29.0,,,22-27,,Defensive rebound by M. Williams
9:20.0,,,22-27,,B. Roberts misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by M. Smart,,22-27,,
9:13.0,K. Olynyk makes 2-pt shot from 1 ft (assist by M. Smart),2,24-27,,
8:57.0,,,24-27,,Turnover by L. Stephenson (bad pass)
8:57.0,Boston full timeout,,24-27,,
8:57.0,,,24-27,,C. Zeller enters the game for B. Biyombo
