time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (E. Payton gains possession)
11:41.0,C. Frye misses 3-pt shot from 26 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by M. Gortat
11:15.0,,,0-2,2,M. Gortat makes 2-pt shot from 4 ft (assist by N. Hilario)
10:50.0,A. Gordon misses 2-pt shot from 8 ft,,0-2,,
10:49.0,,,0-2,,Defensive rebound by M. Gortat
10:45.0,,,0-2,,P. Pierce misses 2-pt shot from 1 ft
10:43.0,Defensive rebound by E. Payton,,0-2,,
10:33.0,E. Payton misses 2-pt shot from 6 ft,,0-2,,
10:32.0,,,0-2,,Defensive rebound by J. Wall
10:26.0,,,0-4,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
10:05.0,C. Frye misses 2-pt shot from 21 ft,,0-4,,
10:04.0,,,0-4,,Defensive rebound by J. Wall
9:50.0,,,0-6,2,N. Hilario makes 2-pt shot at rim (assist by M. Gortat)
9:49.0,Orlando full timeout,,0-6,,
9:30.0,A. Gordon misses 2-pt shot from 1 ft,,0-6,,
9:29.0,Offensive rebound by E. Payton,,0-6,,
9:25.0,Turnover by E. Payton (lost ball; steal by P. Pierce),,0-6,,
9:20.0,,,0-6,,P. Pierce misses 3-pt shot from 26 ft
9:18.0,,,0-6,,Offensive rebound by G. Temple
9:06.0,,,0-6,,Shooting foul by A. Gordon (drawn by P. Pierce)
9:06.0,,,0-7,1,P. Pierce makes free throw 1 of 2
9:06.0,,,0-7,,P. Pierce misses free throw 2 of 2
9:04.0,Defensive rebound by N. Vucevic,,0-7,,
8:51.0,Turnover by E. Payton (bad pass; steal by G. Temple),,0-7,,
8:45.0,,,0-9,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
8:28.0,V. Oladipo makes 2-pt shot from 19 ft,2,2-9,,
8:09.0,,,2-9,,Turnover by M. Gortat (traveling)
7:48.0,N. Vucevic misses 2-pt shot from 17 ft,,2-9,,
7:47.0,,,2-9,,Defensive rebound by J. Wall
7:39.0,,,2-9,,Turnover by N. Hilario (lost ball; steal by A. Gordon)
7:35.0,Shooting foul by P. Pierce (drawn by A. Gordon),,2-9,,
