time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Plumlee (D. Rose gains possession),,,,Jump ball: P. Gasol vs. M. Plumlee (D. Rose gains possession)
11:41.0,,,0-0,,Turnover by J. Butler (bad pass)
11:26.0,S. Karasev makes 2-pt shot from 2 ft,2,2-0,,
11:03.0,,,2-0,,D. Rose misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by A. Anderson,,2-0,,
10:43.0,K. Garnett misses 2-pt shot from 10 ft,,2-0,,
10:42.0,Offensive rebound by M. Plumlee,,2-0,,
10:40.0,M. Plumlee makes 2-pt shot from 1 ft,2,4-0,,
10:13.0,,,4-0,,P. Gasol misses 2-pt shot from 12 ft
10:12.0,Defensive rebound by M. Plumlee,,4-0,,
10:01.0,K. Garnett makes 2-pt shot from 15 ft (assist by D. Williams),2,6-0,,
9:39.0,,,6-0,,Shooting foul by A. Anderson (drawn by J. Butler)
9:39.0,,,6-0,,J. Butler misses free throw 1 of 2
9:39.0,,,6-0,,Offensive rebound by Team
9:39.0,,,6-1,1,J. Butler makes free throw 2 of 2
9:16.0,S. Karasev misses 3-pt shot from 24 ft,,6-1,,
9:15.0,Offensive rebound by M. Plumlee,,6-1,,
9:03.0,K. Garnett misses 2-pt shot from 14 ft,,6-1,,
9:02.0,Offensive rebound by M. Plumlee,,6-1,,
9:00.0,M. Plumlee misses 2-pt shot from 1 ft (block by P. Gasol),,6-1,,
8:58.0,Offensive rebound by K. Garnett,,6-1,,
8:58.0,K. Garnett makes 2-pt shot at rim,2,8-1,,
8:46.0,,,8-1,,T. Gibson misses 2-pt shot from 2 ft (block by M. Plumlee)
8:44.0,Defensive rebound by K. Garnett,,8-1,,
8:39.0,S. Karasev makes 2-pt shot from 1 ft (assist by D. Williams),2,10-1,,
8:32.0,,,10-1,,Chicago full timeout
8:20.0,,,10-1,,Turnover by D. Rose (lost ball; steal by D. Williams)
8:15.0,D. Williams misses 2-pt shot from 2 ft,,10-1,,
8:14.0,,,10-1,,Defensive rebound by D. Rose
8:08.0,,,10-4,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by J. Butler)
7:41.0,A. Anderson misses 3-pt shot from 25 ft,,10-4,,
7:40.0,,,10-4,,Defensive rebound by D. Rose
7:33.0,Personal foul by M. Plumlee (drawn by T. Gibson),,10-4,,
7:25.0,,,10-6,2,T. Gibson makes 2-pt shot from 2 ft (assist by M. Dunleavy)
7:06.0,A. Anderson makes 3-pt shot from 22 ft (assist by S. Karasev),3,13-6,,
6:46.0,,,13-6,,Turnover by P. Gasol (lost ball)
6:32.0,Shooting foul by T. Gibson (drawn by M. Plumlee),,13-6,,
6:32.0,M. Plumlee makes free throw 1 of 2,1,14-6,,
6:32.0,,,14-6,,Violation by T. Gibson (lane)
6:32.0,M. Plumlee misses free throw 2 of 2,,14-6,,
6:30.0,,,14-6,,Defensive rebound by P. Gasol
6:17.0,,,14-6,,M. Dunleavy misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by K. Garnett,,14-6,,
5:55.0,D. Williams makes 3-pt shot from 27 ft (assist by K. Garnett),3,17-6,,
5:55.0,Shooting foul by D. Rose (drawn by D. Williams),,17-6,,
5:55.0,D. Williams misses free throw 1 of 1,,17-6,,
5:53.0,,,17-6,,Defensive rebound by P. Gasol
5:46.0,,,17-6,,Shooting foul by D. Williams (drawn by D. Rose)
5:46.0,,,17-7,1,D. Rose makes free throw 1 of 2
5:46.0,J. Jordan enters the game for K. Garnett,,17-7,,
5:46.0,,,17-8,1,D. Rose makes free throw 2 of 2
5:30.0,A. Anderson makes 3-pt shot from 25 ft,3,20-8,,
5:19.0,,,20-10,2,D. Rose makes 2-pt shot from 3 ft
5:12.0,D. Williams misses 2-pt shot from 2 ft (block by P. Gasol),,20-10,,
5:11.0,,,20-10,,Defensive rebound by D. Rose
5:08.0,,,20-10,,Offensive charge foul by D. Rose
5:08.0,,,20-10,,Turnover by D. Rose (offensive foul)
5:08.0,,,20-10,,K. Hinrich enters the game for D. Rose
5:08.0,,,20-10,,N. Mirotic enters the game for T. Gibson
