time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. R. Gobert (D. Favors gains possession),,,,Jump ball: G. Dieng vs. R. Gobert (D. Favors gains possession)
11:35.0,D. Favors misses 2-pt shot from 10 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by G. Dieng
11:18.0,,,0-0,,Z. LaVine misses 2-pt shot from 21 ft
11:17.0,Defensive rebound by R. Gobert,,0-0,,
10:58.0,J. Ingles misses 2-pt shot from 15 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by G. Dieng
10:46.0,,,0-0,,Shooting foul by D. Favors (drawn by T. Young)
10:46.0,,,0-1,1,T. Young makes free throw 1 of 2
10:46.0,,,0-1,,T. Young misses free throw 2 of 2
10:46.0,Defensive rebound by R. Gobert,,0-1,,
10:23.0,D. Favors misses 2-pt shot from 6 ft,,0-1,,
10:21.0,,,0-1,,Defensive rebound by G. Dieng
10:10.0,Violation by D. Favors (kicked ball),,0-1,,
9:57.0,,,0-1,,G. Dieng misses 2-pt shot from 6 ft
9:56.0,Defensive rebound by J. Ingles,,0-1,,
9:41.0,T. Burke misses 3-pt shot from 23 ft,,0-1,,
9:40.0,,,0-1,,Defensive rebound by Z. LaVine
9:26.0,,,0-3,2,G. Dieng makes 2-pt shot from 14 ft
9:03.0,,,0-3,,Violation by T. Young (kicked ball)
8:54.0,T. Burke makes 2-pt shot from 5 ft,2,2-3,,
8:37.0,,,2-3,,Shooting foul by T. Burke (drawn by Z. LaVine)
8:37.0,,,2-4,1,Z. LaVine makes free throw 1 of 2
8:37.0,,,2-5,1,Z. LaVine makes free throw 2 of 2
8:29.0,Shooting foul by G. Dieng (drawn by R. Gobert),,2-5,,
8:29.0,R. Gobert makes free throw 1 of 2,1,3-5,,
8:29.0,R. Gobert misses free throw 2 of 2,,3-5,,
8:28.0,,,3-5,,Defensive rebound by A. Wiggins
8:14.0,,,3-5,,A. Wiggins misses 2-pt shot from 19 ft
8:14.0,Defensive rebound by T. Burke,,3-5,,
8:05.0,Turnover by G. Hayward (bad pass; steal by G. Dieng),,3-5,,
7:52.0,,,3-5,,T. Young misses 2-pt shot from 8 ft
7:51.0,Defensive rebound by T. Burke,,3-5,,
7:43.0,G. Hayward misses 3-pt shot from 24 ft,,3-5,,
7:42.0,,,3-5,,Defensive rebound by T. Young
7:32.0,,,3-5,,Turnover by G. Dieng (lost ball; steal by J. Ingles)
7:28.0,J. Ingles makes 2-pt shot from 1 ft,2,5-5,,
7:06.0,,,5-5,,S. Muhammad misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by D. Favors,,5-5,,
6:47.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,8-5,,
6:31.0,,,8-5,,A. Wiggins misses 3-pt shot from 23 ft
6:30.0,Defensive rebound by R. Gobert,,8-5,,
6:27.0,Turnover by G. Hayward (traveling),,8-5,,
6:11.0,,,8-5,,S. Muhammad misses 2-pt shot from 19 ft
6:10.0,Defensive rebound by G. Hayward,,8-5,,
5:47.0,G. Hayward makes 2-pt shot from 7 ft,2,10-5,,
5:45.0,,,10-5,,Minnesota full timeout
5:35.0,,,10-7,2,S. Muhammad makes 2-pt shot from 5 ft (assist by Z. LaVine)
5:19.0,Offensive charge foul by D. Favors,,10-7,,
5:19.0,Turnover by D. Favors (offensive foul),,10-7,,
5:19.0,D. Exum enters the game for J. Ingles,,10-7,,
5:19.0,T. Booker enters the game for D. Favors,,10-7,,
5:09.0,,,10-9,2,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine)
4:49.0,G. Hayward misses 2-pt shot from 2 ft (block by G. Dieng),,10-9,,
4:49.0,Offensive rebound by Team,,10-9,,
4:43.0,Shooting foul by Z. LaVine (drawn by T. Burke),,10-9,,
4:43.0,T. Burke misses free throw 1 of 2,,10-9,,
4:43.0,Offensive rebound by Team,,10-9,,
4:43.0,T. Burke makes free throw 2 of 2,1,11-9,,
4:27.0,,,11-11,2,A. Wiggins makes 2-pt shot from 10 ft (assist by S. Muhammad)
4:11.0,Turnover by D. Exum (bad pass; steal by A. Wiggins),,11-11,,
4:09.0,Personal foul by G. Hayward (drawn by Z. LaVine),,11-11,,
3:58.0,,,11-13,2,A. Wiggins makes 2-pt shot from 10 ft (assist by T. Young)
3:44.0,,,11-13,,Violation by T. Young (kicked ball)
3:44.0,Utah full timeout,,11-13,,
3:44.0,I. Clark enters the game for T. Burke,,11-13,,
3:35.0,G. Hayward misses 2-pt shot from 13 ft (block by A. Wiggins),,11-13,,
3:34.0,Offensive rebound by T. Booker,,11-13,,
3:30.0,D. Exum makes 3-pt shot from 24 ft (assist by T. Booker),3,14-13,,
3:05.0,,,14-15,2,A. Wiggins makes 2-pt shot at rim
2:47.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Booker),3,17-15,,
2:28.0,,,17-15,,Shooting foul by R. Gobert (drawn by G. Dieng)
2:28.0,,,17-16,1,G. Dieng makes free throw 1 of 2
2:28.0,,,17-16,,M. Williams enters the game for Z. LaVine
2:28.0,,,17-16,,T. Daniels enters the game for S. Muhammad
2:28.0,,,17-17,1,G. Dieng makes free throw 2 of 2
2:11.0,G. Hayward misses 2-pt shot from 10 ft,,17-17,,
2:10.0,,,17-17,,Defensive rebound by M. Williams
2:05.0,,,17-19,2,T. Young makes 2-pt shot from 1 ft (assist by M. Williams)
1:55.0,,,17-19,,Personal foul by T. Daniels (drawn by G. Hayward)
1:55.0,J. Evans enters the game for R. Gobert,,17-19,,
1:38.0,D. Exum misses 2-pt shot from 20 ft,,17-19,,
1:36.0,Offensive rebound by T. Booker,,17-19,,
1:19.0,I. Clark makes 3-pt shot from 22 ft (assist by T. Booker),3,20-19,,
0:52.0,,,20-21,2,T. Young makes 2-pt shot from 2 ft (assist by T. Daniels)
0:33.0,G. Hayward misses 2-pt shot from 9 ft (block by T. Young),,20-21,,
0:31.0,,,20-21,,Defensive rebound by M. Williams
0:25.0,,,20-21,,M. Williams misses 2-pt shot from 22 ft
0:22.0,Defensive rebound by T. Booker,,20-21,,
0:02.0,T. Booker misses 2-pt shot from 20 ft,,20-21,,
0:01.0,,,20-21,,Defensive rebound by M. Williams
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,20-21,,M. Williams misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by T. Booker,,20-21,,
11:23.0,D. Exum misses 3-pt shot from 25 ft,,20-21,,
11:22.0,,,20-21,,Defensive rebound by A. Wiggins
11:12.0,,,20-23,2,A. Wiggins makes 2-pt shot from 13 ft
10:55.0,,,20-23,,Violation by T. Young (kicked ball)
10:55.0,,,20-23,,A. Bennett enters the game for T. Young
10:55.0,T. Burke enters the game for I. Clark,,20-23,,
10:55.0,,,20-23,,S. Muhammad enters the game for A. Wiggins
10:43.0,T. Booker makes 2-pt shot at rim (assist by D. Exum),2,22-23,,
10:22.0,,,22-23,,T. Daniels misses 3-pt shot from 22 ft
10:20.0,Defensive rebound by T. Booker,,22-23,,
10:03.0,Shooting foul by J. Adrien (drawn by J. Evans),,22-23,,
10:03.0,J. Evans makes free throw 1 of 2,1,23-23,,
10:03.0,J. Evans makes free throw 2 of 2,1,24-23,,
9:50.0,,,24-23,,T. Daniels misses 3-pt shot from 24 ft (block by T. Booker)
9:48.0,,,24-23,,Offensive rebound by T. Daniels
9:45.0,,,24-23,,T. Daniels misses 2-pt shot at rim (block by J. Evans)
9:44.0,,,24-23,,Offensive rebound by T. Daniels
9:42.0,,,24-23,,S. Muhammad misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by J. Evans,,24-23,,
9:30.0,J. Ingles misses 3-pt shot from 25 ft,,24-23,,
9:27.0,,,24-23,,Defensive rebound by T. Daniels
