time,Minnesota,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. G. Dieng (Z. LaVine gains possession),,,,Jump ball: L. Amundson vs. G. Dieng (Z. LaVine gains possession)
11:52.0,A. Wiggins misses 2-pt shot from 18 ft,,0-0,,
11:50.0,,,0-0,,Defensive rebound by L. Galloway
11:35.0,,,0-0,,A. Shved misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by Z. LaVine,,0-0,,
11:19.0,G. Dieng makes 2-pt shot from 4 ft (assist by A. Payne),2,2-0,,
10:58.0,,,2-0,,A. Bargnani misses 2-pt shot from 16 ft
10:57.0,Defensive rebound by Team,,2-0,,
10:45.0,K. Martin misses 2-pt shot from 17 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by L. Amundson
10:28.0,,,2-2,2,A. Bargnani makes 2-pt shot from 2 ft
10:12.0,G. Dieng makes 2-pt shot at rim,2,4-2,,
9:44.0,,,4-4,2,A. Shved makes 2-pt shot from 1 ft
9:31.0,Shooting foul by L. Thomas (drawn by G. Dieng),,4-4,,
9:31.0,G. Dieng misses free throw 1 of 2,,4-4,,
9:31.0,Offensive rebound by Team,,4-4,,
9:31.0,G. Dieng misses free throw 2 of 2,,4-4,,
9:30.0,,,4-4,,Defensive rebound by L. Galloway
9:16.0,,,4-6,2,A. Bargnani makes 2-pt shot from 15 ft (assist by A. Shved)
8:55.0,K. Martin misses 2-pt shot from 18 ft,,4-6,,
8:53.0,,,4-6,,Defensive rebound by A. Bargnani
8:50.0,,,4-6,,Turnover by A. Shved (bad pass; steal by A. Wiggins)
8:48.0,Turnover by A. Wiggins (bad pass),,4-6,,
8:44.0,Personal foul by Z. LaVine (drawn by A. Bargnani),,4-6,,
8:40.0,Personal foul by A. Payne (drawn by A. Bargnani),,4-6,,
8:28.0,,,4-8,2,A. Bargnani makes 2-pt shot from 15 ft (assist by L. Amundson)
8:11.0,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng),3,7-8,,
7:53.0,,,7-8,,L. Thomas misses 3-pt shot from 23 ft
7:51.0,Defensive rebound by A. Payne,,7-8,,
7:46.0,A. Wiggins misses 2-pt shot from 1 ft,,7-8,,
7:44.0,,,7-8,,Defensive rebound by L. Thomas
7:35.0,,,7-8,,A. Shved misses 2-pt shot from 1 ft (block by G. Dieng)
7:34.0,,,7-8,,Offensive rebound by Team
