time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. A. Jefferson (G. Hill gains possession),,,,Jump ball: R. Hibbert vs. A. Jefferson (G. Hill gains possession)
11:44.0,,,0-2,2,C. Miles makes 2-pt shot from 17 ft (assist by G. Hill)
11:19.0,A. Jefferson misses 2-pt shot from 8 ft (block by C. Miles),,0-2,,
11:18.0,,,0-2,,Defensive rebound by C. Miles
11:12.0,,,0-4,2,R. Hibbert makes 2-pt shot from 3 ft (assist by D. West)
10:58.0,M. Williams misses 2-pt shot from 19 ft,,0-4,,
10:57.0,,,0-4,,Defensive rebound by S. Hill
10:42.0,,,0-4,,D. West misses 2-pt shot at rim
10:41.0,,,0-4,,Offensive rebound by D. West
10:41.0,,,0-4,,D. West misses 2-pt shot at rim
10:40.0,Defensive rebound by M. Williams,,0-4,,
10:32.0,K. Walker misses 2-pt shot from 11 ft,,0-4,,
10:31.0,,,0-4,,Defensive rebound by D. West
10:24.0,,,0-4,,G. Hill misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by J. Taylor,,0-4,,
10:16.0,Shooting foul by D. West (drawn by M. Williams),,0-4,,
10:16.0,M. Williams makes free throw 1 of 2,1,1-4,,
10:16.0,M. Williams makes free throw 2 of 2,1,2-4,,
10:02.0,,,2-4,,R. Hibbert misses 2-pt shot from 11 ft
10:01.0,Defensive rebound by A. Jefferson,,2-4,,
9:42.0,A. Jefferson makes 2-pt shot from 11 ft (assist by M. Williams),2,4-4,,
9:21.0,,,4-6,2,C. Miles makes 2-pt shot from 1 ft (assist by G. Hill)
9:06.0,G. Henderson makes 2-pt shot from 21 ft (assist by J. Taylor),2,6-6,,
8:47.0,,,6-6,,Turnover by G. Hill (bad pass; steal by M. Williams)
8:44.0,M. Williams makes 2-pt shot at rim,2,8-6,,
8:44.0,Shooting foul by C. Miles (drawn by M. Williams),,8-6,,
8:44.0,M. Williams makes free throw 1 of 1,1,9-6,,
8:31.0,,,9-6,,S. Hill misses 2-pt shot from 1 ft (block by G. Henderson)
8:29.0,Defensive rebound by M. Williams,,9-6,,
8:20.0,Turnover by K. Walker (lost ball; steal by G. Hill),,9-6,,
8:09.0,,,9-8,2,G. Hill makes 2-pt shot at rim (assist by D. West)
7:42.0,A. Jefferson misses 2-pt shot from 6 ft,,9-8,,
7:41.0,,,9-8,,Defensive rebound by G. Hill
7:28.0,,,9-8,,G. Hill misses 3-pt shot from 27 ft
7:27.0,Defensive rebound by G. Henderson,,9-8,,
7:18.0,K. Walker misses 3-pt shot from 25 ft,,9-8,,
7:17.0,,,9-8,,Defensive rebound by R. Hibbert
7:08.0,,,9-8,,R. Hibbert misses 2-pt shot from 18 ft
7:07.0,Defensive rebound by G. Henderson,,9-8,,
7:02.0,,,9-8,,Personal foul by S. Hill (drawn by G. Henderson)
6:59.0,G. Henderson makes 3-pt shot from 25 ft (assist by M. Williams),3,12-8,,
6:51.0,,,12-8,,Indiana full timeout
6:40.0,,,12-8,,Turnover by D. West (lost ball; steal by A. Jefferson)
6:21.0,A. Jefferson misses 2-pt shot at rim,,12-8,,
6:20.0,,,12-8,,Defensive rebound by R. Hibbert
6:13.0,,,12-8,,C. Miles misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by M. Williams,,12-8,,
5:59.0,A. Jefferson makes 2-pt shot from 11 ft (assist by K. Walker),2,14-8,,
5:45.0,,,14-10,2,D. West makes 2-pt shot from 20 ft (assist by G. Hill)
5:22.0,G. Henderson misses 2-pt shot from 20 ft,,14-10,,
5:21.0,,,14-10,,Defensive rebound by C. Miles
5:04.0,,,14-10,,C. Miles misses 2-pt shot from 15 ft
5:02.0,,,14-10,,Offensive rebound by Team
5:02.0,,,14-10,,R. Stuckey enters the game for S. Hill
4:46.0,,,14-12,2,R. Hibbert makes 2-pt shot at rim
4:46.0,,,14-12,,Shooting foul by A. Jefferson (drawn by R. Hibbert)
4:46.0,,,14-12,,R. Hibbert misses free throw 1 of 1
4:46.0,Defensive rebound by M. Williams,,14-12,,
4:29.0,G. Henderson misses 2-pt shot from 19 ft,,14-12,,
4:29.0,,,14-12,,Defensive rebound by R. Hibbert
4:15.0,,,14-12,,R. Hibbert misses 2-pt shot from 7 ft
4:14.0,,,14-12,,Offensive rebound by D. West
4:08.0,,,14-14,2,R. Stuckey makes 2-pt shot from 3 ft (assist by G. Hill)
4:00.0,Charlotte full timeout,,14-14,,
4:00.0,B. Biyombo enters the game for A. Jefferson,,14-14,,
4:00.0,M. Williams enters the game for G. Henderson,,14-14,,
4:00.0,,,14-14,,I. Mahinmi enters the game for D. West
4:00.0,,,14-14,,L. Scola enters the game for R. Hibbert
3:53.0,M. Williams makes 2-pt shot from 22 ft (assist by K. Walker),2,16-14,,
3:29.0,,,16-14,,G. Hill misses 2-pt shot from 21 ft
3:28.0,Defensive rebound by B. Biyombo,,16-14,,
3:11.0,M. Williams makes 3-pt shot from 22 ft (assist by K. Walker),3,19-14,,
2:53.0,,,19-14,,G. Hill misses 2-pt shot from 14 ft
2:52.0,Defensive rebound by Team,,19-14,,
2:52.0,,,19-14,,Loose ball foul by L. Scola (drawn by B. Biyombo)
2:52.0,P. Hairston enters the game for K. Walker,,19-14,,
2:41.0,M. Williams makes 2-pt shot from 9 ft,2,21-14,,
2:32.0,Personal foul by P. Hairston (drawn by C. Miles),,21-14,,
2:23.0,,,21-16,2,C. Miles makes 2-pt shot from 20 ft (assist by G. Hill)
2:08.0,M. Williams makes 2-pt shot from 18 ft,2,23-16,,
1:48.0,,,23-16,,Turnover by R. Stuckey (lost ball; steal by M. Williams)
1:43.0,M. Williams makes 2-pt shot from 15 ft,2,25-16,,
1:43.0,,,25-16,,Indiana full timeout
1:43.0,,,25-16,,C. Watson enters the game for G. Hill
1:43.0,J. Maxiell enters the game for M. Williams,,25-16,,
1:33.0,,,25-19,3,C. Miles makes 3-pt shot from 27 ft (assist by L. Scola)
1:16.0,M. Williams misses 2-pt shot from 18 ft,,25-19,,
1:14.0,,,25-19,,Defensive rebound by R. Stuckey
1:10.0,,,25-19,,Offensive charge foul by R. Stuckey
1:10.0,,,25-19,,Turnover by R. Stuckey (offensive foul)
1:01.0,Turnover by M. Williams (lost ball),,25-19,,
0:46.0,,,25-19,,Turnover by C. Miles (lost ball; steal by J. Taylor)
0:43.0,Charlotte full timeout,,25-19,,
0:43.0,,,25-19,,D. Rudez enters the game for C. Miles
