time,Indiana,pts.away,score,pts.home,Memphis
7:10.0,R. Hibbert makes 2-pt shot from 8 ft,2,14-11,,
6:56.0,Personal foul by S. Hill (drawn by J. Green),,14-11,,
6:46.0,,,14-13,2,M. Gasol makes 2-pt shot from 17 ft (assist by J. Green)
6:27.0,C. Miles makes 3-pt shot from 24 ft,3,17-13,,
6:09.0,,,17-13,,Turnover by J. Green (lost ball; steal by C. Miles)
6:03.0,G. Hill misses 3-pt shot from 25 ft,,17-13,,
6:01.0,Offensive rebound by D. West,,17-13,,
5:53.0,Indiana full timeout,,17-13,,
5:53.0,L. Scola enters the game for D. West,,17-13,,
5:44.0,C. Miles makes 2-pt shot from 1 ft,2,19-13,,
5:28.0,,,19-15,2,J. Green makes 2-pt shot from 1 ft
5:13.0,S. Hill misses 2-pt shot at rim,,19-15,,
5:12.0,,,19-15,,Defensive rebound by M. Gasol
4:54.0,,,19-15,,J. Green misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by Team,,19-15,,
4:34.0,C. Miles misses 3-pt shot from 26 ft,,19-15,,
4:33.0,,,19-15,,Defensive rebound by B. Udrih
4:29.0,Personal foul by L. Scola (drawn by Z. Randolph),,19-15,,
4:29.0,I. Mahinmi enters the game for R. Hibbert,,19-15,,
4:29.0,,,19-15,,N. Calathes enters the game for B. Udrih
4:15.0,,,19-15,,M. Gasol misses 2-pt shot from 16 ft
4:14.0,,,19-15,,Offensive rebound by N. Calathes
4:12.0,,,19-15,,N. Calathes misses 2-pt shot at rim
4:09.0,Defensive rebound by L. Scola,,19-15,,
4:04.0,,,19-15,,Personal foul by N. Calathes (drawn by C. Miles)
3:59.0,,,19-15,,Personal foul by Z. Randolph (drawn by G. Hill)
3:59.0,P. George enters the game for S. Hill,,19-15,,
3:59.0,R. Stuckey enters the game for C. Miles,,19-15,,
3:45.0,R. Stuckey misses 2-pt shot from 22 ft,,19-15,,
3:43.0,,,19-15,,Defensive rebound by N. Calathes
3:39.0,,,19-15,,Turnover by J. Green (traveling)
3:20.0,L. Scola makes 2-pt shot from 1 ft,2,21-15,,
3:10.0,,,21-15,,Z. Randolph misses 2-pt shot from 7 ft
3:09.0,,,21-15,,Offensive rebound by M. Gasol
3:09.0,,,21-15,,M. Gasol misses 2-pt shot from 1 ft
3:08.0,Defensive rebound by G. Hill,,21-15,,
