time,Indiana,pts.away,score,pts.home,Memphis
0:38.0,D. Sloan enters the game for G. Hill,,81-95,,
0:38.0,L. Allen enters the game for D. West,,81-95,,
0:38.0,,,81-95,,C. Lee misses free throw 2 of 2
0:38.0,Defensive rebound by L. Allen,,81-95,,
0:31.0,R. Stuckey misses 3-pt shot from 25 ft,,81-95,,
0:30.0,,,81-95,,Defensive rebound by J. Green
0:11.0,,,81-95,,J. Adams misses 2-pt shot from 20 ft
0:10.0,Defensive rebound by R. Stuckey,,81-95,,
0:04.0,C. Miles makes 2-pt shot at rim,2,83-95,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
