time,Golden State,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: A. Bogut vs. M. Gortat (N. Hilario gains possession)
11:42.0,,,0-2,2,N. Hilario makes 2-pt shot from 1 ft
11:34.0,Turnover by H. Barnes (bad pass),,0-2,,
11:17.0,,,0-4,2,M. Gortat makes 2-pt shot from 16 ft (assist by J. Wall)
11:11.0,D. Green misses 2-pt shot from 18 ft,,0-4,,
11:09.0,,,0-4,,Defensive rebound by P. Pierce
11:03.0,,,0-6,2,J. Wall makes 2-pt shot from 17 ft
10:47.0,D. Green misses 2-pt shot from 8 ft,,0-6,,
10:46.0,,,0-6,,Defensive rebound by P. Pierce
10:41.0,,,0-8,2,N. Hilario makes 2-pt shot from 1 ft (assist by P. Pierce)
10:41.0,,,0-8,,Shooting foul by D. Green (drawn by N. Hilario)
10:41.0,,,0-9,1,N. Hilario makes free throw 1 of 1
10:32.0,H. Barnes makes 2-pt shot from 1 ft,2,2-9,,
10:19.0,Personal foul by D. Green (drawn by N. Hilario),,2-9,,
10:19.0,D. Lee enters the game for D. Green,,2-9,,
10:19.0,Technical foul by D. Green (drawn by N. Hilario),,2-9,,
10:19.0,,,2-9,,J. Wall misses technical free throw
10:19.0,,,2-9,,Offensive rebound by Team
10:14.0,,,2-9,,Turnover by N. Hilario (lost ball; steal by S. Curry)
10:02.0,K. Thompson misses 2-pt shot from 13 ft,,2-9,,
10:00.0,,,2-9,,Defensive rebound by N. Hilario
9:50.0,,,2-9,,Turnover by J. Wall (bad pass)
9:44.0,S. Curry misses 3-pt shot from 25 ft,,2-9,,
9:43.0,,,2-9,,Defensive rebound by Team
9:43.0,Loose ball foul by A. Bogut (drawn by N. Hilario),,2-9,,
9:35.0,,,2-9,,J. Wall misses 2-pt shot from 1 ft
9:34.0,Defensive rebound by D. Lee,,2-9,,
9:25.0,S. Curry makes 3-pt shot from 27 ft,3,5-9,,
9:07.0,,,5-12,3,P. Pierce makes 3-pt shot from 26 ft (assist by N. Hilario)
8:54.0,K. Thompson makes 2-pt shot from 12 ft (assist by S. Curry),2,7-12,,
8:35.0,,,7-12,,N. Hilario misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by H. Barnes,,7-12,,
8:28.0,D. Lee misses 2-pt shot at rim,,7-12,,
8:26.0,,,7-12,,Defensive rebound by G. Temple
8:20.0,,,7-12,,P. Pierce misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by A. Bogut,,7-12,,
8:11.0,D. Lee makes 2-pt shot at rim (assist by S. Curry),2,9-12,,
7:59.0,,,9-12,,Turnover by G. Temple (lost ball; steal by K. Thompson)
7:55.0,S. Curry makes 2-pt shot at rim (assist by H. Barnes),2,11-12,,
7:40.0,,,11-14,2,J. Wall makes 2-pt shot at rim
7:29.0,S. Curry misses 2-pt shot from 1 ft,,11-14,,
7:28.0,,,11-14,,Defensive rebound by M. Gortat
7:15.0,,,11-14,,G. Temple misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by D. Lee,,11-14,,
7:04.0,K. Thompson makes 2-pt shot from 7 ft,2,13-14,,
6:42.0,,,13-14,,J. Wall misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by D. Lee,,13-14,,
6:27.0,Turnover by K. Thompson (lost ball; steal by G. Temple),,13-14,,
6:22.0,,,13-14,,Shooting foul by S. Curry (drawn by P. Pierce)
6:22.0,,,13-15,1,P. Pierce makes free throw 1 of 2
6:22.0,Golden State full timeout,,13-15,,
6:22.0,,,13-16,1,P. Pierce makes free throw 2 of 2
6:04.0,A. Bogut misses 2-pt shot at rim,,13-16,,
6:03.0,,,13-16,,Defensive rebound by N. Hilario
5:58.0,,,13-16,,J. Wall misses 2-pt shot from 1 ft
5:57.0,,,13-16,,Offensive rebound by M. Gortat
5:55.0,,,13-18,2,M. Gortat makes 2-pt shot from 1 ft
5:47.0,K. Thompson misses 3-pt shot from 27 ft,,13-18,,
5:46.0,,,13-18,,Defensive rebound by M. Gortat
5:36.0,,,13-18,,Turnover by J. Wall (bad pass; steal by S. Curry)
5:31.0,,,13-18,,Personal foul by G. Temple (drawn by S. Curry)
5:20.0,A. Bogut misses 2-pt shot from 7 ft,,13-18,,
5:19.0,,,13-18,,Defensive rebound by N. Hilario
5:11.0,,,13-18,,M. Gortat misses 2-pt shot from 3 ft
5:10.0,Defensive rebound by A. Bogut,,13-18,,
5:00.0,D. Lee misses 2-pt shot from 1 ft,,13-18,,
4:59.0,,,13-18,,Defensive rebound by M. Gortat
4:51.0,,,13-18,,Turnover by P. Pierce (bad pass)
4:51.0,M. Speights enters the game for A. Bogut,,13-18,,
4:51.0,,,13-18,,K. Seraphin enters the game for N. Hilario
4:42.0,S. Curry makes 2-pt shot from 18 ft,2,15-18,,
4:35.0,,,15-20,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:24.0,K. Thompson misses 2-pt shot from 2 ft,,15-20,,
4:23.0,,,15-20,,Defensive rebound by G. Temple
4:17.0,,,15-22,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:57.0,M. Speights makes 2-pt shot from 18 ft (assist by S. Curry),2,17-22,,
3:48.0,,,17-22,,Offensive foul by J. Wall
3:48.0,,,17-22,,Turnover by J. Wall (offensive foul)
3:48.0,A. Iguodala enters the game for H. Barnes,,17-22,,
3:48.0,,,17-22,,R. Butler enters the game for P. Pierce
3:36.0,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry),2,19-22,,
3:34.0,,,19-22,,Washington full timeout
3:16.0,,,19-24,2,K. Seraphin makes 2-pt shot from 8 ft
3:00.0,M. Speights makes 2-pt shot from 14 ft (assist by D. Lee),2,21-24,,
2:42.0,,,21-24,,J. Wall misses 2-pt shot from 19 ft
2:41.0,Defensive rebound by D. Lee,,21-24,,
2:35.0,S. Curry makes 3-pt shot from 26 ft,3,24-24,,
2:18.0,,,24-26,2,R. Butler makes 2-pt shot from 2 ft
