time,Atlanta,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. A. Horford (J. Teague gains possession),,,,Jump ball: K. Faried vs. A. Horford (J. Teague gains possession)
11:51.0,,,0-0,,Personal foul by R. Foye (drawn by K. Korver)
11:37.0,P. Millsap misses 2-pt shot from 3 ft (block by W. Chandler),,0-0,,
11:35.0,,,0-0,,Defensive rebound by R. Foye
11:26.0,,,0-0,,Turnover by T. Lawson (bad pass; steal by J. Teague)
11:12.0,K. Korver makes 2-pt shot from 19 ft (assist by D. Carroll),2,2-0,,
10:48.0,,,2-2,2,D. Gallinari makes 2-pt shot at rim (assist by K. Faried)
10:29.0,A. Horford makes 2-pt shot from 7 ft,2,4-2,,
10:04.0,,,4-2,,R. Foye misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by J. Teague,,4-2,,
9:55.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,7-2,,
9:38.0,,,7-2,,Shooting foul by P. Millsap (drawn by T. Lawson)
9:38.0,,,7-3,1,T. Lawson makes free throw 1 of 3
9:38.0,,,7-4,1,T. Lawson makes free throw 2 of 3
9:38.0,,,7-5,1,T. Lawson makes free throw 3 of 3
9:17.0,P. Millsap misses 3-pt shot from 24 ft,,7-5,,
9:16.0,,,7-5,,Defensive rebound by T. Lawson
9:08.0,,,7-5,,W. Chandler misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by A. Horford,,7-5,,
9:01.0,Turnover by J. Teague (bad pass),,7-5,,
8:42.0,,,7-5,,D. Gallinari misses 2-pt shot from 8 ft
8:41.0,,,7-5,,Offensive rebound by Team
8:28.0,,,7-7,2,D. Gallinari makes 2-pt shot from 12 ft
8:22.0,K. Korver misses 3-pt shot from 24 ft,,7-7,,
8:21.0,,,7-7,,Defensive rebound by K. Faried
8:07.0,,,7-7,,W. Chandler misses 2-pt shot from 17 ft
8:06.0,,,7-7,,Offensive rebound by K. Faried
8:04.0,,,7-7,,Turnover by K. Faried (bad pass; steal by D. Carroll)
7:49.0,Turnover by K. Korver (step out of bounds),,7-7,,
7:37.0,,,7-9,2,K. Faried makes 2-pt shot at rim (assist by D. Gallinari)
7:22.0,A. Horford misses 2-pt shot from 2 ft (block by K. Faried),,7-9,,
7:20.0,,,7-9,,Defensive rebound by W. Chandler
7:17.0,,,7-9,,Turnover by W. Chandler (lost ball; steal by J. Teague)
7:13.0,J. Teague makes 2-pt shot from 2 ft,2,9-9,,
7:01.0,,,9-9,,T. Lawson misses 2-pt shot from 16 ft
6:59.0,Defensive rebound by A. Horford,,9-9,,
6:51.0,Turnover by J. Teague (lost ball; steal by K. Faried),,9-9,,
6:50.0,Personal foul by J. Teague (drawn by T. Lawson),,9-9,,
6:50.0,,,9-9,,J. Hickson enters the game for K. Faried
6:38.0,,,9-9,,Turnover by J. Hickson (lost ball; steal by A. Horford)
6:24.0,A. Horford misses 2-pt shot from 19 ft,,9-9,,
6:22.0,,,9-9,,Defensive rebound by W. Chandler
6:22.0,P. Antic enters the game for A. Horford,,9-9,,
6:22.0,K. Bazemore enters the game for K. Korver,,9-9,,
6:03.0,,,9-9,,D. Gallinari misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by P. Millsap,,9-9,,
5:49.0,P. Millsap misses 2-pt shot from 16 ft,,9-9,,
5:48.0,,,9-9,,Defensive rebound by D. Gallinari
5:43.0,Personal foul by D. Carroll (drawn by D. Gallinari),,9-9,,
5:43.0,,,9-9,,Denver full timeout
5:27.0,,,9-11,2,J. Hickson makes 2-pt shot from 1 ft (assist by T. Lawson)
5:04.0,Offensive foul by P. Millsap,,9-11,,
5:04.0,Turnover by P. Millsap (offensive foul),,9-11,,
5:04.0,M. Scott enters the game for P. Millsap,,9-11,,
4:52.0,,,9-11,,D. Gallinari misses 3-pt shot from 26 ft
4:50.0,Defensive rebound by J. Teague,,9-11,,
4:34.0,M. Scott misses 3-pt shot from 25 ft,,9-11,,
4:33.0,Offensive rebound by D. Carroll,,9-11,,
4:22.0,M. Scott makes 2-pt shot from 14 ft (assist by J. Teague),2,11-11,,
4:05.0,,,11-14,3,W. Chandler makes 3-pt shot from 25 ft (assist by D. Gallinari)
3:47.0,J. Teague makes 2-pt shot from 1 ft,2,13-14,,
3:36.0,,,13-16,2,T. Lawson makes 2-pt shot from 15 ft
3:25.0,J. Teague makes 2-pt shot from 4 ft,2,15-16,,
3:14.0,,,15-19,3,D. Gallinari makes 3-pt shot from 22 ft (assist by T. Lawson)
3:07.0,Atlanta full timeout,,15-19,,
