time,New York,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. S. Dalembert (J. Calderon gains possession),,,,Jump ball: T. Chandler vs. S. Dalembert (J. Calderon gains possession)
11:44.0,J. Smith misses 3-pt shot from 25 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by T. Chandler
11:36.0,,,0-0,,D. Harris misses 2-pt shot from 2 ft
11:34.0,,,0-0,,Offensive rebound by T. Chandler
11:34.0,,,0-2,2,T. Chandler makes 2-pt shot at rim
11:17.0,J. Calderon misses 2-pt shot from 16 ft (block by D. Harris),,0-2,,
11:14.0,Offensive rebound by J. Calderon,,0-2,,
11:11.0,I. Shumpert makes 2-pt shot at rim (assist by J. Smith),2,2-2,,
10:56.0,,,2-2,,T. Chandler misses 2-pt shot from 17 ft
10:55.0,Defensive rebound by J. Calderon,,2-2,,
10:39.0,Turnover by J. Smith (traveling),,2-2,,
10:19.0,,,2-2,,D. Nowitzki misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Smith,,2-2,,
10:08.0,I. Shumpert misses 3-pt shot from 25 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by T. Chandler
9:56.0,,,2-2,,C. Parsons misses 2-pt shot at rim (block by S. Dalembert)
9:54.0,Defensive rebound by J. Calderon,,2-2,,
9:48.0,S. Dalembert misses 2-pt shot at rim,,2-2,,
9:45.0,,,2-2,,Defensive rebound by D. Nowitzki
9:40.0,,,2-2,,Shooting foul by J. Smith (drawn by T. Chandler)
9:40.0,,,2-2,,T. Chandler misses free throw 1 of 2
9:40.0,,,2-2,,Offensive rebound by Team
9:40.0,,,2-2,,T. Chandler misses free throw 2 of 2
9:38.0,Defensive rebound by S. Dalembert,,2-2,,
9:21.0,I. Shumpert misses 2-pt shot from 17 ft (block by M. Ellis),,2-2,,
9:19.0,Offensive rebound by J. Calderon,,2-2,,
9:16.0,J. Calderon makes 3-pt shot from 24 ft,3,5-2,,
8:56.0,,,5-4,2,M. Ellis makes 2-pt shot from 17 ft
8:42.0,S. Dalembert misses 2-pt shot from 4 ft,,5-4,,
8:40.0,,,5-4,,Defensive rebound by C. Parsons
8:38.0,,,5-4,,Turnover by C. Parsons (lost ball; steal by S. Dalembert)
8:34.0,J. Calderon makes 3-pt shot from 25 ft (assist by I. Shumpert),3,8-4,,
8:14.0,,,8-4,,D. Nowitzki misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by S. Dalembert,,8-4,,
8:02.0,I. Shumpert makes 3-pt shot from 22 ft (assist by J. Smith),3,11-4,,
7:44.0,,,11-6,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by T. Chandler)
7:32.0,J. Smith misses 3-pt shot from 24 ft,,11-6,,
7:31.0,Offensive rebound by Team,,11-6,,
7:24.0,Shooting foul by T. Chandler (drawn by S. Dalembert),,11-6,,
7:24.0,,,11-6,,Dallas full timeout
7:24.0,S. Dalembert makes free throw 1 of 2,1,12-6,,
7:24.0,S. Dalembert makes free throw 2 of 2,1,13-6,,
7:11.0,,,13-6,,M. Ellis misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by S. Dalembert,,13-6,,
6:54.0,Q. Acy makes 2-pt shot from 16 ft (assist by J. Smith),2,15-6,,
6:43.0,,,15-6,,Shooting foul by S. Dalembert (drawn by T. Chandler)
6:43.0,,,15-7,1,T. Chandler makes free throw 1 of 2
6:43.0,,,15-8,1,T. Chandler makes free throw 2 of 2
6:23.0,Turnover by J. Smith (lost ball),,15-8,,
6:15.0,,,15-10,2,D. Harris makes 2-pt shot from 5 ft
5:59.0,J. Smith misses 2-pt shot from 1 ft,,15-10,,
5:57.0,,,15-10,,Defensive rebound by T. Chandler
5:56.0,,,15-10,,Turnover by T. Chandler (bad pass)
5:40.0,S. Dalembert makes 2-pt shot at rim (assist by I. Shumpert),2,17-10,,
5:19.0,,,17-10,,D. Harris misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by Q. Acy,,17-10,,
5:05.0,J. Calderon misses 2-pt shot from 16 ft,,17-10,,
5:04.0,Offensive rebound by J. Calderon,,17-10,,
5:00.0,J. Calderon makes 3-pt shot from 23 ft,3,20-10,,
4:44.0,,,20-13,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris)
4:27.0,J. Calderon misses 3-pt shot from 24 ft,,20-13,,
4:26.0,,,20-13,,Defensive rebound by T. Chandler
4:26.0,Loose ball foul by S. Dalembert (drawn by T. Chandler),,20-13,,
4:26.0,A. Stoudemire enters the game for S. Dalembert,,20-13,,
4:26.0,,,20-13,,B. Wright enters the game for D. Nowitzki
4:13.0,,,20-13,,M. Ellis misses 2-pt shot from 1 ft
4:11.0,,,20-13,,Offensive rebound by T. Chandler
4:11.0,,,20-13,,T. Chandler misses 2-pt shot at rim
4:09.0,,,20-13,,Offensive rebound by T. Chandler
4:09.0,,,20-13,,T. Chandler misses 2-pt shot at rim
4:09.0,,,20-13,,Offensive rebound by T. Chandler
4:06.0,,,20-13,,C. Parsons misses 3-pt shot from 24 ft
4:05.0,,,20-13,,Offensive rebound by B. Wright
3:58.0,,,20-13,,Turnover by M. Ellis (bad pass; steal by I. Shumpert)
3:52.0,I. Shumpert misses 2-pt shot from 14 ft,,20-13,,
3:50.0,,,20-13,,Defensive rebound by C. Parsons
3:40.0,,,20-15,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
3:33.0,New York full timeout,,20-15,,
3:33.0,,,20-15,,J. Barea enters the game for T. Chandler
3:33.0,,,20-15,,A. Aminu enters the game for D. Harris
3:33.0,J. Smith enters the game for Q. Acy,,20-15,,
3:10.0,J. Smith misses 3-pt shot from 50 ft,,20-15,,
3:07.0,Offensive rebound by J. Smith,,20-15,,
3:05.0,Turnover by J. Smith (bad pass; steal by B. Wright),,20-15,,
