time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. D. Motiejunas (D. Green gains possession),,,,Jump ball: F. Ezeli vs. D. Motiejunas (D. Green gains possession)
11:45.0,,,0-3,3,D. Green makes 3-pt shot from 26 ft (assist by K. Thompson)
11:12.0,Turnover by J. Harden (bad pass),,0-3,,
11:10.0,,,0-3,,Shooting foul by D. Motiejunas (drawn by F. Ezeli)
11:10.0,,,0-4,1,F. Ezeli makes free throw 1 of 2
11:10.0,,,0-5,1,F. Ezeli makes free throw 2 of 2
11:03.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,2-5,,
10:42.0,,,2-5,,Shooting foul by T. Black (drawn by F. Ezeli)
10:42.0,,,2-6,1,F. Ezeli makes free throw 1 of 2
10:42.0,,,2-6,,F. Ezeli misses free throw 2 of 2
10:40.0,Defensive rebound by D. Motiejunas,,2-6,,
10:23.0,D. Motiejunas misses 2-pt shot from 3 ft,,2-6,,
10:22.0,,,2-6,,Defensive rebound by D. Green
10:16.0,,,2-6,,S. Curry misses 3-pt shot from 28 ft
10:15.0,Defensive rebound by Team,,2-6,,
10:03.0,Turnover by D. Motiejunas (bad pass; steal by H. Barnes),,2-6,,
9:51.0,,,2-6,,K. Thompson misses 3-pt shot from 26 ft
9:50.0,,,2-6,,Offensive rebound by S. Curry
9:45.0,,,2-6,,H. Barnes misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by P. Beverley,,2-6,,
9:37.0,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden),3,5-6,,
9:15.0,,,5-6,,Turnover by K. Thompson (bad pass; steal by P. Beverley)
9:01.0,Shooting foul by S. Curry (drawn by T. Ariza),,5-6,,
9:01.0,T. Ariza makes free throw 1 of 2,1,6-6,,
9:01.0,T. Ariza makes free throw 2 of 2,1,7-6,,
8:46.0,,,7-6,,D. Green misses 3-pt shot from 23 ft
8:45.0,,,7-6,,Offensive rebound by H. Barnes
8:43.0,,,7-8,2,H. Barnes makes 2-pt shot at rim
8:32.0,J. Harden makes 2-pt shot from 6 ft,2,9-8,,
8:19.0,,,9-10,2,F. Ezeli makes 2-pt shot from 6 ft (assist by S. Curry)
7:59.0,D. Motiejunas misses 2-pt shot from 8 ft,,9-10,,
7:59.0,,,9-10,,Defensive rebound by F. Ezeli
7:52.0,,,9-10,,Turnover by S. Curry (bad pass; steal by T. Ariza)
7:46.0,T. Ariza misses 3-pt shot from 25 ft,,9-10,,
7:45.0,Offensive rebound by T. Black,,9-10,,
7:43.0,T. Black makes 2-pt shot at rim,2,11-10,,
7:28.0,,,11-10,,K. Thompson misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by T. Ariza,,11-10,,
7:20.0,J. Harden makes 2-pt shot from 1 ft,2,13-10,,
7:13.0,,,13-10,,Shooting foul by J. Harden (drawn by K. Thompson)
7:13.0,,,13-11,1,K. Thompson makes free throw 1 of 2
7:13.0,,,13-12,1,K. Thompson makes free throw 2 of 2
6:59.0,T. Black makes 2-pt shot from 1 ft (assist by J. Harden),2,15-12,,
6:45.0,,,15-12,,D. Green misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by P. Beverley,,15-12,,
6:30.0,P. Beverley makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,18-12,,
6:23.0,,,18-12,,Golden State full timeout
6:14.0,,,18-12,,K. Thompson misses 3-pt shot from 25 ft
6:12.0,Defensive rebound by T. Black,,18-12,,
6:03.0,Turnover by P. Beverley (lost ball; steal by K. Thompson),,18-12,,
5:58.0,,,18-14,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
5:43.0,P. Beverley makes 2-pt shot from 17 ft,2,20-14,,
5:25.0,,,20-16,2,F. Ezeli makes 2-pt shot at rim (assist by H. Barnes)
5:08.0,Turnover by J. Harden (bad pass),,20-16,,
5:08.0,,,20-16,,A. Iguodala enters the game for H. Barnes
5:08.0,,,20-16,,M. Speights enters the game for F. Ezeli
4:59.0,,,20-16,,Turnover by K. Thompson (lost ball; steal by J. Harden)
4:56.0,J. Harden makes 2-pt shot at rim,2,22-16,,
4:34.0,,,22-16,,M. Speights misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by P. Beverley,,22-16,,
4:07.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by P. Beverley),2,24-16,,
3:53.0,,,24-18,2,S. Curry makes 2-pt shot from 17 ft
3:44.0,J. Harden misses 2-pt shot from 5 ft (block by M. Speights),,24-18,,
3:41.0,,,24-18,,Defensive rebound by M. Speights
3:39.0,Personal take foul by P. Beverley (drawn by K. Thompson),,24-18,,
