time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez,,,,Jump ball: A. Horford vs. B. Lopez
11:38.0,J. Johnson makes 2-pt shot from 7 ft,2,2-0,,
11:21.0,,,2-3,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
10:54.0,D. Williams misses 2-pt shot from 23 ft,,2-3,,
10:53.0,,,2-3,,Defensive rebound by P. Millsap
10:37.0,,,2-3,,P. Millsap misses 2-pt shot from 9 ft
10:36.0,,,2-3,,Offensive rebound by Team
10:34.0,,,2-5,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
10:18.0,Turnover by T. Young (lost ball; steal by P. Millsap),,2-5,,
10:14.0,,,2-5,,Shooting foul by D. Williams (drawn by D. Carroll)
10:14.0,,,2-6,1,D. Carroll makes free throw 1 of 2
10:14.0,,,2-7,1,D. Carroll makes free throw 2 of 2
9:56.0,M. Brown makes 2-pt shot from 4 ft,2,4-7,,
9:52.0,,,4-7,,Turnover by J. Teague (lost ball)
9:40.0,J. Johnson misses 3-pt shot from 25 ft,,4-7,,
9:38.0,,,4-7,,Defensive rebound by A. Horford
9:26.0,,,4-9,2,J. Teague makes 2-pt shot from 5 ft
9:10.0,T. Young misses 2-pt shot from 6 ft (block by P. Millsap),,4-9,,
9:09.0,Offensive rebound by T. Young,,4-9,,
9:09.0,Shooting foul by P. Millsap (drawn by T. Young),,4-9,,
9:09.0,T. Young makes free throw 1 of 2,1,5-9,,
9:09.0,T. Young misses free throw 2 of 2,,5-9,,
9:07.0,Offensive rebound by B. Lopez,,5-9,,
9:07.0,B. Lopez misses 2-pt shot from 1 ft,,5-9,,
9:06.0,Offensive rebound by B. Lopez,,5-9,,
9:04.0,B. Lopez makes 2-pt shot at rim,2,7-9,,
8:46.0,,,7-9,,P. Millsap misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by D. Williams,,7-9,,
8:38.0,Turnover by M. Brown (traveling),,7-9,,
8:17.0,,,7-11,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
7:57.0,M. Brown misses 3-pt shot from 24 ft,,7-11,,
7:55.0,Offensive rebound by T. Young,,7-11,,
7:49.0,J. Johnson misses 2-pt shot from 16 ft,,7-11,,
7:47.0,Offensive rebound by M. Brown,,7-11,,
7:47.0,M. Brown makes 2-pt shot at rim,2,9-11,,
7:34.0,,,9-11,,J. Teague misses 2-pt shot from 1 ft
7:32.0,,,9-11,,Offensive rebound by A. Horford
7:32.0,,,9-13,2,A. Horford makes 2-pt shot at rim
7:20.0,Turnover by D. Williams (bad pass; steal by P. Millsap),,9-13,,
7:13.0,,,9-13,,D. Carroll misses 2-pt shot from 2 ft
7:10.0,,,9-13,,Offensive rebound by D. Carroll
7:10.0,,,9-15,2,D. Carroll makes 2-pt shot from 2 ft
7:10.0,Brooklyn full timeout,,9-15,,
6:51.0,J. Johnson misses 3-pt shot from 24 ft,,9-15,,
6:48.0,,,9-15,,Defensive rebound by K. Korver
6:36.0,,,9-15,,J. Teague misses 2-pt shot from 5 ft
6:34.0,Defensive rebound by B. Lopez,,9-15,,
6:25.0,Turnover by M. Brown (step out of bounds),,9-15,,
6:25.0,,,9-15,,P. Antic enters the game for A. Horford
6:25.0,B. Bogdanovic enters the game for M. Brown,,9-15,,
6:08.0,,,9-18,3,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap)
5:45.0,B. Bogdanovic misses 3-pt shot from 24 ft,,9-18,,
5:43.0,Offensive rebound by B. Lopez,,9-18,,
5:43.0,B. Lopez makes 2-pt shot at rim,2,11-18,,
5:23.0,,,11-18,,Shooting foul by B. Lopez (drawn by P. Antic)
5:23.0,,,11-19,1,P. Antic makes free throw 1 of 3
5:23.0,,,11-20,1,P. Antic makes free throw 2 of 3
5:23.0,,,11-20,,K. Bazemore enters the game for K. Korver
5:23.0,,,11-21,1,P. Antic makes free throw 3 of 3
5:06.0,T. Young misses 3-pt shot from 24 ft,,11-21,,
5:04.0,,,11-21,,Defensive rebound by P. Millsap
4:52.0,,,11-21,,P. Millsap misses 2-pt shot from 6 ft
4:50.0,Defensive rebound by B. Lopez,,11-21,,
4:45.0,,,11-21,,Personal foul by J. Teague (drawn by T. Young)
4:37.0,Shooting foul by K. Bazemore (drawn by J. Johnson),,11-21,,
4:37.0,J. Johnson makes free throw 1 of 2,1,12-21,,
4:37.0,J. Johnson makes free throw 2 of 2,1,13-21,,
4:21.0,,,13-24,3,P. Antic makes 3-pt shot from 24 ft (assist by D. Carroll)
4:01.0,Turnover by T. Young (3 sec),,13-24,,
4:01.0,,,13-24,,D. Schroder enters the game for J. Teague
3:54.0,Violation by D. Williams (kicked ball),,13-24,,
3:54.0,J. Jack enters the game for D. Williams,,13-24,,
3:54.0,,,13-24,,Atlanta full timeout
3:51.0,Personal foul by B. Bogdanovic (drawn by P. Millsap),,13-24,,
3:37.0,,,13-24,,P. Antic misses 3-pt shot from 27 ft
3:35.0,Defensive rebound by T. Young,,13-24,,
3:22.0,J. Jack makes 2-pt shot from 12 ft,2,15-24,,
3:07.0,,,15-24,,P. Millsap misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by T. Young,,15-24,,
2:59.0,J. Jack makes 2-pt shot from 15 ft,2,17-24,,
2:46.0,,,17-24,,D. Carroll misses 3-pt shot from 25 ft
