time,Orlando,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. O'Quinn (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. K. O'Quinn (B. Griffin gains possession)
11:44.0,,,0-0,,J. Redick misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by K. O'Quinn,,0-0,,
11:27.0,E. Fournier misses 2-pt shot from 10 ft,,0-0,,
11:25.0,,,0-0,,Defensive rebound by D. Jordan
11:15.0,,,0-0,,B. Griffin misses 2-pt shot from 17 ft
11:14.0,,,0-0,,Offensive rebound by D. Jordan
11:09.0,,,0-2,2,B. Griffin makes 2-pt shot from 2 ft
10:54.0,E. Fournier misses 3-pt shot from 25 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by D. Jordan
10:40.0,,,0-2,,M. Barnes misses 3-pt shot from 23 ft
10:39.0,,,0-2,,Offensive rebound by D. Jordan
10:32.0,,,0-4,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
10:05.0,E. Fournier misses 2-pt shot from 2 ft (block by D. Jordan),,0-4,,
10:02.0,,,0-4,,Defensive rebound by B. Griffin
9:57.0,,,0-6,2,J. Redick makes 2-pt shot from 2 ft (assist by B. Griffin)
9:57.0,Orlando full timeout,,0-6,,
9:42.0,Turnover by Team (back court),,0-6,,
9:42.0,Violation by Team (delay of game),,0-6,,
9:31.0,,,0-9,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
9:16.0,T. Harris makes 3-pt shot from 24 ft (assist by E. Fournier),3,3-9,,
9:06.0,,,3-11,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
8:50.0,C. Frye misses 3-pt shot from 25 ft,,3-11,,
8:48.0,,,3-11,,Defensive rebound by M. Barnes
8:40.0,,,3-14,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
8:30.0,Turnover by V. Oladipo (step out of bounds),,3-14,,
8:30.0,E. Payton enters the game for K. O'Quinn,,3-14,,
8:18.0,Personal foul by V. Oladipo (drawn by B. Griffin),,3-14,,
8:12.0,,,3-16,2,B. Griffin makes 2-pt shot from 7 ft
7:48.0,C. Frye misses 2-pt shot from 22 ft,,3-16,,
7:47.0,,,3-16,,Defensive rebound by B. Griffin
7:43.0,,,3-18,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:23.0,E. Fournier makes 2-pt shot from 8 ft (assist by C. Frye),2,5-18,,
7:12.0,,,5-18,,Turnover by C. Paul (lost ball; steal by T. Harris)
6:58.0,V. Oladipo misses 2-pt shot at rim,,5-18,,
6:57.0,,,5-18,,Defensive rebound by C. Paul
6:46.0,,,5-20,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
6:26.0,T. Harris misses 2-pt shot from 8 ft,,5-20,,
6:25.0,,,5-20,,Defensive rebound by B. Griffin
6:14.0,,,5-20,,Turnover by B. Griffin (lost ball; steal by C. Frye)
5:51.0,T. Harris makes 2-pt shot from 14 ft (assist by E. Payton),2,7-20,,
5:31.0,,,7-22,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
5:19.0,,,7-22,,Def 3 sec tech foul by D. Jordan
5:19.0,T. Harris misses technical free throw,,7-22,,
5:19.0,Offensive rebound by Team,,7-22,,
5:19.0,,,7-22,,J. Crawford enters the game for M. Barnes
5:08.0,V. Oladipo misses 2-pt shot from 1 ft (block by D. Jordan),,7-22,,
5:05.0,,,7-22,,Defensive rebound by D. Jordan
5:00.0,,,7-22,,Turnover by J. Crawford (bad pass)
4:48.0,E. Fournier makes 2-pt shot at rim,2,9-22,,
4:23.0,,,9-22,,Turnover by B. Griffin (lost ball; steal by V. Oladipo)
4:21.0,Shooting foul by J. Redick (drawn by V. Oladipo),,9-22,,
4:21.0,V. Oladipo makes free throw 1 of 2,1,10-22,,
4:21.0,V. Oladipo makes free throw 2 of 2,1,11-22,,
4:06.0,,,11-24,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
4:00.0,Shooting foul by J. Crawford (drawn by E. Payton),,11-24,,
4:00.0,E. Payton misses free throw 1 of 2,,11-24,,
4:00.0,Offensive rebound by Team,,11-24,,
4:00.0,E. Payton misses free throw 2 of 2,,11-24,,
4:00.0,,,11-24,,Defensive rebound by Team
3:47.0,,,11-24,,D. Jordan misses 2-pt shot from 1 ft
3:45.0,Defensive rebound by V. Oladipo,,11-24,,
3:43.0,Shooting foul by B. Griffin (drawn by V. Oladipo),,11-24,,
3:43.0,V. Oladipo misses free throw 1 of 2,,11-24,,
3:43.0,Offensive rebound by Team,,11-24,,
3:43.0,V. Oladipo makes free throw 2 of 2,1,12-24,,
3:32.0,,,12-26,2,C. Paul makes 2-pt shot from 10 ft
3:15.0,T. Harris makes 3-pt shot from 25 ft (assist by C. Frye),3,15-26,,
3:00.0,,,15-26,,Shooting foul by E. Fournier (drawn by J. Redick)
3:00.0,,,15-27,1,J. Redick makes free throw 1 of 2
3:00.0,,,15-27,,S. Hawes enters the game for D. Jordan
3:00.0,W. Green enters the game for E. Fournier,,15-27,,
3:00.0,K. O'Quinn enters the game for C. Frye,,15-27,,
3:00.0,B. Gordon enters the game for V. Oladipo,,15-27,,
3:00.0,,,15-28,1,J. Redick makes free throw 2 of 2
2:49.0,K. O'Quinn makes 2-pt shot from 11 ft (assist by E. Payton),2,17-28,,
2:33.0,,,17-30,2,B. Griffin makes 2-pt shot from 16 ft
2:16.0,K. O'Quinn makes 2-pt shot from 1 ft,2,19-30,,
2:11.0,,,19-30,,Turnover by S. Hawes (bad pass; steal by E. Payton)
2:05.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,21-30,,
1:50.0,,,21-30,,B. Griffin misses 2-pt shot from 17 ft
1:49.0,Defensive rebound by T. Harris,,21-30,,
1:33.0,W. Green misses 3-pt shot from 25 ft,,21-30,,
1:32.0,,,21-30,,Defensive rebound by C. Paul
1:32.0,Personal foul by E. Payton (drawn by C. Paul),,21-30,,
1:32.0,,,21-30,,LA Clippers full timeout
1:32.0,,,21-30,,J. Farmar enters the game for J. Redick
1:17.0,,,21-30,,J. Farmar misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by T. Harris,,21-30,,
0:56.0,B. Gordon misses 2-pt shot from 20 ft,,21-30,,
0:55.0,,,21-30,,Defensive rebound by S. Hawes
0:44.0,,,21-30,,Turnover by S. Hawes (bad pass; steal by K. O'Quinn)
0:31.0,T. Harris misses 2-pt shot from 16 ft,,21-30,,
0:29.0,,,21-30,,Defensive rebound by Team
0:29.0,Loose ball foul by E. Payton (drawn by J. Farmar),,21-30,,
0:29.0,,,21-30,,J. Farmar misses free throw 1 of 2
0:29.0,,,21-30,,Offensive rebound by Team
0:29.0,C. Frye enters the game for T. Harris,,21-30,,
0:29.0,,,21-30,,H. Turkoglu enters the game for B. Griffin
0:29.0,,,21-30,,M. Barnes enters the game for C. Paul
0:29.0,,,21-31,1,J. Farmar makes free throw 2 of 2
0:09.0,K. O'Quinn makes 2-pt shot from 2 ft (assist by E. Payton),2,23-31,,
0:01.0,,,23-31,,S. Hawes misses 3-pt shot from 25 ft
0:00.0,,,23-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,W. Green misses 2-pt shot from 7 ft,,23-31,,
11:41.0,,,23-31,,Defensive rebound by S. Hawes
11:23.0,,,23-33,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Farmar)
11:07.0,E. Payton misses 2-pt shot from 3 ft,,23-33,,
11:05.0,,,23-33,,Defensive rebound by H. Turkoglu
10:49.0,,,23-33,,H. Turkoglu misses 2-pt shot from 16 ft
10:48.0,Defensive rebound by D. Dedmon,,23-33,,
10:38.0,Turnover by B. Gordon (lost ball; steal by S. Hawes),,23-33,,
10:34.0,,,23-35,2,M. Barnes makes 2-pt shot from 3 ft (assist by S. Hawes)
10:34.0,,,23-35,,Shooting foul by C. Frye (drawn by M. Barnes)
10:34.0,,,23-36,1,M. Barnes makes free throw 1 of 1
10:18.0,C. Frye makes 3-pt shot from 25 ft (assist by W. Green),3,26-36,,
10:02.0,,,26-36,,Turnover by J. Farmar (lost ball; steal by D. Dedmon)
9:50.0,B. Gordon makes 2-pt shot from 3 ft,2,28-36,,
9:32.0,,,28-36,,H. Turkoglu misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by W. Green,,28-36,,
9:24.0,W. Green misses 2-pt shot from 17 ft,,28-36,,
9:23.0,Offensive rebound by E. Payton,,28-36,,
9:23.0,Shooting foul by J. Farmar (drawn by E. Payton),,28-36,,
9:23.0,E. Payton misses free throw 1 of 2,,28-36,,
9:23.0,Offensive rebound by Team,,28-36,,
9:23.0,E. Payton misses free throw 2 of 2,,28-36,,
9:22.0,,,28-36,,Defensive rebound by S. Hawes
9:11.0,,,28-36,,Turnover by J. Crawford (bad pass)
