time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Black (E. Kanter gains possession),,,,Jump ball: S. Adams vs. T. Black (E. Kanter gains possession)
11:45.0,,,0-0,,R. Westbrook misses 2-pt shot from 13 ft
11:43.0,,,0-0,,Offensive rebound by E. Kanter
11:42.0,,,0-0,,E. Kanter misses 2-pt shot from 2 ft
11:39.0,Jump ball: S. Adams vs. T. Black (E. Kanter gains possession),,,,Jump ball: S. Adams vs. T. Black (E. Kanter gains possession)
11:39.0,,,0-0,,Offensive rebound by S. Adams
11:35.0,,,0-0,,E. Kanter misses 2-pt shot from 2 ft (block by T. Black)
11:33.0,,,0-0,,Offensive rebound by E. Kanter
11:33.0,,,0-2,2,E. Kanter makes 2-pt shot from 1 ft
11:33.0,,,0-2,,Shooting foul by R. Kelly (drawn by E. Kanter)
11:33.0,,,0-3,1,E. Kanter makes free throw 1 of 1
11:16.0,J. Lin makes 3-pt shot from 24 ft,3,3-3,,
11:02.0,Personal foul by J. Lin (drawn by S. Adams),,3-3,,
10:50.0,,,3-3,,Turnover by D. Waiters (bad pass; steal by T. Black)
10:46.0,W. Johnson makes 2-pt shot at rim (assist by J. Lin),2,5-3,,
10:29.0,,,5-6,3,D. Waiters makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:07.0,Turnover by J. Lin (bad pass; steal by S. Adams),,5-6,,
10:00.0,,,5-6,,Shooting foul by J. Clarkson (drawn by R. Westbrook)
10:00.0,,,5-7,1,R. Westbrook makes free throw 1 of 2
10:00.0,,,5-7,,R. Westbrook misses free throw 2 of 2
9:58.0,Defensive rebound by R. Kelly,,5-7,,
9:52.0,Turnover by W. Johnson (lost ball; steal by S. Adams),,5-7,,
9:46.0,,,5-9,2,R. Westbrook makes 2-pt shot from 18 ft
9:26.0,R. Kelly makes 3-pt shot from 23 ft (assist by J. Clarkson),3,8-9,,
9:08.0,,,8-12,3,K. Singler makes 3-pt shot from 22 ft (assist by E. Kanter)
8:45.0,R. Kelly misses 2-pt shot from 5 ft,,8-12,,
8:44.0,,,8-12,,Defensive rebound by K. Singler
8:36.0,,,8-12,,D. Waiters misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by W. Johnson,,8-12,,
8:30.0,Turnover by J. Lin (bad pass),,8-12,,
8:25.0,,,8-12,,D. Waiters misses 2-pt shot from 1 ft (block by T. Black)
8:24.0,Defensive rebound by T. Black,,8-12,,
8:17.0,J. Clarkson misses 2-pt shot from 19 ft,,8-12,,
8:16.0,,,8-12,,Defensive rebound by E. Kanter
8:11.0,,,8-12,,R. Westbrook misses 2-pt shot from 19 ft
8:10.0,,,8-12,,Offensive rebound by E. Kanter
8:07.0,,,8-12,,Turnover by E. Kanter (lost ball; steal by T. Black)
