time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Zeller (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. T. Zeller (K. Humphries gains possession)
11:42.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft
11:41.0,,,0-0,,Offensive rebound by M. Gortat
11:36.0,,,0-0,,M. Gortat misses 2-pt shot from 2 ft
11:36.0,Defensive rebound by R. Rondo,,0-0,,
11:16.0,J. Sullinger misses 2-pt shot from 17 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by P. Pierce
11:03.0,,,0-0,,M. Gortat misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by T. Zeller,,0-0,,
10:53.0,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller),2,2-0,,
10:35.0,,,2-0,,J. Wall misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by J. Sullinger,,2-0,,
10:26.0,J. Green makes 2-pt shot from 4 ft,2,4-0,,
10:11.0,,,4-0,,P. Pierce misses 2-pt shot from 18 ft
10:10.0,Defensive rebound by A. Bradley,,4-0,,
9:53.0,A. Bradley makes 3-pt shot from 26 ft,3,7-0,,
9:30.0,,,7-2,2,P. Pierce makes 2-pt shot from 3 ft (assist by J. Wall)
9:30.0,,,7-2,,Shooting foul by J. Green (drawn by P. Pierce)
9:30.0,,,7-3,1,P. Pierce makes free throw 1 of 1
9:17.0,,,7-3,,Personal foul by P. Pierce (drawn by J. Green)
9:11.0,A. Bradley misses 3-pt shot from 25 ft,,7-3,,
9:10.0,,,7-3,,Defensive rebound by P. Pierce
9:01.0,,,7-5,2,P. Pierce makes 2-pt shot from 15 ft
8:39.0,T. Zeller makes 2-pt shot from 2 ft (assist by R. Rondo),2,9-5,,
8:29.0,,,9-5,,Shooting foul by J. Sullinger (drawn by M. Gortat)
8:29.0,,,9-6,1,M. Gortat makes free throw 1 of 2
8:29.0,,,9-7,1,M. Gortat makes free throw 2 of 2
8:07.0,R. Rondo misses 2-pt shot from 16 ft,,9-7,,
8:06.0,,,9-7,,Defensive rebound by M. Gortat
7:58.0,,,9-10,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
7:38.0,J. Green makes 2-pt shot from 14 ft,2,11-10,,
7:25.0,,,11-10,,B. Beal misses 2-pt shot from 15 ft
7:24.0,Defensive rebound by T. Zeller,,11-10,,
7:17.0,Turnover by R. Rondo (bad pass),,11-10,,
7:04.0,,,11-12,2,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall)
6:50.0,J. Green makes 2-pt shot at rim (assist by R. Rondo),2,13-12,,
6:29.0,,,13-14,2,J. Wall makes 2-pt shot from 17 ft (assist by B. Beal)
6:16.0,R. Rondo misses 2-pt shot from 19 ft,,13-14,,
6:15.0,,,13-14,,Defensive rebound by K. Humphries
6:04.0,,,13-16,2,K. Humphries makes 2-pt shot from 18 ft (assist by J. Wall)
5:49.0,,,13-16,,Personal foul by K. Humphries (drawn by J. Sullinger)
5:49.0,,,13-16,,Washington full timeout
5:49.0,K. Olynyk enters the game for T. Zeller,,13-16,,
5:38.0,J. Sullinger makes 2-pt shot from 1 ft (assist by K. Olynyk),2,15-16,,
5:20.0,,,15-18,2,K. Humphries makes 2-pt shot at rim (assist by B. Beal)
5:04.0,A. Bradley misses 2-pt shot from 20 ft,,15-18,,
5:02.0,,,15-18,,Defensive rebound by M. Gortat
4:53.0,,,15-20,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
4:36.0,J. Green makes 3-pt shot from 25 ft (assist by R. Rondo),3,18-20,,
4:20.0,,,18-22,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
4:01.0,J. Green misses 3-pt shot from 25 ft,,18-22,,
4:01.0,Offensive rebound by K. Olynyk,,18-22,,
4:01.0,Shooting foul by B. Beal (drawn by K. Olynyk),,18-22,,
4:01.0,K. Olynyk makes free throw 1 of 2,1,19-22,,
4:01.0,E. Turner enters the game for J. Sullinger,,19-22,,
4:01.0,B. Bass enters the game for A. Bradley,,19-22,,
4:01.0,K. Olynyk makes free throw 2 of 2,1,20-22,,
3:49.0,,,20-24,2,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall)
3:40.0,Turnover by R. Rondo (bad pass; steal by P. Pierce),,20-24,,
3:37.0,,,20-24,,Turnover by M. Gortat (bad pass; steal by B. Bass)
3:27.0,B. Bass misses 2-pt shot from 18 ft,,20-24,,
3:26.0,Offensive rebound by K. Olynyk,,20-24,,
3:23.0,K. Olynyk makes 2-pt shot at rim,2,22-24,,
3:07.0,,,22-24,,P. Pierce misses 3-pt shot from 25 ft
3:06.0,Defensive rebound by R. Rondo,,22-24,,
2:58.0,Shooting foul by B. Beal (drawn by J. Green),,22-24,,
2:58.0,Boston full timeout,,22-24,,
2:58.0,,,22-24,,O. Porter enters the game for P. Pierce
2:58.0,,,22-24,,R. Butler enters the game for B. Beal
2:58.0,M. Smart enters the game for R. Rondo,,22-24,,
2:58.0,J. Green makes free throw 1 of 3,1,23-24,,
2:58.0,J. Green makes free throw 2 of 3,1,24-24,,
2:58.0,J. Green makes free throw 3 of 3,1,25-24,,
2:41.0,,,25-24,,Turnover by M. Gortat (3 sec)
2:26.0,K. Olynyk makes 2-pt shot from 2 ft (assist by E. Turner),2,27-24,,
2:12.0,,,27-26,2,K. Humphries makes 2-pt shot from 21 ft (assist by J. Wall)
1:57.0,B. Bass makes 2-pt shot from 9 ft,2,29-26,,
1:37.0,,,29-26,,K. Humphries misses 2-pt shot from 19 ft
1:36.0,Defensive rebound by B. Bass,,29-26,,
1:24.0,Turnover by J. Green (bad pass; steal by R. Butler),,29-26,,
1:16.0,,,29-26,,R. Butler misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by E. Turner,,29-26,,
0:57.0,B. Bass misses 2-pt shot from 13 ft,,29-26,,
0:56.0,,,29-26,,Defensive rebound by J. Wall
0:47.0,,,29-28,2,K. Humphries makes 2-pt shot from 15 ft
0:29.0,K. Olynyk misses 2-pt shot from 3 ft,,29-28,,
0:28.0,,,29-28,,Defensive rebound by J. Wall
0:09.0,,,29-30,2,J. Wall makes 2-pt shot from 19 ft
