time,Atlanta,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Horford (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. A. Horford (C. Parsons gains possession)
11:42.0,,,0-0,,D. Nowitzki misses 2-pt shot from 12 ft
11:41.0,Defensive rebound by K. Korver,,0-0,,
11:38.0,Turnover by K. Korver (lost ball; steal by R. Rondo),,0-0,,
11:34.0,,,0-0,,C. Parsons misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by D. Carroll,,0-0,,
11:11.0,D. Schroder makes 2-pt shot at rim (assist by P. Millsap),2,2-0,,
10:54.0,,,2-2,2,T. Chandler makes 2-pt shot from 1 ft (assist by R. Rondo)
10:31.0,K. Korver misses 3-pt shot from 23 ft,,2-2,,
10:29.0,,,2-2,,Defensive rebound by D. Nowitzki
10:18.0,,,2-4,2,D. Nowitzki makes 2-pt shot at rim (assist by M. Ellis)
10:03.0,,,2-4,,Personal foul by R. Rondo (drawn by D. Schroder)
9:53.0,D. Carroll misses 3-pt shot from 23 ft,,2-4,,
9:52.0,,,2-4,,Defensive rebound by T. Chandler
9:42.0,,,2-4,,Turnover by R. Rondo (bad pass)
9:22.0,P. Millsap makes 2-pt shot from 9 ft,2,4-4,,
9:00.0,,,4-6,2,D. Nowitzki makes 2-pt shot from 1 ft
8:42.0,D. Carroll misses 2-pt shot from 2 ft (block by T. Chandler),,4-6,,
8:41.0,Offensive rebound by Team,,4-6,,
8:35.0,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder),2,6-6,,
8:26.0,,,6-6,,M. Ellis misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by D. Schroder,,6-6,,
8:16.0,A. Horford misses 2-pt shot from 20 ft,,6-6,,
8:15.0,,,6-6,,Defensive rebound by C. Parsons
8:12.0,Personal foul by K. Korver (drawn by C. Parsons),,6-6,,
8:05.0,,,6-6,,R. Rondo misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by A. Horford,,6-6,,
