time,Houston,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. D. Howard (N. Cole gains possession),,,,Jump ball: C. Bosh vs. D. Howard (N. Cole gains possession)
11:43.0,,,0-2,2,C. Bosh makes 2-pt shot from 16 ft
11:27.0,D. Howard makes 2-pt shot from 8 ft (assist by J. Harden),2,2-2,,
11:16.0,,,2-2,,Shooting foul by D. Motiejunas (drawn by L. Deng)
11:16.0,,,2-3,1,L. Deng makes free throw 1 of 2
11:16.0,,,2-4,1,L. Deng makes free throw 2 of 2
11:06.0,Turnover by J. Harden (bad pass; steal by N. Cole),,2-4,,
11:00.0,,,2-6,2,L. Deng makes 2-pt shot at rim (assist by S. Williams)
10:43.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,5-6,,
10:31.0,Personal foul by D. Motiejunas (drawn by N. Cole),,5-6,,
10:31.0,K. Papanikolaou enters the game for D. Motiejunas,,5-6,,
10:16.0,,,5-6,,L. Deng misses 2-pt shot from 1 ft
10:15.0,,,5-6,,Offensive rebound by C. Bosh
10:14.0,,,5-8,2,C. Bosh makes 2-pt shot at rim
9:58.0,D. Howard makes 2-pt shot at rim (assist by K. Papanikolaou),2,7-8,,
9:43.0,,,7-8,,N. Cole misses 2-pt shot from 18 ft
9:42.0,Defensive rebound by T. Ariza,,7-8,,
9:34.0,K. Papanikolaou makes 3-pt shot from 23 ft (assist by T. Ariza),3,10-8,,
9:13.0,,,10-11,3,S. Williams makes 3-pt shot from 24 ft (assist by D. Wade)
8:58.0,Turnover by J. Harden (bad pass; steal by L. Deng),,10-11,,
8:55.0,,,10-11,,N. Cole misses 2-pt shot from 1 ft (block by J. Harden)
8:54.0,,,10-11,,Offensive rebound by Team
8:51.0,,,10-11,,D. Wade misses 2-pt shot from 16 ft
8:50.0,Defensive rebound by K. Papanikolaou,,10-11,,
8:43.0,Offensive foul by T. Ariza,,10-11,,
8:43.0,Turnover by T. Ariza (offensive foul),,10-11,,
8:27.0,,,10-14,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Wade)
8:15.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,13-14,,
7:52.0,,,13-14,,N. Cole misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by D. Howard,,13-14,,
7:33.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Papanikolaou),2,15-14,,
7:27.0,,,15-14,,Miami full timeout
7:27.0,,,15-14,,J. Hamilton enters the game for C. Bosh
7:14.0,,,15-17,3,S. Williams makes 3-pt shot from 24 ft (assist by N. Cole)
6:51.0,D. Howard makes 2-pt shot at rim (assist by K. Papanikolaou),2,17-17,,
6:31.0,,,17-19,2,D. Wade makes 2-pt shot from 15 ft
6:16.0,K. Papanikolaou misses 3-pt shot from 24 ft,,17-19,,
6:15.0,,,17-19,,Defensive rebound by J. Hamilton
5:57.0,,,17-21,2,L. Deng makes 2-pt shot from 14 ft
5:38.0,,,17-21,,Def 3 sec tech foul by L. Deng
5:38.0,J. Harden makes technical free throw,1,18-21,,
5:38.0,,,18-21,,M. Chalmers enters the game for N. Cole
5:27.0,D. Howard makes 2-pt shot from 2 ft (assist by K. Papanikolaou),2,20-21,,
5:10.0,,,20-23,2,D. Wade makes 2-pt shot from 14 ft
4:52.0,Shooting foul by J. Hamilton (drawn by D. Howard),,20-23,,
4:52.0,D. Howard makes free throw 1 of 2,1,21-23,,
4:52.0,D. Howard makes free throw 2 of 2,1,22-23,,
4:40.0,,,22-23,,Turnover by Team (back court)
4:21.0,Turnover by J. Harden (lost ball; steal by M. Chalmers),,22-23,,
4:14.0,,,22-23,,S. Napier enters the game for D. Wade
4:14.0,J. Terry enters the game for P. Beverley,,22-23,,
3:56.0,,,22-23,,M. Chalmers misses 3-pt shot from 24 ft
3:55.0,,,22-23,,Offensive rebound by J. Hamilton
3:41.0,,,22-23,,M. Chalmers misses 2-pt shot from 13 ft
3:40.0,Defensive rebound by K. Papanikolaou,,22-23,,
3:18.0,D. Howard misses 2-pt shot from 7 ft,,22-23,,
3:17.0,,,22-23,,Defensive rebound by L. Deng
3:15.0,,,22-23,,Offensive charge foul by L. Deng
3:15.0,,,22-23,,Turnover by L. Deng (offensive foul)
3:15.0,J. Dorsey enters the game for D. Howard,,22-23,,
3:15.0,,,22-23,,J. Ennis enters the game for L. Deng
3:15.0,,,22-23,,C. Bosh enters the game for S. Williams
2:54.0,J. Harden misses 2-pt shot from 1 ft (block by J. Hamilton),,22-23,,
2:53.0,Offensive rebound by J. Terry,,22-23,,
2:49.0,J. Terry makes 3-pt shot from 23 ft,3,25-23,,
2:33.0,,,25-25,2,S. Napier makes 2-pt shot from 19 ft
2:15.0,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry),3,28-25,,
1:56.0,,,28-25,,C. Bosh misses 2-pt shot at rim (block by J. Dorsey)
1:55.0,,,28-25,,Offensive rebound by J. Hamilton
1:54.0,,,28-25,,Turnover by S. Napier (traveling)
1:54.0,Houston full timeout,,28-25,,
1:42.0,J. Harden misses 3-pt shot from 25 ft,,28-25,,
1:41.0,Offensive rebound by Team,,28-25,,
