time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (R. Sessions gains possession),,,,Jump ball: M. Gortat vs. A. Horford (R. Sessions gains possession)
11:48.0,Turnover by R. Sessions (bad pass),,0-0,,
11:29.0,,,0-0,,A. Horford misses 2-pt shot from 18 ft
11:28.0,Defensive rebound by B. Beal,,0-0,,
11:14.0,P. Pierce misses 3-pt shot from 23 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by P. Millsap
11:02.0,,,0-2,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
10:44.0,B. Beal misses 2-pt shot from 17 ft,,0-2,,
10:42.0,,,0-2,,Defensive rebound by K. Korver
10:32.0,,,0-4,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
10:07.0,R. Sessions makes 2-pt shot from 6 ft,2,2-4,,
9:45.0,,,2-4,,J. Teague misses 2-pt shot from 12 ft
9:42.0,Defensive rebound by P. Pierce,,2-4,,
9:29.0,B. Beal misses 2-pt shot from 1 ft (block by K. Korver),,2-4,,
9:27.0,Offensive rebound by M. Gortat,,2-4,,
9:26.0,M. Gortat makes 2-pt shot from 2 ft,2,4-4,,
9:14.0,,,4-4,,Turnover by A. Horford (bad pass; steal by B. Beal)
9:04.0,Turnover by M. Gortat (lost ball; steal by P. Millsap),,4-4,,
8:58.0,,,4-6,2,D. Carroll makes 2-pt shot from 2 ft (assist by A. Horford)
8:38.0,N. Hilario misses 2-pt shot from 21 ft,,4-6,,
8:36.0,Offensive rebound by B. Beal,,4-6,,
8:32.0,P. Pierce makes 3-pt shot from 24 ft (assist by B. Beal),3,7-6,,
8:17.0,,,7-8,2,A. Horford makes 2-pt shot from 20 ft (assist by D. Carroll)
8:00.0,N. Hilario misses 2-pt shot at rim (block by A. Horford),,7-8,,
7:57.0,,,7-8,,Defensive rebound by J. Teague
7:54.0,,,7-8,,K. Korver misses 3-pt shot from 25 ft
7:53.0,,,7-8,,Offensive rebound by J. Teague
7:51.0,,,7-8,,J. Teague misses 2-pt shot at rim
7:50.0,Defensive rebound by Team,,7-8,,
7:50.0,,,7-8,,Loose ball foul by D. Carroll (drawn by M. Gortat)
7:37.0,N. Hilario misses 2-pt shot from 1 ft,,7-8,,
7:36.0,,,7-8,,Defensive rebound by Team
7:30.0,,,7-11,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
7:19.0,R. Sessions misses 2-pt shot from 19 ft,,7-11,,
7:17.0,,,7-11,,Defensive rebound by J. Teague
7:13.0,,,7-11,,J. Teague misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by Team,,7-11,,
6:54.0,R. Sessions misses 2-pt shot from 19 ft,,7-11,,
6:53.0,,,7-11,,Defensive rebound by D. Carroll
6:34.0,,,7-11,,P. Millsap misses 2-pt shot at rim
6:33.0,Defensive rebound by N. Hilario,,7-11,,
6:23.0,Turnover by M. Gortat (lost ball; steal by J. Teague),,7-11,,
6:18.0,,,7-13,2,J. Teague makes 2-pt shot from 2 ft
6:04.0,Washington full timeout,,7-13,,
6:04.0,,,7-13,,P. Antic enters the game for A. Horford
6:04.0,,,7-13,,K. Bazemore enters the game for D. Carroll
5:54.0,Turnover by B. Beal (traveling),,7-13,,
5:34.0,,,7-13,,K. Korver misses 3-pt shot from 24 ft
5:33.0,,,7-13,,Offensive rebound by P. Millsap
5:26.0,,,7-13,,Turnover by K. Korver (lost ball; steal by B. Beal)
5:21.0,B. Beal makes 2-pt shot at rim,2,9-13,,
5:07.0,,,9-15,2,P. Millsap makes 2-pt shot from 7 ft (assist by J. Teague)
4:48.0,B. Beal makes 2-pt shot from 16 ft,2,11-15,,
4:32.0,,,11-18,3,P. Millsap makes 3-pt shot from 24 ft (assist by K. Bazemore)
4:23.0,Shooting foul by P. Antic (drawn by N. Hilario),,11-18,,
4:23.0,N. Hilario makes free throw 1 of 2,1,12-18,,
4:23.0,N. Hilario makes free throw 2 of 2,1,13-18,,
4:07.0,,,13-21,3,P. Antic makes 3-pt shot from 23 ft (assist by P. Millsap)
3:47.0,B. Beal misses 2-pt shot from 15 ft,,13-21,,
3:46.0,,,13-21,,Defensive rebound by Team
3:46.0,D. Gooden enters the game for N. Hilario,,13-21,,
3:46.0,,,13-21,,D. Schroder enters the game for J. Teague
3:35.0,,,13-21,,K. Korver misses 3-pt shot from 25 ft
3:34.0,Defensive rebound by D. Gooden,,13-21,,
3:21.0,M. Gortat makes 2-pt shot at rim (assist by D. Gooden),2,15-21,,
3:09.0,,,15-23,2,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder)
2:54.0,Shooting foul by P. Antic (drawn by R. Sessions),,15-23,,
2:54.0,,,15-23,,Atlanta full timeout
2:54.0,O. Porter enters the game for P. Pierce,,15-23,,
2:54.0,,,15-23,,A. Horford enters the game for P. Millsap
2:54.0,G. Temple enters the game for B. Beal,,15-23,,
2:54.0,R. Sessions misses free throw 1 of 2,,15-23,,
2:54.0,Offensive rebound by Team,,15-23,,
2:54.0,R. Sessions misses free throw 2 of 2,,15-23,,
2:53.0,,,15-23,,Defensive rebound by K. Korver
2:35.0,,,15-25,2,D. Schroder makes 2-pt shot from 19 ft (assist by A. Horford)
2:17.0,O. Porter misses 2-pt shot from 17 ft,,15-25,,
2:16.0,,,15-25,,Defensive rebound by D. Schroder
2:03.0,,,15-25,,P. Antic misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by M. Gortat,,15-25,,
1:43.0,M. Gortat misses 2-pt shot from 19 ft,,15-25,,
1:42.0,,,15-25,,Defensive rebound by D. Schroder
1:34.0,,,15-25,,K. Korver misses 3-pt shot from 26 ft
1:32.0,Defensive rebound by D. Gooden,,15-25,,
1:17.0,R. Sessions makes 3-pt shot from 25 ft (assist by O. Porter),3,18-25,,
1:04.0,,,18-25,,Shooting foul by R. Sessions (drawn by D. Schroder)
1:04.0,,,18-26,1,D. Schroder makes free throw 1 of 2
1:04.0,,,18-26,,D. Carroll enters the game for K. Korver
1:04.0,,,18-26,,D. Schroder misses free throw 2 of 2
1:03.0,Defensive rebound by O. Porter,,18-26,,
1:03.0,,,18-26,,Loose ball foul by P. Antic (drawn by M. Gortat)
1:03.0,,,18-26,,M. Muscala enters the game for P. Antic
0:51.0,M. Gortat makes 2-pt shot from 16 ft,2,20-26,,
0:39.0,,,20-26,,A. Horford misses 2-pt shot from 10 ft
0:37.0,Defensive rebound by M. Gortat,,20-26,,
0:30.0,G. Temple misses 3-pt shot from 24 ft,,20-26,,
0:29.0,,,20-26,,Defensive rebound by M. Muscala
0:25.0,,,20-28,2,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder)
0:01.0,R. Sessions misses 2-pt shot from 23 ft,,20-28,,
0:00.0,,,20-28,,Defensive rebound by M. Muscala
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-28,,M. Muscala misses 3-pt shot from 25 ft
11:44.0,Defensive rebound by O. Porter,,20-28,,
11:29.0,Turnover by N. Hilario (bad pass; steal by D. Carroll),,20-28,,
11:23.0,,,20-28,,D. Carroll misses 2-pt shot from 1 ft
11:21.0,Defensive rebound by N. Hilario,,20-28,,
11:16.0,O. Porter makes 2-pt shot from 1 ft (assist by G. Temple),2,22-28,,
11:00.0,,,22-28,,Shooting foul by G. Temple (drawn by D. Schroder)
11:00.0,,,22-29,1,D. Schroder makes free throw 1 of 2
11:00.0,,,22-30,1,D. Schroder makes free throw 2 of 2
10:46.0,D. Gooden misses 3-pt shot from 25 ft (block by A. Horford),,22-30,,
10:46.0,,,22-30,,Defensive rebound by A. Horford
10:46.0,Personal foul by D. Gooden (drawn by A. Horford),,22-30,,
10:29.0,,,22-32,2,D. Carroll makes 2-pt shot from 9 ft (assist by A. Horford)
10:06.0,O. Porter makes 2-pt shot at rim (assist by B. Beal),2,24-32,,
9:51.0,,,24-32,,M. Muscala misses 2-pt shot from 20 ft
9:50.0,Defensive rebound by G. Temple,,24-32,,
9:28.0,G. Temple misses 3-pt shot from 24 ft,,24-32,,
9:26.0,,,24-32,,Defensive rebound by D. Carroll
9:26.0,,,24-32,,K. Korver enters the game for K. Bazemore
9:11.0,,,24-32,,D. Carroll misses 2-pt shot from 5 ft
9:10.0,Defensive rebound by O. Porter,,24-32,,
8:53.0,O. Porter misses 2-pt shot from 20 ft,,24-32,,
8:52.0,Offensive rebound by Team,,24-32,,
8:52.0,,,24-32,,Loose ball foul by M. Muscala (drawn by N. Hilario)
8:52.0,Official timeout,,24-32,,
8:52.0,,,24-32,,J. Teague enters the game for D. Schroder
8:52.0,,,24-32,,P. Millsap enters the game for M. Muscala
8:52.0,P. Pierce enters the game for D. Gooden,,24-32,,
8:45.0,Turnover by B. Beal (bad pass; steal by A. Horford),,24-32,,
8:41.0,,,24-34,2,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford)
8:21.0,O. Porter makes 2-pt shot from 19 ft,2,26-34,,
8:04.0,,,26-34,,P. Millsap misses 2-pt shot from 9 ft
8:03.0,,,26-34,,Offensive rebound by D. Carroll
8:02.0,,,26-34,,D. Carroll misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by P. Pierce,,26-34,,
7:53.0,G. Temple makes 2-pt shot from 2 ft,2,28-34,,
7:39.0,,,28-34,,Turnover by J. Teague (lost ball; steal by G. Temple)
7:35.0,Turnover by G. Temple (lost ball),,28-34,,
7:32.0,,,28-36,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
7:08.0,P. Pierce makes 3-pt shot from 25 ft (assist by O. Porter),3,31-36,,
6:53.0,,,31-38,2,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague)
6:33.0,B. Beal misses 2-pt shot from 21 ft,,31-38,,
6:32.0,,,31-38,,Defensive rebound by K. Korver
6:22.0,,,31-40,2,P. Millsap makes 2-pt shot from 2 ft
6:05.0,O. Porter misses 2-pt shot from 21 ft,,31-40,,
6:03.0,,,31-40,,Defensive rebound by A. Horford
5:42.0,,,31-40,,Shooting foul by B. Beal (drawn by J. Teague)
5:42.0,,,31-40,,Atlanta full timeout
5:42.0,M. Gortat enters the game for N. Hilario,,31-40,,
5:42.0,R. Sessions enters the game for G. Temple,,31-40,,
5:42.0,,,31-40,,P. Antic enters the game for A. Horford
5:42.0,,,31-41,1,J. Teague makes free throw 1 of 2
5:42.0,,,31-41,,J. Teague misses free throw 2 of 2
5:40.0,Defensive rebound by P. Pierce,,31-41,,
5:25.0,B. Beal misses 2-pt shot from 20 ft,,31-41,,
5:23.0,,,31-41,,Defensive rebound by P. Millsap
5:11.0,,,31-41,,Turnover by P. Millsap (bad pass; steal by R. Sessions)
5:07.0,R. Sessions misses 2-pt shot at rim,,31-41,,
5:05.0,Offensive rebound by O. Porter,,31-41,,
4:58.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,34-41,,
4:48.0,,,34-41,,J. Teague misses 3-pt shot from 26 ft
4:47.0,,,34-41,,Offensive rebound by Team
4:47.0,Loose ball foul by M. Gortat (drawn by P. Millsap),,34-41,,
4:47.0,Violation by Team (delay of game),,34-41,,
4:33.0,,,34-41,,Turnover by P. Millsap (lost ball)
4:16.0,B. Beal misses 2-pt shot from 3 ft (block by K. Korver),,34-41,,
4:13.0,Offensive rebound by B. Beal,,34-41,,
4:12.0,B. Beal misses 2-pt shot from 1 ft (block by K. Korver),,34-41,,
