time,Houston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. L. Sanders (B. Knight gains possession),,,,Jump ball: T. Black vs. L. Sanders (B. Knight gains possession)
11:39.0,,,0-2,2,J. Parker makes 2-pt shot from 2 ft
11:14.0,T. Ariza misses 3-pt shot from 24 ft,,0-2,,
11:11.0,,,0-2,,Defensive rebound by J. Parker
11:06.0,,,0-4,2,L. Sanders makes 2-pt shot from 2 ft (assist by J. Parker)
11:06.0,,,0-4,,Shooting foul by T. Black (drawn by L. Sanders)
11:06.0,,,0-4,,L. Sanders misses free throw 1 of 1
10:59.0,Defensive rebound by T. Black,,0-4,,
10:51.0,J. Terry misses 2-pt shot from 11 ft,,0-4,,
10:50.0,Offensive rebound by J. Terry,,0-4,,
10:39.0,T. Black makes 2-pt shot from 2 ft (assist by T. Ariza),2,2-4,,
10:24.0,,,2-6,2,B. Knight makes 2-pt shot from 19 ft (assist by J. Parker)
10:13.0,Turnover by T. Ariza (lost ball),,2-6,,
10:03.0,,,2-6,,J. Parker misses 2-pt shot from 19 ft
10:02.0,Defensive rebound by T. Ariza,,2-6,,
9:51.0,T. Ariza makes 3-pt shot from 26 ft (assist by T. Black),3,5-6,,
9:30.0,,,5-6,,O. Mayo misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by J. Harden,,5-6,,
9:25.0,J. Harden misses 2-pt shot from 2 ft (block by L. Sanders),,5-6,,
9:24.0,Offensive rebound by T. Black,,5-6,,
9:23.0,T. Black makes 2-pt shot from 1 ft,2,7-6,,
9:11.0,,,7-6,,O. Mayo misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by D. Motiejunas,,7-6,,
8:47.0,T. Black makes 2-pt shot at rim (assist by J. Terry),2,9-6,,
8:40.0,,,9-6,,Shooting foul by J. Terry (drawn by L. Sanders)
8:40.0,,,9-7,1,L. Sanders makes free throw 1 of 2
8:40.0,,,9-8,1,L. Sanders makes free throw 2 of 2
8:26.0,T. Ariza misses 3-pt shot from 22 ft,,9-8,,
8:25.0,Offensive rebound by J. Terry,,9-8,,
8:22.0,T. Black misses 2-pt shot from 9 ft (block by L. Sanders),,9-8,,
8:18.0,,,9-8,,Defensive rebound by O. Mayo
8:07.0,,,9-8,,G. Antetokounmpo misses 2-pt shot at rim
8:03.0,,,9-8,,Offensive rebound by J. Parker
8:00.0,,,9-8,,B. Knight misses 2-pt shot at rim
7:59.0,Defensive rebound by T. Ariza,,9-8,,
7:59.0,Shooting foul by L. Sanders (drawn by D. Motiejunas),,9-8,,
7:59.0,D. Motiejunas makes free throw 1 of 2,1,10-8,,
7:59.0,D. Motiejunas misses free throw 2 of 2,,10-8,,
7:57.0,,,10-8,,Defensive rebound by G. Antetokounmpo
7:47.0,,,10-8,,Shooting foul by T. Black (drawn by J. Parker)
7:47.0,,,10-9,1,J. Parker makes free throw 1 of 2
7:47.0,J. Dorsey enters the game for T. Black,,10-9,,
7:47.0,,,10-10,1,J. Parker makes free throw 2 of 2
7:32.0,J. Terry misses 3-pt shot from 26 ft,,10-10,,
7:31.0,Offensive rebound by J. Dorsey,,10-10,,
7:13.0,J. Dorsey makes 2-pt shot from 6 ft,2,12-10,,
