time,New Orleans,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. H. Whiteside (L. Deng gains possession),,,,Jump ball: A. Davis vs. H. Whiteside (L. Deng gains possession)
11:37.0,,,0-0,,Turnover by D. Wade (traveling)
11:23.0,,,0-0,,Violation by H. Whiteside (def goaltending)
11:23.0,T. Evans makes 2-pt shot from 11 ft,2,2-0,,
11:04.0,,,2-0,,D. Wade misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by A. Davis,,2-0,,
10:43.0,A. Davis misses 2-pt shot from 18 ft,,2-0,,
10:42.0,,,2-0,,Defensive rebound by H. Whiteside
10:24.0,,,2-0,,U. Haslem misses 3-pt shot from 23 ft
10:23.0,,,2-0,,Offensive rebound by G. Dragic
10:22.0,Personal foul by T. Evans (drawn by G. Dragic),,2-0,,
10:14.0,,,2-0,,G. Dragic misses 2-pt shot from 17 ft
10:13.0,Defensive rebound by T. Evans,,2-0,,
10:07.0,E. Gordon misses 3-pt shot from 25 ft,,2-0,,
10:06.0,,,2-0,,Defensive rebound by U. Haslem
9:50.0,,,2-0,,L. Deng misses 2-pt shot from 12 ft (block by Q. Pondexter)
9:49.0,Defensive rebound by Q. Pondexter,,2-0,,
9:34.0,E. Gordon misses 2-pt shot from 11 ft,,2-0,,
9:33.0,,,2-0,,Defensive rebound by H. Whiteside
9:22.0,,,2-0,,H. Whiteside misses 2-pt shot at rim
9:21.0,Defensive rebound by T. Evans,,2-0,,
9:19.0,Turnover by T. Evans (bad pass),,2-0,,
9:10.0,,,2-0,,Turnover by L. Deng (step out of bounds)
8:53.0,O. Asik misses 2-pt shot from 2 ft (block by H. Whiteside),,2-0,,
8:52.0,,,2-0,,Defensive rebound by D. Wade
8:43.0,,,2-2,2,H. Whiteside makes 2-pt shot from 7 ft (assist by D. Wade)
8:28.0,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans),2,4-2,,
