time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. A. Payne (N. Pekovic gains possession),,,,Jump ball: T. Jones vs. A. Payne (N. Pekovic gains possession)
11:45.0,A. Wiggins misses 2-pt shot from 8 ft (block by J. Harden),,0-0,,
11:43.0,,,0-0,,Defensive rebound by T. Ariza
11:38.0,,,0-0,,T. Ariza misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by R. Rubio,,0-0,,
11:19.0,A. Payne makes 2-pt shot from 3 ft (assist by A. Wiggins),2,2-0,,
11:08.0,,,2-0,,Turnover by T. Ariza (bad pass)
10:51.0,N. Pekovic makes 2-pt shot from 4 ft,2,4-0,,
10:40.0,,,4-3,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
10:20.0,A. Payne misses 2-pt shot from 1 ft,,4-3,,
10:19.0,Offensive rebound by N. Pekovic,,4-3,,
10:19.0,N. Pekovic makes 2-pt shot from 1 ft,2,6-3,,
9:59.0,,,6-3,,J. Harden misses 2-pt shot from 16 ft
9:58.0,,,6-3,,Offensive rebound by T. Jones
9:58.0,,,6-3,,T. Jones misses 2-pt shot from 1 ft
9:54.0,Defensive rebound by A. Payne,,6-3,,
9:47.0,Turnover by R. Rubio (bad pass; steal by D. Motiejunas),,6-3,,
9:27.0,,,6-5,2,D. Motiejunas makes 2-pt shot from 3 ft
9:09.0,A. Wiggins makes 2-pt shot from 22 ft,2,8-5,,
9:02.0,,,8-7,2,T. Jones makes 2-pt shot at rim (assist by J. Terry)
8:44.0,A. Payne misses 2-pt shot from 7 ft (block by T. Jones),,8-7,,
8:42.0,Offensive rebound by A. Payne,,8-7,,
8:40.0,A. Payne makes 2-pt shot from 1 ft,2,10-7,,
8:20.0,,,10-7,,Turnover by J. Harden (lost ball; steal by R. Rubio)
8:14.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Martin),2,12-7,,
7:56.0,,,12-7,,D. Motiejunas misses 3-pt shot from 25 ft
7:55.0,,,12-7,,Offensive rebound by T. Jones
7:54.0,,,12-9,2,T. Jones makes 2-pt shot at rim
7:44.0,Turnover by K. Martin (traveling),,12-9,,
7:27.0,,,12-9,,J. Terry misses 3-pt shot from 22 ft
7:25.0,Defensive rebound by R. Rubio,,12-9,,
7:20.0,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio),2,14-9,,
7:07.0,,,14-9,,Turnover by J. Terry (bad pass; steal by N. Pekovic)
7:02.0,Shooting foul by J. Terry (drawn by R. Rubio),,14-9,,
7:02.0,,,14-9,,Houston full timeout
7:02.0,R. Rubio makes free throw 1 of 2,1,15-9,,
7:02.0,R. Rubio makes free throw 2 of 2,1,16-9,,
6:49.0,,,16-9,,J. Harden misses 3-pt shot from 23 ft
6:48.0,Defensive rebound by R. Rubio,,16-9,,
6:45.0,Turnover by R. Rubio (bad pass),,16-9,,
6:24.0,,,16-11,2,D. Motiejunas makes 2-pt shot from 9 ft (assist by J. Harden)
6:24.0,,,16-11,,Shooting foul by N. Pekovic (drawn by D. Motiejunas)
6:24.0,,,16-12,1,D. Motiejunas makes free throw 1 of 1
6:12.0,K. Martin misses 2-pt shot from 12 ft,,16-12,,
6:10.0,Offensive rebound by A. Payne,,16-12,,
6:09.0,A. Payne makes 2-pt shot from 5 ft,2,18-12,,
5:54.0,,,18-12,,D. Motiejunas misses 2-pt shot at rim (block by A. Payne)
5:52.0,Defensive rebound by N. Pekovic,,18-12,,
5:48.0,Turnover by K. Martin (bad pass; steal by T. Ariza),,18-12,,
5:39.0,,,18-14,2,T. Jones makes 2-pt shot at rim (assist by D. Motiejunas)
5:21.0,R. Rubio misses 3-pt shot from 24 ft,,18-14,,
5:20.0,Offensive rebound by Team,,18-14,,
5:20.0,,,18-14,,Loose ball foul by D. Motiejunas (drawn by N. Pekovic)
5:20.0,G. Dieng enters the game for N. Pekovic,,18-14,,
5:08.0,R. Rubio misses 3-pt shot from 25 ft,,18-14,,
5:06.0,,,18-14,,Defensive rebound by J. Harden
5:00.0,,,18-14,,J. Harden misses 2-pt shot from 2 ft (block by A. Wiggins)
5:00.0,Defensive rebound by R. Rubio,,18-14,,
4:51.0,K. Martin misses 3-pt shot from 25 ft,,18-14,,
4:49.0,,,18-14,,Defensive rebound by T. Jones
4:41.0,,,18-14,,T. Ariza misses 3-pt shot from 25 ft
4:39.0,,,18-14,,Offensive rebound by T. Jones
4:39.0,,,18-14,,T. Jones misses 2-pt shot from 2 ft
4:36.0,,,18-14,,Offensive rebound by T. Jones
4:33.0,,,18-14,,J. Harden misses 3-pt shot from 24 ft
4:31.0,,,18-14,,Offensive rebound by T. Ariza
4:13.0,,,18-14,,J. Terry misses 3-pt shot from 23 ft
4:12.0,Defensive rebound by G. Dieng,,18-14,,
4:06.0,R. Rubio makes 2-pt shot from 18 ft,2,20-14,,
3:54.0,,,20-16,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by T. Ariza)
3:36.0,G. Dieng misses 2-pt shot from 2 ft (block by D. Motiejunas),,20-16,,
3:36.0,Offensive rebound by Team,,20-16,,
3:36.0,,,20-16,,C. Brewer enters the game for T. Ariza
3:36.0,,,20-16,,J. Smith enters the game for T. Jones
3:36.0,,,20-16,,P. Prigioni enters the game for J. Terry
3:36.0,C. Budinger enters the game for K. Martin,,20-16,,
3:35.0,Jump ball: G. Dieng vs. D. Motiejunas,,,,Jump ball: G. Dieng vs. D. Motiejunas
3:31.0,C. Budinger misses 2-pt shot from 16 ft,,20-16,,
3:31.0,,,20-16,,Defensive rebound by Team
3:18.0,,,20-16,,C. Brewer misses 2-pt shot from 17 ft
3:16.0,,,20-16,,Offensive rebound by P. Prigioni
3:11.0,,,20-16,,Shooting foul by A. Wiggins (drawn by J. Harden)
3:11.0,,,20-17,1,J. Harden makes free throw 1 of 2
3:11.0,Minnesota full timeout,,20-17,,
3:11.0,,,20-17,,J. Dorsey enters the game for D. Motiejunas
3:11.0,,,20-18,1,J. Harden makes free throw 2 of 2
2:56.0,A. Payne misses 2-pt shot from 21 ft,,20-18,,
2:55.0,,,20-18,,Defensive rebound by J. Harden
2:48.0,,,20-18,,J. Harden misses 3-pt shot from 24 ft
2:48.0,,,20-18,,Offensive rebound by J. Dorsey
2:48.0,Loose ball foul by G. Dieng (drawn by J. Dorsey),,20-18,,
2:33.0,,,20-18,,J. Dorsey misses 2-pt shot from 4 ft (block by G. Dieng)
2:30.0,,,20-18,,Offensive rebound by J. Smith
2:28.0,,,20-20,2,J. Smith makes 2-pt shot from 5 ft
2:10.0,A. Wiggins makes 2-pt shot from 18 ft (assist by R. Rubio),2,22-20,,
2:04.0,,,22-20,,Shooting foul by C. Budinger (drawn by C. Brewer)
2:04.0,,,22-20,,C. Brewer misses free throw 1 of 2
2:04.0,,,22-20,,Offensive rebound by Team
2:04.0,,,22-20,,C. Brewer misses free throw 2 of 2
2:04.0,Defensive rebound by C. Budinger,,22-20,,
1:42.0,A. Wiggins misses 2-pt shot from 9 ft (block by J. Harden),,22-20,,
1:42.0,,,22-20,,Defensive rebound by J. Harden
1:39.0,,,22-22,2,J. Dorsey makes 2-pt shot from 3 ft (assist by J. Harden)
1:22.0,Shooting foul by J. Dorsey (drawn by C. Budinger),,22-22,,
1:22.0,C. Budinger misses free throw 1 of 2,,22-22,,
1:22.0,Offensive rebound by Team,,22-22,,
1:22.0,C. Budinger makes free throw 2 of 2,1,23-22,,
1:06.0,,,23-22,,C. Brewer misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by A. Wiggins,,23-22,,
1:01.0,Shooting foul by J. Smith (drawn by G. Dieng),,23-22,,
1:01.0,G. Dieng makes free throw 1 of 2,1,24-22,,
1:01.0,Z. LaVine enters the game for R. Rubio,,24-22,,
1:01.0,G. Dieng makes free throw 2 of 2,1,25-22,,
0:50.0,,,25-24,2,J. Dorsey makes 2-pt shot at rim (assist by J. Harden)
0:40.0,A. Wiggins misses 3-pt shot from 25 ft,,25-24,,
0:38.0,,,25-24,,Defensive rebound by J. Dorsey
0:30.0,,,25-24,,J. Harden misses 3-pt shot from 27 ft
0:28.0,,,25-24,,Offensive rebound by J. Dorsey
0:26.0,,,25-24,,Shooting foul by G. Dieng (drawn by J. Harden)
0:26.0,,,25-25,1,J. Harden makes free throw 1 of 2
0:26.0,,,25-25,,T. Ariza enters the game for P. Prigioni
0:26.0,N. Pekovic enters the game for G. Dieng,,25-25,,
0:26.0,,,25-26,1,J. Harden makes free throw 2 of 2
0:03.0,A. Payne misses 2-pt shot from 8 ft,,25-26,,
0:02.0,,,25-26,,Defensive rebound by J. Dorsey
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-26,,C. Brewer misses 2-pt shot from 7 ft
11:46.0,Defensive rebound by N. Pekovic,,25-26,,
11:33.0,N. Pekovic misses 2-pt shot from 8 ft,,25-26,,
11:31.0,,,25-26,,Defensive rebound by T. Ariza
11:24.0,,,25-28,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Smith)
11:06.0,Turnover by A. Wiggins (bad pass; steal by J. Smith),,25-28,,
11:01.0,,,25-30,2,J. Dorsey makes 2-pt shot from 1 ft (assist by J. Smith)
11:00.0,Minnesota full timeout,,25-30,,
11:00.0,K. Martin enters the game for A. Wiggins,,25-30,,
10:41.0,Turnover by N. Pekovic (bad pass; steal by T. Ariza),,25-30,,
10:38.0,,,25-32,2,T. Ariza makes 2-pt shot at rim
10:17.0,Shooting foul by T. Ariza (drawn by K. Martin),,25-32,,
10:17.0,K. Martin makes free throw 1 of 2,1,26-32,,
10:17.0,K. Martin makes free throw 2 of 2,1,27-32,,
10:10.0,,,27-32,,Turnover by C. Brewer (traveling)
10:10.0,G. Robinson enters the game for A. Payne,,27-32,,
10:01.0,Z. LaVine makes 2-pt shot from 1 ft,2,29-32,,
9:42.0,,,29-32,,Turnover by C. Brewer (bad pass; steal by N. Pekovic)
9:30.0,Z. LaVine misses 3-pt shot from 26 ft,,29-32,,
9:28.0,,,29-32,,Defensive rebound by T. Ariza
