time,Minnesota,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gay vs. J. Hamilton (R. McCallum gains possession),,,,Jump ball: R. Gay vs. J. Hamilton (R. McCallum gains possession)
11:47.0,,,0-2,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay)
11:34.0,K. Martin misses 2-pt shot from 22 ft,,0-2,,
11:33.0,,,0-2,,Defensive rebound by R. McCallum
11:26.0,,,0-4,2,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore)
11:08.0,A. Payne misses 2-pt shot from 15 ft,,0-4,,
11:08.0,,,0-4,,Defensive rebound by O. Casspi
11:00.0,,,0-4,,Turnover by R. Evans (3 sec)
10:42.0,Z. LaVine misses 3-pt shot from 24 ft,,0-4,,
10:41.0,,,0-4,,Defensive rebound by R. McCallum
10:38.0,,,0-6,2,B. McLemore makes 2-pt shot at rim (assist by R. McCallum)
10:31.0,Minnesota full timeout,,0-6,,
10:19.0,A. Payne makes 2-pt shot from 5 ft,2,2-6,,
10:05.0,,,2-6,,Offensive foul by R. Evans
10:05.0,,,2-6,,Turnover by R. Evans (offensive foul)
9:54.0,A. Wiggins makes 2-pt shot from 15 ft,2,4-6,,
9:40.0,,,4-8,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay)
9:40.0,,,4-8,,Shooting foul by A. Payne (drawn by O. Casspi)
9:40.0,C. Budinger enters the game for A. Payne,,4-8,,
9:40.0,,,4-9,1,O. Casspi makes free throw 1 of 1
9:28.0,A. Wiggins misses 2-pt shot from 16 ft,,4-9,,
9:28.0,,,4-9,,Defensive rebound by R. Evans
9:11.0,,,4-9,,R. Evans misses 2-pt shot from 2 ft (block by J. Hamilton)
9:09.0,Defensive rebound by J. Hamilton,,4-9,,
9:06.0,C. Budinger makes 2-pt shot at rim (assist by Z. LaVine),2,6-9,,
8:44.0,,,6-9,,R. McCallum misses 3-pt shot from 22 ft
8:43.0,Defensive rebound by C. Budinger,,6-9,,
8:23.0,A. Wiggins misses 2-pt shot from 3 ft,,6-9,,
8:21.0,Offensive rebound by A. Wiggins,,6-9,,
8:21.0,A. Wiggins makes 2-pt shot from 1 ft,2,8-9,,
8:08.0,,,8-11,2,R. Gay makes 2-pt shot from 6 ft
7:55.0,K. Martin makes 3-pt shot from 25 ft (assist by Z. LaVine),3,11-11,,
7:40.0,,,11-11,,Turnover by R. Gay (bad pass; steal by J. Hamilton)
7:32.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Martin),2,13-11,,
7:21.0,Shooting block foul by A. Wiggins (drawn by R. Gay),,13-11,,
7:21.0,,,13-11,,R. Gay misses free throw 1 of 2
7:21.0,,,13-11,,Offensive rebound by Team
7:21.0,,,13-11,,J. Thompson enters the game for R. Evans
7:21.0,,,13-12,1,R. Gay makes free throw 2 of 2
7:01.0,K. Martin makes 2-pt shot from 9 ft (assist by J. Hamilton),2,15-12,,
6:42.0,,,15-14,2,O. Casspi makes 2-pt shot from 2 ft (assist by R. Gay)
6:27.0,K. Martin misses 3-pt shot from 25 ft,,15-14,,
6:26.0,,,15-14,,Defensive rebound by O. Casspi
6:18.0,,,15-14,,O. Casspi misses 2-pt shot from 13 ft
6:17.0,Defensive rebound by J. Hamilton,,15-14,,
6:10.0,Z. LaVine misses 2-pt shot from 14 ft,,15-14,,
6:10.0,,,15-14,,Defensive rebound by O. Casspi
6:00.0,,,15-14,,Turnover by R. Gay (bad pass)
5:43.0,J. Hamilton makes 2-pt shot from 16 ft (assist by K. Martin),2,17-14,,
5:32.0,,,17-14,,O. Casspi misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by K. Martin,,17-14,,
5:17.0,K. Martin makes 2-pt shot from 18 ft (assist by J. Hamilton),2,19-14,,
5:15.0,,,19-14,,Sacramento full timeout
5:15.0,,,19-14,,D. Williams enters the game for R. Gay
5:01.0,,,19-16,2,B. McLemore makes 2-pt shot from 2 ft (assist by R. McCallum)
4:41.0,C. Budinger makes 3-pt shot from 23 ft (assist by J. Hamilton),3,22-16,,
4:25.0,,,22-16,,Turnover by B. McLemore (bad pass; steal by J. Hamilton)
4:17.0,Shooting foul by B. McLemore (drawn by K. Martin),,22-16,,
4:17.0,K. Martin misses free throw 1 of 2,,22-16,,
4:17.0,Offensive rebound by Team,,22-16,,
4:17.0,,,22-16,,N. Stauskas enters the game for O. Casspi
4:17.0,K. Martin makes free throw 2 of 2,1,23-16,,
4:06.0,,,23-16,,Turnover by D. Williams (lost ball)
3:52.0,A. Wiggins misses 2-pt shot from 8 ft,,23-16,,
3:51.0,,,23-16,,Defensive rebound by J. Thompson
3:36.0,,,23-16,,Turnover by R. McCallum (bad pass)
3:36.0,,,23-16,,A. Miller enters the game for R. McCallum
3:27.0,Turnover by K. Martin (bad pass; steal by B. McLemore),,23-16,,
3:21.0,,,23-16,,B. McLemore misses 2-pt shot from 5 ft
3:20.0,,,23-16,,Offensive rebound by J. Thompson
3:20.0,,,23-16,,Shooting foul by C. Budinger (drawn by J. Thompson)
3:20.0,,,23-17,1,J. Thompson makes free throw 1 of 2
3:20.0,,,23-17,,J. Thompson misses free throw 2 of 2
3:19.0,Defensive rebound by C. Budinger,,23-17,,
3:04.0,Shooting foul by B. McLemore (drawn by K. Martin),,23-17,,
3:04.0,K. Martin makes free throw 1 of 2,1,24-17,,
3:04.0,K. Martin makes free throw 2 of 2,1,25-17,,
2:42.0,,,25-19,2,A. Miller makes 2-pt shot from 2 ft (assist by J. Thompson)
2:24.0,Z. LaVine makes 3-pt shot from 25 ft (assist by J. Hamilton),3,28-19,,
2:12.0,,,28-21,2,D. Williams makes 2-pt shot from 18 ft (assist by A. Miller)
1:54.0,Z. LaVine misses 3-pt shot from 25 ft,,28-21,,
1:53.0,,,28-21,,Defensive rebound by N. Stauskas
1:45.0,,,28-21,,Turnover by N. Stauskas (bad pass; steal by C. Budinger)
1:43.0,Shooting foul by N. Stauskas (drawn by Z. LaVine),,28-21,,
1:43.0,Minnesota full timeout,,28-21,,
1:43.0,,,28-21,,R. Gay enters the game for B. McLemore
1:43.0,A. Payne enters the game for K. Martin,,28-21,,
1:43.0,L. Brown enters the game for J. Hamilton,,28-21,,
1:43.0,Z. LaVine misses free throw 1 of 2,,28-21,,
1:43.0,Offensive rebound by Team,,28-21,,
1:43.0,Z. LaVine makes free throw 2 of 2,1,29-21,,
1:28.0,,,29-23,2,J. Thompson makes 2-pt shot from 2 ft (assist by A. Miller)
1:09.0,A. Wiggins misses 2-pt shot from 4 ft (block by J. Thompson),,29-23,,
1:08.0,Offensive rebound by C. Budinger,,29-23,,
1:07.0,C. Budinger misses 2-pt shot from 12 ft,,29-23,,
1:06.0,,,29-23,,Defensive rebound by R. Gay
1:00.0,,,29-23,,Turnover by N. Stauskas (step out of bounds)
0:45.0,C. Budinger misses 2-pt shot from 12 ft,,29-23,,
0:44.0,,,29-23,,Defensive rebound by R. Gay
0:37.0,Personal foul by A. Payne (drawn by J. Thompson),,29-23,,
0:20.0,,,29-23,,N. Stauskas misses 3-pt shot from 26 ft
0:20.0,Defensive rebound by Z. LaVine,,29-23,,
0:02.0,A. Wiggins makes 2-pt shot from 20 ft (assist by Z. LaVine),2,31-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Z. LaVine misses 2-pt shot from 6 ft (block by J. Thompson),,31-23,,
11:40.0,Offensive rebound by Team,,31-23,,
11:40.0,R. Hummel enters the game for A. Wiggins,,31-23,,
11:40.0,K. Martin enters the game for Z. LaVine,,31-23,,
11:36.0,C. Budinger misses 2-pt shot from 11 ft,,31-23,,
11:35.0,,,31-23,,Defensive rebound by D. Williams
11:18.0,,,31-25,2,R. Gay makes 2-pt shot from 2 ft (assist by A. Miller)
11:04.0,K. Martin makes 2-pt shot from 17 ft (assist by L. Brown),2,33-25,,
10:53.0,,,33-25,,Shooting foul by R. Hummel (drawn by R. Gay)
10:53.0,,,33-26,1,R. Gay makes free throw 1 of 2
10:53.0,,,33-27,1,R. Gay makes free throw 2 of 2
10:41.0,K. Martin misses 3-pt shot from 24 ft,,33-27,,
10:40.0,,,33-27,,Defensive rebound by R. Gay
10:18.0,,,33-29,2,D. Williams makes 2-pt shot at rim
9:59.0,L. Brown misses 2-pt shot from 6 ft (block by N. Stauskas),,33-29,,
9:59.0,,,33-29,,Defensive rebound by J. Thompson
9:51.0,,,33-29,,Turnover by R. Gay (lost ball)
9:38.0,K. Martin misses 3-pt shot from 25 ft,,33-29,,
9:37.0,,,33-29,,Defensive rebound by D. Williams
9:26.0,,,33-29,,D. Williams misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by K. Martin,,33-29,,
9:14.0,R. Hummel misses 2-pt shot from 5 ft (block by D. Williams),,33-29,,
9:14.0,Offensive rebound by Team,,33-29,,
9:14.0,A. Payne enters the game for J. Hamilton,,33-29,,
9:14.0,,,33-29,,O. Casspi enters the game for N. Stauskas
9:02.0,K. Martin misses 2-pt shot from 3 ft,,33-29,,
9:02.0,,,33-29,,Defensive rebound by J. Thompson
8:46.0,,,33-32,3,R. Gay makes 3-pt shot from 23 ft (assist by O. Casspi)
8:46.0,Minnesota full timeout,,33-32,,
8:33.0,R. Hummel misses 2-pt shot from 21 ft,,33-32,,
8:32.0,,,33-32,,Defensive rebound by J. Thompson
8:16.0,,,33-32,,R. Gay misses 2-pt shot from 13 ft
8:15.0,,,33-32,,Offensive rebound by J. Thompson
8:12.0,,,33-34,2,J. Thompson makes 2-pt shot from 6 ft
7:57.0,,,33-34,,Personal foul by A. Miller (drawn by R. Hummel)
7:57.0,Z. LaVine enters the game for C. Budinger,,33-34,,
7:57.0,A. Wiggins enters the game for L. Brown,,33-34,,
7:45.0,Z. LaVine makes 2-pt shot from 9 ft (assist by K. Martin),2,35-34,,
7:24.0,,,35-34,,R. Gay misses 2-pt shot at rim
7:23.0,,,35-34,,Offensive rebound by R. Gay
7:22.0,,,35-36,2,R. Gay makes 2-pt shot from 2 ft
7:22.0,,,35-36,,Shooting foul by A. Payne (drawn by R. Gay)
7:22.0,J. Hamilton enters the game for A. Payne,,35-36,,
7:22.0,,,35-37,1,R. Gay makes free throw 1 of 1
7:03.0,J. Hamilton misses 2-pt shot from 15 ft,,35-37,,
7:02.0,,,35-37,,Defensive rebound by J. Thompson
6:47.0,,,35-40,3,O. Casspi makes 3-pt shot from 25 ft (assist by R. Gay)
6:46.0,Minnesota full timeout,,35-40,,
6:46.0,,,35-40,,B. McLemore enters the game for R. Gay
6:37.0,A. Wiggins misses 2-pt shot from 1 ft,,35-40,,
6:35.0,,,35-40,,Defensive rebound by D. Williams
6:32.0,Shooting block foul by R. Hummel (drawn by D. Williams),,35-40,,
6:32.0,,,35-40,,D. Williams misses free throw 1 of 2
