time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Thompson (R. Kelly gains possession),,,,Jump ball: T. Black vs. J. Thompson (R. Kelly gains possession)
11:40.0,J. Hill misses 2-pt shot from 7 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by O. Casspi
11:21.0,,,0-0,,O. Casspi misses 3-pt shot from 22 ft
11:20.0,Defensive rebound by J. Clarkson,,0-0,,
11:06.0,J. Brown makes 2-pt shot from 13 ft (assist by J. Hill),2,2-0,,
10:44.0,,,2-2,2,J. Thompson makes 2-pt shot from 15 ft (assist by O. Casspi)
10:29.0,J. Clarkson makes 2-pt shot from 18 ft,2,4-2,,
10:05.0,,,4-5,3,O. Casspi makes 3-pt shot from 22 ft (assist by R. McCallum)
9:48.0,R. Kelly misses 3-pt shot from 23 ft,,4-5,,
9:46.0,,,4-5,,Defensive rebound by J. Thompson
9:40.0,,,4-5,,Turnover by R. McCallum (lost ball; steal by J. Clarkson)
9:37.0,J. Brown makes 2-pt shot at rim,2,6-5,,
9:20.0,,,6-5,,R. McCallum misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by J. Brown,,6-5,,
9:11.0,J. Clarkson misses 2-pt shot from 17 ft,,6-5,,
9:10.0,,,6-5,,Defensive rebound by C. Landry
8:59.0,,,6-7,2,J. Thompson makes 2-pt shot from 6 ft
8:34.0,R. Kelly misses 2-pt shot from 14 ft,,6-7,,
8:34.0,,,6-7,,Defensive rebound by B. McLemore
8:27.0,,,6-9,2,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore)
8:00.0,J. Hill makes 2-pt shot from 21 ft,2,8-9,,
7:45.0,,,8-9,,J. Thompson misses 2-pt shot from 5 ft (block by R. Kelly)
7:45.0,Defensive rebound by Team,,8-9,,
7:31.0,J. Hill makes 2-pt shot from 20 ft (assist by J. Brown),2,10-9,,
7:23.0,,,10-11,2,C. Landry makes 2-pt shot from 2 ft (assist by O. Casspi)
7:23.0,,,10-11,,Shooting foul by J. Hill (drawn by C. Landry)
7:23.0,,,10-12,1,C. Landry makes free throw 1 of 1
6:58.0,J. Hill makes 2-pt shot from 7 ft (assist by J. Brown),2,12-12,,
6:49.0,,,12-12,,B. McLemore misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by T. Black,,12-12,,
6:38.0,J. Hill makes 2-pt shot from 17 ft (assist by J. Brown),2,14-12,,
6:26.0,,,14-12,,Shooting foul by T. Black (drawn by J. Thompson)
6:26.0,,,14-12,,J. Thompson misses free throw 1 of 2
6:26.0,,,14-12,,Offensive rebound by Team
6:26.0,,,14-12,,J. Thompson misses free throw 2 of 2
6:25.0,,,14-12,,Offensive rebound by B. McLemore
6:18.0,,,14-12,,C. Landry misses 2-pt shot from 3 ft
6:15.0,Defensive rebound by Team,,14-12,,
6:15.0,,,14-12,,Loose ball foul by J. Thompson (drawn by J. Hill)
5:53.0,T. Black makes 2-pt shot from 5 ft,2,16-12,,
5:44.0,,,16-12,,Offensive foul by J. Thompson
5:44.0,,,16-12,,Turnover by J. Thompson (offensive foul)
5:44.0,,,16-12,,Sacramento full timeout
5:44.0,,,16-12,,R. Hollins enters the game for J. Thompson
5:24.0,R. Kelly misses 2-pt shot from 17 ft,,16-12,,
5:22.0,,,16-12,,Defensive rebound by C. Landry
5:03.0,,,16-14,2,B. McLemore makes 2-pt shot from 1 ft
4:48.0,J. Clarkson misses 2-pt shot from 15 ft,,16-14,,
4:46.0,,,16-14,,Defensive rebound by C. Landry
4:40.0,,,16-16,2,R. McCallum makes 2-pt shot from 2 ft
4:21.0,J. Hill makes 2-pt shot from 15 ft,2,18-16,,
4:10.0,Personal foul by T. Black (drawn by R. Hollins),,18-16,,
4:10.0,,,18-16,,N. Stauskas enters the game for C. Landry
4:10.0,,,18-16,,D. Williams enters the game for B. McLemore
4:10.0,C. Boozer enters the game for T. Black,,18-16,,
4:10.0,E. Davis enters the game for J. Hill,,18-16,,
3:57.0,,,18-16,,R. McCallum misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by R. Kelly,,18-16,,
3:42.0,E. Davis makes 2-pt shot at rim (assist by J. Brown),2,20-16,,
3:29.0,,,20-16,,N. Stauskas misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by E. Davis,,20-16,,
3:14.0,C. Boozer misses 2-pt shot from 16 ft,,20-16,,
3:13.0,,,20-16,,Defensive rebound by O. Casspi
3:08.0,,,20-16,,R. Hollins misses 2-pt shot at rim
3:07.0,Defensive rebound by J. Brown,,20-16,,
3:02.0,J. Brown makes 2-pt shot from 3 ft,2,22-16,,
2:55.0,,,22-18,2,R. McCallum makes 2-pt shot from 1 ft (assist by O. Casspi)
2:35.0,J. Brown misses 2-pt shot from 17 ft,,22-18,,
2:35.0,,,22-18,,Defensive rebound by O. Casspi
2:26.0,,,22-18,,O. Casspi misses 2-pt shot from 8 ft
2:25.0,Defensive rebound by C. Boozer,,22-18,,
2:18.0,J. Clarkson misses 2-pt shot from 18 ft,,22-18,,
2:17.0,Offensive rebound by E. Davis,,22-18,,
2:11.0,J. Brown misses 3-pt shot from 23 ft,,22-18,,
2:10.0,,,22-18,,Defensive rebound by R. Hollins
2:09.0,,,22-18,,Turnover by R. Hollins (bad pass; steal by J. Clarkson)
2:03.0,J. Brown makes 2-pt shot from 2 ft (assist by J. Clarkson),2,24-18,,
1:44.0,,,24-18,,D. Williams misses 2-pt shot from 16 ft
1:43.0,,,24-18,,Offensive rebound by Team
1:43.0,LA Lakers full timeout,,24-18,,
1:43.0,,,24-18,,A. Miller enters the game for R. McCallum
1:43.0,V. Blue enters the game for J. Brown,,24-18,,
1:25.0,,,24-20,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Williams)
1:00.0,C. Boozer misses 2-pt shot from 18 ft,,24-20,,
0:59.0,,,24-20,,Defensive rebound by N. Stauskas
0:45.0,,,24-20,,N. Stauskas misses 2-pt shot from 4 ft
0:44.0,,,24-20,,Offensive rebound by R. Hollins
0:44.0,,,24-22,2,R. Hollins makes 2-pt shot from 2 ft
0:36.0,J. Clarkson misses 2-pt shot from 3 ft,,24-22,,
0:36.0,,,24-22,,Defensive rebound by A. Miller
0:16.0,,,24-24,2,A. Miller makes 2-pt shot from 2 ft (assist by O. Casspi)
0:04.0,,,24-24,,Personal take foul by A. Miller (drawn by J. Clarkson)
0:04.0,,,24-24,,B. McLemore enters the game for O. Casspi
