time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Brand vs. H. Whiteside (K. Bazemore gains possession),,,,Jump ball: E. Brand vs. H. Whiteside (K. Bazemore gains possession)
11:40.0,E. Brand misses 2-pt shot from 12 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by H. Whiteside
11:21.0,,,0-0,,Turnover by L. Deng (bad pass; steal by K. Korver)
11:10.0,K. Bazemore misses 2-pt shot from 10 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by H. Walker
11:03.0,,,0-0,,G. Dragic misses 2-pt shot from 11 ft
11:02.0,Defensive rebound by K. Bazemore,,0-0,,
10:56.0,K. Bazemore makes 2-pt shot from 1 ft,2,2-0,,
10:35.0,,,2-0,,H. Walker misses 3-pt shot from 25 ft
10:34.0,,,2-0,,Offensive rebound by H. Whiteside
10:33.0,,,2-0,,H. Whiteside misses 2-pt shot at rim
10:32.0,,,2-0,,Offensive rebound by H. Whiteside
10:31.0,,,2-2,2,H. Whiteside makes 2-pt shot at rim
10:22.0,E. Brand makes 2-pt shot from 15 ft (assist by D. Schroder),2,4-2,,
10:09.0,,,4-2,,D. Wade misses 2-pt shot from 7 ft
10:08.0,Defensive rebound by P. Millsap,,4-2,,
10:01.0,P. Millsap makes 3-pt shot from 24 ft (assist by K. Korver),3,7-2,,
9:46.0,,,7-2,,Turnover by L. Deng (lost ball; steal by K. Bazemore)
9:35.0,K. Korver misses 2-pt shot from 18 ft,,7-2,,
9:34.0,,,7-2,,Defensive rebound by H. Whiteside
9:21.0,,,7-2,,H. Walker misses 3-pt shot from 25 ft
9:20.0,,,7-2,,Offensive rebound by H. Whiteside
9:14.0,Personal foul by P. Millsap (drawn by D. Wade),,7-2,,
9:10.0,,,7-2,,Turnover by D. Wade (bad pass)
9:03.0,,,7-2,,Personal foul by H. Walker (drawn by P. Millsap)
8:46.0,K. Bazemore makes 3-pt shot from 23 ft,3,10-2,,
8:31.0,,,10-2,,Turnover by D. Wade (lost ball)
8:16.0,D. Schroder misses 2-pt shot from 1 ft,,10-2,,
8:15.0,Offensive rebound by E. Brand,,10-2,,
8:11.0,Turnover by K. Korver (bad pass; steal by G. Dragic),,10-2,,
8:07.0,,,10-4,2,D. Wade makes 2-pt shot at rim (assist by G. Dragic)
7:46.0,Turnover by D. Schroder (bad pass; steal by D. Wade),,10-4,,
7:42.0,,,10-6,2,H. Walker makes 2-pt shot at rim (assist by D. Wade)
7:19.0,P. Millsap makes 2-pt shot from 1 ft (assist by E. Brand),2,12-6,,
6:57.0,,,12-9,3,H. Walker makes 3-pt shot from 24 ft (assist by D. Wade)
6:41.0,P. Millsap misses 2-pt shot from 17 ft,,12-9,,
6:40.0,,,12-9,,Defensive rebound by H. Whiteside
6:34.0,,,12-9,,Turnover by D. Wade (lost ball; steal by K. Korver)
6:21.0,E. Brand misses 2-pt shot from 7 ft,,12-9,,
6:20.0,,,12-9,,Defensive rebound by H. Whiteside
6:13.0,Personal foul by E. Brand (drawn by H. Whiteside),,12-9,,
6:13.0,,,12-9,,M. Chalmers enters the game for G. Dragic
6:13.0,,,12-9,,M. Beasley enters the game for H. Walker
6:13.0,J. Jenkins enters the game for K. Korver,,12-9,,
6:13.0,,,12-9,,Turnover by L. Deng (bad pass)
6:02.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,14-9,,
6:02.0,Shooting foul by M. Beasley (drawn by P. Millsap),,14-9,,
6:02.0,M. Muscala enters the game for E. Brand,,14-9,,
6:02.0,P. Millsap makes free throw 1 of 1,1,15-9,,
5:52.0,,,15-9,,D. Wade misses 2-pt shot at rim (block by M. Muscala)
5:51.0,Defensive rebound by J. Jenkins,,15-9,,
5:46.0,J. Jenkins misses 3-pt shot from 25 ft,,15-9,,
5:45.0,,,15-9,,Defensive rebound by H. Whiteside
5:23.0,,,15-9,,M. Chalmers misses 2-pt shot from 4 ft
5:22.0,Defensive rebound by K. Bazemore,,15-9,,
4:59.0,Turnover by J. Jenkins (traveling),,15-9,,
4:59.0,,,15-9,,Miami full timeout
4:45.0,Personal foul by K. Bazemore (drawn by D. Wade),,15-9,,
4:34.0,,,15-12,3,M. Beasley makes 3-pt shot from 25 ft (assist by M. Chalmers)
4:11.0,M. Muscala misses 2-pt shot from 12 ft,,15-12,,
4:10.0,,,15-12,,Defensive rebound by L. Deng
3:55.0,,,15-12,,L. Deng misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by J. Jenkins,,15-12,,
3:44.0,D. Schroder misses 2-pt shot from 17 ft,,15-12,,
3:43.0,,,15-12,,Defensive rebound by H. Whiteside
3:33.0,,,15-12,,M. Beasley misses 2-pt shot from 1 ft (block by M. Muscala)
3:31.0,,,15-12,,Offensive rebound by L. Deng
3:24.0,,,15-12,,D. Wade misses 2-pt shot from 13 ft
3:23.0,Defensive rebound by D. Schroder,,15-12,,
3:23.0,,,15-12,,Personal foul by D. Wade (drawn by D. Schroder)
3:23.0,,,15-12,,G. Dragic enters the game for D. Wade
3:23.0,Atlanta full timeout,,15-12,,
3:23.0,M. Scott enters the game for K. Bazemore,,15-12,,
3:23.0,S. Mack enters the game for D. Schroder,,15-12,,
3:09.0,J. Jenkins makes 2-pt shot from 20 ft (assist by M. Muscala),2,17-12,,
2:54.0,,,17-12,,Turnover by M. Beasley (traveling)
2:31.0,M. Muscala misses 2-pt shot from 19 ft,,17-12,,
2:30.0,Offensive rebound by Team,,17-12,,
2:30.0,Turnover by Team (shot clock),,17-12,,
2:13.0,,,17-12,,G. Dragic misses 3-pt shot from 24 ft
2:12.0,Defensive rebound by M. Scott,,17-12,,
1:48.0,Turnover by Team (shot clock),,17-12,,
1:28.0,,,17-12,,M. Chalmers misses 2-pt shot from 1 ft (block by M. Muscala)
1:27.0,Defensive rebound by J. Jenkins,,17-12,,
1:09.0,S. Mack misses 2-pt shot from 3 ft,,17-12,,
1:08.0,Offensive rebound by M. Scott,,17-12,,
0:59.0,M. Muscala misses 3-pt shot from 23 ft,,17-12,,
0:58.0,,,17-12,,Defensive rebound by M. Beasley
0:39.0,,,17-12,,M. Chalmers misses 3-pt shot from 23 ft
0:38.0,,,17-12,,Offensive rebound by H. Whiteside
0:30.0,,,17-12,,G. Dragic misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Jenkins,,17-12,,
0:26.0,Turnover by J. Jenkins (bad pass; steal by M. Chalmers),,17-12,,
0:06.0,,,17-12,,G. Dragic misses 3-pt shot from 23 ft
0:05.0,Defensive rebound by Team,,17-12,,
0:05.0,,,17-12,,U. Haslem enters the game for H. Whiteside
0:05.0,D. Schroder enters the game for J. Jenkins,,17-12,,
0:00.0,M. Muscala misses 3-pt shot from 25 ft,,17-12,,
0:00.0,Offensive rebound by Team,,17-12,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,17-12,,M. Beasley misses 2-pt shot from 12 ft
11:48.0,Defensive rebound by J. Jenkins,,17-12,,
11:35.0,J. Jenkins makes 3-pt shot from 23 ft (assist by S. Mack),3,20-12,,
11:20.0,,,20-12,,Shooting foul by J. Jenkins (drawn by U. Haslem)
11:20.0,,,20-13,1,U. Haslem makes free throw 1 of 2
11:20.0,,,20-14,1,U. Haslem makes free throw 2 of 2
11:12.0,K. Korver misses 3-pt shot from 25 ft,,20-14,,
11:11.0,,,20-14,,Defensive rebound by U. Haslem
11:02.0,,,20-14,,H. Walker misses 3-pt shot from 24 ft (block by K. Korver)
11:01.0,Defensive rebound by J. Jenkins,,20-14,,
10:53.0,S. Mack misses 2-pt shot from 5 ft,,20-14,,
10:52.0,,,20-14,,Defensive rebound by H. Walker
10:39.0,,,20-14,,Turnover by M. Beasley (lost ball; steal by J. Jenkins)
10:35.0,S. Mack misses 3-pt shot from 24 ft,,20-14,,
10:34.0,,,20-14,,Defensive rebound by Team
10:13.0,,,20-14,,M. Beasley misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by J. Jenkins,,20-14,,
9:47.0,M. Scott makes 2-pt shot from 4 ft (assist by E. Brand),2,22-14,,
9:30.0,,,22-14,,H. Walker misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by M. Scott,,22-14,,
9:21.0,K. Korver misses 3-pt shot from 24 ft,,22-14,,
9:20.0,,,22-14,,Defensive rebound by U. Haslem
9:16.0,,,22-14,,Miami full timeout
9:16.0,,,22-14,,L. Deng enters the game for M. Beasley
8:57.0,,,22-14,,H. Walker misses 2-pt shot from 7 ft
8:56.0,Defensive rebound by E. Brand,,22-14,,
8:49.0,M. Scott makes 2-pt shot at rim (assist by K. Korver),2,24-14,,
8:31.0,,,24-14,,Turnover by L. Deng (lost ball; steal by K. Korver)
8:26.0,K. Korver makes 3-pt shot from 25 ft,3,27-14,,
8:07.0,,,27-14,,Shooting foul by J. Jenkins (drawn by M. Chalmers)
8:07.0,,,27-14,,M. Chalmers misses free throw 1 of 3
8:07.0,,,27-14,,Offensive rebound by Team
8:07.0,,,27-15,1,M. Chalmers makes free throw 2 of 3
8:07.0,D. Schroder enters the game for S. Mack,,27-15,,
8:07.0,,,27-15,,D. Wade enters the game for H. Walker
8:07.0,K. Bazemore enters the game for J. Jenkins,,27-15,,
8:07.0,,,27-16,1,M. Chalmers makes free throw 3 of 3
7:50.0,K. Korver misses 3-pt shot from 24 ft,,27-16,,
7:49.0,,,27-16,,Defensive rebound by U. Haslem
7:35.0,,,27-16,,L. Deng misses 2-pt shot at rim
7:34.0,Defensive rebound by E. Brand,,27-16,,
7:27.0,D. Schroder misses 2-pt shot at rim,,27-16,,
7:26.0,Offensive rebound by E. Brand,,27-16,,
7:25.0,E. Brand makes 2-pt shot from 4 ft,2,29-16,,
7:09.0,,,29-16,,Turnover by L. Deng (traveling)
7:09.0,,,29-16,,H. Whiteside enters the game for U. Haslem
6:56.0,M. Scott makes 2-pt shot from 2 ft (assist by K. Korver),2,31-16,,
6:56.0,,,31-16,,Miami full timeout
6:34.0,,,31-16,,D. Wade misses 2-pt shot from 10 ft
6:33.0,,,31-16,,Offensive rebound by G. Dragic
6:30.0,,,31-19,3,M. Chalmers makes 3-pt shot from 24 ft (assist by G. Dragic)
6:16.0,Turnover by D. Schroder (bad pass; steal by M. Chalmers),,31-19,,
6:10.0,,,31-21,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
6:10.0,Atlanta full timeout,,31-21,,
6:10.0,J. Jenkins enters the game for E. Brand,,31-21,,
6:10.0,P. Millsap enters the game for K. Korver,,31-21,,
5:57.0,J. Jenkins makes 3-pt shot from 25 ft (assist by D. Schroder),3,34-21,,
5:32.0,,,34-21,,M. Chalmers misses 2-pt shot from 16 ft
5:31.0,,,34-21,,Offensive rebound by D. Wade
5:30.0,,,34-21,,D. Wade misses 2-pt shot at rim
5:29.0,Defensive rebound by P. Millsap,,34-21,,
5:22.0,P. Millsap misses 3-pt shot from 25 ft,,34-21,,
5:21.0,,,34-21,,Defensive rebound by H. Whiteside
5:10.0,,,34-21,,Shooting foul by P. Millsap (drawn by D. Wade)
5:10.0,,,34-22,1,D. Wade makes free throw 1 of 2
5:10.0,M. Muscala enters the game for M. Scott,,34-22,,
5:10.0,,,34-22,,H. Walker enters the game for G. Dragic
5:10.0,,,34-23,1,D. Wade makes free throw 2 of 2
4:53.0,D. Schroder misses 2-pt shot from 19 ft,,34-23,,
4:52.0,,,34-23,,Defensive rebound by M. Chalmers
4:42.0,,,34-23,,H. Walker misses 2-pt shot from 6 ft
4:41.0,,,34-23,,Offensive rebound by H. Whiteside
4:38.0,,,34-25,2,H. Whiteside makes 2-pt shot from 1 ft
4:31.0,Turnover by D. Schroder (bad pass; steal by M. Chalmers),,34-25,,
4:29.0,,,34-25,,M. Chalmers misses 2-pt shot from 1 ft
4:28.0,,,34-25,,Offensive rebound by Team
