time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:36.0,D. Rose misses 2-pt shot from 7 ft,,0-0,,
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (D. Rose gains possession)
11:33.0,,,0-0,,Defensive rebound by T. Mozgov
11:20.0,,,0-0,,T. Mozgov misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by J. Butler,,0-0,,
11:05.0,Turnover by M. Dunleavy (bad pass; steal by T. Mozgov),,0-0,,
11:00.0,Personal foul by D. Rose (drawn by K. Irving),,0-0,,
10:47.0,,,0-2,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
10:30.0,M. Dunleavy makes 2-pt shot at rim (assist by J. Noah),2,2-2,,
10:09.0,,,2-2,,T. Mozgov misses 2-pt shot from 11 ft
10:09.0,Defensive rebound by Team,,2-2,,
10:09.0,,,2-2,,Loose ball foul by T. Thompson (drawn by J. Noah)
9:55.0,Turnover by D. Rose (bad pass; steal by I. Shumpert),,2-2,,
9:47.0,,,2-5,3,I. Shumpert makes 3-pt shot from 27 ft (assist by L. James)
9:37.0,Turnover by M. Dunleavy (step out of bounds),,2-5,,
9:19.0,,,2-7,2,L. James makes 2-pt shot from 5 ft
9:10.0,Shooting foul by L. James (drawn by J. Noah),,2-7,,
9:10.0,J. Noah misses free throw 1 of 2,,2-7,,
9:10.0,Offensive rebound by Team,,2-7,,
9:10.0,J. Noah misses free throw 2 of 2,,2-7,,
9:09.0,,,2-7,,Defensive rebound by I. Shumpert
8:50.0,,,2-7,,Turnover by K. Irving (bad pass; steal by M. Dunleavy)
8:45.0,Turnover by M. Dunleavy (bad pass; steal by K. Irving),,2-7,,
8:40.0,,,2-7,,Turnover by L. James (bad pass; steal by P. Gasol)
8:22.0,M. Dunleavy misses 3-pt shot from 28 ft,,2-7,,
8:21.0,,,2-7,,Defensive rebound by T. Mozgov
8:09.0,,,2-9,2,L. James makes 2-pt shot from 2 ft
8:09.0,,,2-9,,Shooting foul by J. Noah (drawn by L. James)
8:09.0,,,2-10,1,L. James makes free throw 1 of 1
7:57.0,D. Rose misses 2-pt shot from 8 ft,,2-10,,
7:56.0,Offensive rebound by Team,,2-10,,
7:56.0,,,2-10,,M. Miller enters the game for L. James
7:49.0,M. Dunleavy misses 2-pt shot from 19 ft,,2-10,,
7:48.0,Offensive rebound by J. Noah,,2-10,,
7:43.0,J. Butler misses 3-pt shot from 25 ft,,2-10,,
7:41.0,,,2-10,,Defensive rebound by I. Shumpert
7:33.0,,,2-13,3,I. Shumpert makes 3-pt shot from 25 ft (assist by K. Irving)
7:26.0,Chicago full timeout,,2-13,,
7:23.0,,,2-13,,Personal foul by M. Miller (drawn by P. Gasol)
7:23.0,K. Hinrich enters the game for J. Butler,,2-13,,
7:12.0,P. Gasol misses 2-pt shot from 12 ft,,2-13,,
7:10.0,,,2-13,,Defensive rebound by T. Mozgov
7:02.0,,,2-13,,I. Shumpert misses 2-pt shot from 7 ft
7:00.0,Defensive rebound by K. Hinrich,,2-13,,
6:50.0,P. Gasol misses 2-pt shot from 18 ft,,2-13,,
6:48.0,Offensive rebound by D. Rose,,2-13,,
6:45.0,D. Rose misses 2-pt shot from 17 ft,,2-13,,
6:43.0,Offensive rebound by D. Rose,,2-13,,
6:39.0,M. Dunleavy makes 2-pt shot at rim (assist by D. Rose),2,4-13,,
6:39.0,Shooting foul by T. Mozgov (drawn by M. Dunleavy),,4-13,,
6:39.0,J. Butler enters the game for K. Hinrich,,4-13,,
6:39.0,,,4-13,,L. James enters the game for M. Miller
6:39.0,M. Dunleavy makes free throw 1 of 1,1,5-13,,
6:24.0,,,5-13,,L. James misses 3-pt shot from 25 ft
6:23.0,,,5-13,,Offensive rebound by T. Mozgov
6:14.0,,,5-13,,T. Thompson misses 2-pt shot at rim
6:12.0,,,5-13,,Offensive rebound by T. Thompson
6:09.0,,,5-15,2,T. Mozgov makes 2-pt shot at rim (assist by T. Thompson)
6:01.0,D. Rose misses 2-pt shot from 1 ft,,5-15,,
5:59.0,,,5-15,,Defensive rebound by L. James
5:59.0,,,5-15,,Shooting foul by J. Noah (drawn by T. Thompson)
5:59.0,,,5-16,1,L. James makes free throw 1 of 2
5:59.0,T. Gibson enters the game for J. Noah,,5-16,,
5:59.0,,,5-17,1,L. James makes free throw 2 of 2
5:45.0,J. Butler misses 2-pt shot from 17 ft,,5-17,,
5:44.0,,,5-17,,Defensive rebound by T. Thompson
5:28.0,,,5-20,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
5:15.0,,,5-20,,Personal foul by T. Thompson (drawn by J. Butler)
5:15.0,J. Butler misses free throw 1 of 2,,5-20,,
5:15.0,Offensive rebound by Team,,5-20,,
5:15.0,,,5-20,,J. Jones enters the game for T. Thompson
5:15.0,J. Butler makes free throw 2 of 2,1,6-20,,
5:03.0,,,6-20,,K. Irving misses 2-pt shot from 7 ft (block by J. Butler)
5:03.0,,,6-20,,Offensive rebound by Team
4:58.0,,,6-20,,Shooting foul by M. Dunleavy (drawn by I. Shumpert)
4:58.0,,,6-21,1,I. Shumpert makes free throw 1 of 2
4:58.0,K. Hinrich enters the game for M. Dunleavy,,6-21,,
4:58.0,,,6-21,,K. Perkins enters the game for T. Mozgov
4:58.0,,,6-21,,I. Shumpert misses free throw 2 of 2
4:57.0,Defensive rebound by D. Rose,,6-21,,
4:46.0,Turnover by P. Gasol (bad pass; steal by I. Shumpert),,6-21,,
4:43.0,,,6-21,,Shooting foul by K. Hinrich (drawn by L. James)
4:43.0,,,6-21,,L. James misses free throw 1 of 2
4:43.0,,,6-21,,Offensive rebound by Team
4:43.0,,,6-21,,M. Dellavedova enters the game for K. Irving
4:43.0,,,6-22,1,L. James makes free throw 2 of 2
4:34.0,Turnover by J. Butler (lost ball),,6-22,,
4:25.0,,,6-24,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
4:08.0,P. Gasol misses 2-pt shot from 16 ft,,6-24,,
4:07.0,,,6-24,,Defensive rebound by I. Shumpert
3:59.0,,,6-24,,L. James misses 2-pt shot from 19 ft
3:58.0,Defensive rebound by P. Gasol,,6-24,,
3:50.0,T. Gibson makes 2-pt shot at rim (assist by D. Rose),2,8-24,,
3:33.0,,,8-24,,Turnover by M. Dellavedova (bad pass; steal by P. Gasol)
3:30.0,Shooting foul by J. Jones (drawn by T. Gibson),,8-24,,
3:30.0,T. Gibson misses free throw 1 of 2,,8-24,,
3:30.0,Offensive rebound by Team,,8-24,,
3:30.0,A. Brooks enters the game for D. Rose,,8-24,,
3:30.0,T. Gibson makes free throw 2 of 2,1,9-24,,
3:14.0,,,9-26,2,L. James makes 2-pt shot from 17 ft
2:55.0,T. Gibson makes 2-pt shot from 14 ft,2,11-26,,
2:40.0,,,11-28,2,M. Dellavedova makes 2-pt shot from 6 ft
2:18.0,K. Hinrich makes 3-pt shot from 24 ft (assist by J. Butler),3,14-28,,
2:11.0,,,14-28,,Cleveland full timeout
2:11.0,,,14-28,,K. Irving enters the game for I. Shumpert
2:00.0,,,14-30,2,L. James makes 2-pt shot from 17 ft
1:46.0,P. Gasol misses 2-pt shot from 1 ft,,14-30,,
1:45.0,,,14-30,,Defensive rebound by J. Jones
1:32.0,,,14-33,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
1:08.0,Turnover by P. Gasol (lost ball),,14-33,,
0:44.0,,,14-36,3,J. Jones makes 3-pt shot from 24 ft (assist by M. Dellavedova)
0:33.0,Shooting foul by K. Perkins (drawn by J. Butler),,14-36,,
0:33.0,J. Butler makes free throw 1 of 2,1,15-36,,
0:33.0,J. Butler makes free throw 2 of 2,1,16-36,,
0:19.0,,,16-36,,Shooting foul by A. Brooks (drawn by K. Irving)
0:19.0,,,16-37,1,K. Irving makes free throw 1 of 2
0:19.0,,,16-37,,I. Shumpert enters the game for L. James
0:19.0,D. Rose enters the game for K. Hinrich,,16-37,,
0:19.0,,,16-38,1,K. Irving makes free throw 2 of 2
0:00.0,D. Rose makes 2-pt shot from 14 ft,2,18-38,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,18-38,,J. Jones misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by A. Brooks,,18-38,,
11:32.0,T. Gibson makes 2-pt shot at rim (assist by A. Brooks),2,20-38,,
11:13.0,,,20-38,,Shooting foul by M. Dunleavy (drawn by K. Perkins)
11:13.0,,,20-38,,K. Perkins misses free throw 1 of 2
11:13.0,,,20-38,,Offensive rebound by Team
11:13.0,,,20-38,,K. Perkins misses free throw 2 of 2
11:12.0,Defensive rebound by T. Gibson,,20-38,,
10:55.0,D. Rose makes 3-pt shot from 25 ft (assist by A. Brooks),3,23-38,,
10:42.0,,,23-40,2,K. Irving makes 2-pt shot at rim
10:19.0,A. Brooks misses 2-pt shot from 12 ft (block by K. Perkins),,23-40,,
