time,Dallas,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. G. Smith (R. Felton gains possession),,,,Jump ball: J. Nurkic vs. G. Smith (R. Felton gains possession)
11:44.0,R. Felton misses 2-pt shot from 21 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by W. Chandler
11:22.0,,,0-0,,W. Chandler misses 3-pt shot from 22 ft
11:21.0,Defensive rebound by C. Parsons,,0-0,,
11:07.0,C. Parsons makes 2-pt shot from 9 ft,2,2-0,,
10:57.0,,,2-0,,Turnover by W. Chandler (bad pass; steal by R. Felton)
10:52.0,R. Felton makes 2-pt shot at rim,2,4-0,,
10:44.0,,,4-0,,Shooting foul by M. Ellis (drawn by K. Faried)
10:44.0,,,4-1,1,K. Faried makes free throw 1 of 2
10:44.0,,,4-2,1,K. Faried makes free throw 2 of 2
10:34.0,M. Ellis misses 2-pt shot from 1 ft (block by J. Nurkic),,4-2,,
10:32.0,Offensive rebound by G. Smith,,4-2,,
10:29.0,R. Jefferson makes 3-pt shot from 25 ft (assist by G. Smith),3,7-2,,
10:15.0,,,7-4,2,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Chandler)
10:15.0,,,7-4,,Shooting foul by G. Smith (drawn by J. Nurkic)
10:15.0,,,7-5,1,J. Nurkic makes free throw 1 of 1
10:08.0,,,7-5,,Personal foul by A. Afflalo (drawn by M. Ellis)
10:00.0,G. Smith misses 2-pt shot from 1 ft,,7-5,,
9:59.0,,,7-5,,Defensive rebound by W. Chandler
9:51.0,,,7-7,2,W. Chandler makes 2-pt shot from 3 ft
9:41.0,C. Parsons misses 2-pt shot at rim,,7-7,,
9:39.0,,,7-7,,Defensive rebound by K. Faried
9:38.0,,,7-7,,Turnover by K. Faried (bad pass)
9:22.0,R. Jefferson misses 3-pt shot from 23 ft,,7-7,,
9:21.0,,,7-7,,Defensive rebound by W. Chandler
9:13.0,,,7-7,,J. Nurkic misses 2-pt shot at rim
9:12.0,Defensive rebound by G. Smith,,7-7,,
8:57.0,R. Jefferson misses 2-pt shot from 5 ft (block by J. Nurkic),,7-7,,
8:54.0,,,7-7,,Defensive rebound by A. Afflalo
8:46.0,,,7-7,,K. Faried misses 2-pt shot from 2 ft
8:45.0,,,7-7,,Offensive rebound by K. Faried
8:43.0,,,7-7,,K. Faried misses 2-pt shot from 5 ft
8:41.0,Defensive rebound by G. Smith,,7-7,,
8:33.0,R. Felton makes 2-pt shot from 1 ft,2,9-7,,
