time,Portland,pts.away,score,pts.home,Brooklyn
1:44.0,,,25-19,1,M. Brown makes free throw 2 of 2
1:30.0,Turnover by D. Lillard (lost ball),,25-19,,
1:30.0,,,25-19,,B. Bogdanovic enters the game for M. Brown
1:20.0,Personal foul by J. Freeland (drawn by B. Lopez),,25-19,,
1:20.0,,,25-20,1,B. Lopez makes free throw 1 of 2
1:20.0,M. Leonard enters the game for J. Freeland,,25-20,,
1:20.0,,,25-20,,B. Lopez misses free throw 2 of 2
1:19.0,Defensive rebound by M. Leonard,,25-20,,
1:09.0,Turnover by A. Gee (traveling),,25-20,,
0:58.0,,,25-20,,J. Johnson misses 3-pt shot from 26 ft
0:57.0,Defensive rebound by A. Gee,,25-20,,
0:49.0,D. Lillard misses 2-pt shot from 1 ft,,25-20,,
0:48.0,,,25-20,,Defensive rebound by E. Clark
0:42.0,,,25-22,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
0:24.0,D. Lillard misses 3-pt shot from 23 ft,,25-22,,
0:23.0,,,25-22,,Defensive rebound by B. Bogdanovic
0:06.0,,,25-22,,J. Johnson misses 2-pt shot from 9 ft
0:03.0,Defensive rebound by D. Lillard,,25-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,C. McCollum misses 2-pt shot from 24 ft,,25-22,,
11:46.0,,,25-22,,Defensive rebound by M. Plumlee
11:36.0,,,25-22,,B. Bogdanovic misses 2-pt shot from 5 ft
11:35.0,,,25-22,,Offensive rebound by B. Bogdanovic
11:21.0,,,25-24,2,B. Bogdanovic makes 2-pt shot from 18 ft
10:55.0,S. Blake misses 2-pt shot from 6 ft,,25-24,,
10:54.0,,,25-24,,Defensive rebound by M. Plumlee
10:45.0,,,25-24,,Turnover by B. Bogdanovic (lost ball; steal by M. Leonard)
10:38.0,A. Crabbe misses 2-pt shot from 3 ft,,25-24,,
10:37.0,,,25-24,,Defensive rebound by M. Brown
10:35.0,,,25-26,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by M. Brown)
10:35.0,,,25-26,,Shooting foul by M. Leonard (drawn by B. Bogdanovic)
10:35.0,,,25-27,1,B. Bogdanovic makes free throw 1 of 1
10:13.0,Shooting foul by M. Brown (drawn by C. McCollum),,25-27,,
10:13.0,C. McCollum makes free throw 1 of 2,1,26-27,,
10:13.0,C. McCollum makes free throw 2 of 2,1,27-27,,
10:01.0,,,27-27,,Turnover by B. Bogdanovic (bad pass; steal by M. Leonard)
9:48.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Leonard),3,30-27,,
9:36.0,,,30-27,,M. Brown misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by A. Crabbe,,30-27,,
9:28.0,C. McCollum misses 2-pt shot at rim (block by E. Clark),,30-27,,
9:27.0,Offensive rebound by A. Gee,,30-27,,
9:23.0,Shooting foul by E. Clark (drawn by A. Crabbe),,30-27,,
9:23.0,A. Crabbe misses free throw 1 of 2,,30-27,,
9:23.0,Offensive rebound by Team,,30-27,,
9:23.0,,,30-27,,D. Morris enters the game for M. Brown
9:23.0,A. Crabbe makes free throw 2 of 2,1,31-27,,
9:13.0,,,31-30,3,J. Jack makes 3-pt shot from 25 ft (assist by D. Morris)
8:57.0,A. Gee misses 3-pt shot from 23 ft,,31-30,,
8:56.0,,,31-30,,Defensive rebound by J. Jack
8:51.0,,,31-30,,Turnover by J. Jack (lost ball; steal by C. McCollum)
8:51.0,,,31-30,,Personal foul by E. Clark (drawn by C. McCollum)
8:51.0,Official timeout,,31-30,,
8:51.0,,,31-30,,T. Young enters the game for E. Clark
8:33.0,C. McCollum makes 2-pt shot from 2 ft (assist by M. Leonard),2,33-30,,
8:17.0,,,33-32,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by D. Morris)
7:59.0,Turnover by C. McCollum (bad pass; steal by M. Plumlee),,33-32,,
7:53.0,,,33-34,2,T. Young makes 2-pt shot at rim (assist by M. Plumlee)
7:53.0,,,33-34,,Shooting foul by M. Leonard (drawn by T. Young)
7:53.0,,,33-34,,T. Young misses free throw 1 of 1
7:52.0,Defensive rebound by M. Leonard,,33-34,,
7:28.0,A. Crabbe misses 2-pt shot from 13 ft,,33-34,,
7:27.0,,,33-34,,Defensive rebound by T. Young
7:20.0,,,33-36,2,M. Plumlee makes 2-pt shot at rim (assist by B. Bogdanovic)
7:19.0,Portland full timeout,,33-36,,
7:19.0,R. Lopez enters the game for A. Gee,,33-36,,
7:19.0,D. Lillard enters the game for A. Crabbe,,33-36,,
7:00.0,Turnover by C. McCollum (bad pass; steal by M. Plumlee),,33-36,,
6:58.0,,,33-36,,Shooting foul by C. McCollum (drawn by M. Plumlee)
6:58.0,,,33-37,1,M. Plumlee makes free throw 1 of 2
6:58.0,,,33-38,1,M. Plumlee makes free throw 2 of 2
6:41.0,R. Lopez misses 2-pt shot from 16 ft,,33-38,,
6:40.0,,,33-38,,Defensive rebound by M. Plumlee
6:22.0,,,33-38,,M. Plumlee misses 2-pt shot from 2 ft
6:21.0,Defensive rebound by M. Leonard,,33-38,,
6:11.0,C. McCollum misses 2-pt shot from 6 ft,,33-38,,
6:10.0,,,33-38,,Defensive rebound by M. Plumlee
5:59.0,,,33-38,,Turnover by B. Bogdanovic (lost ball; steal by S. Blake)
5:43.0,R. Lopez misses 2-pt shot from 7 ft,,33-38,,
5:42.0,,,33-38,,Defensive rebound by D. Morris
5:32.0,Def 3 sec tech foul by R. Lopez,,33-38,,
5:32.0,,,33-39,1,B. Bogdanovic makes technical free throw
5:32.0,,,33-39,,D. Williams enters the game for D. Morris
5:32.0,A. Afflalo enters the game for C. McCollum,,33-39,,
5:32.0,,,33-39,,J. Johnson enters the game for J. Jack
5:17.0,,,33-39,,J. Johnson misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by M. Leonard,,33-39,,
5:10.0,S. Blake misses 3-pt shot from 24 ft,,33-39,,
5:09.0,,,33-39,,Defensive rebound by J. Johnson
4:58.0,,,33-39,,J. Johnson misses 2-pt shot from 4 ft
4:57.0,,,33-39,,Offensive rebound by B. Bogdanovic
4:56.0,,,33-39,,B. Bogdanovic misses 2-pt shot from 2 ft
4:55.0,,,33-39,,Offensive rebound by M. Plumlee
4:48.0,,,33-42,3,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson)
4:18.0,Turnover by Team (shot clock),,33-42,,
4:02.0,,,33-45,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
3:40.0,A. Afflalo makes 3-pt shot from 25 ft (assist by M. Leonard),3,36-45,,
3:17.0,,,36-45,,B. Bogdanovic misses 3-pt shot from 23 ft
3:16.0,,,36-45,,Offensive rebound by T. Young
3:15.0,,,36-47,2,T. Young makes 2-pt shot from 2 ft
2:51.0,Turnover by R. Lopez (offensive foul),,36-47,,
2:51.0,Offensive foul by R. Lopez,,36-47,,
2:51.0,,,36-47,,Brooklyn full timeout
2:51.0,,,36-47,,B. Lopez enters the game for M. Plumlee
2:51.0,A. Gee enters the game for M. Leonard,,36-47,,
2:51.0,C. McCollum enters the game for S. Blake,,36-47,,
2:35.0,,,36-49,2,D. Williams makes 2-pt shot from 2 ft (assist by B. Lopez)
2:13.0,R. Lopez misses 2-pt shot from 5 ft,,36-49,,
2:12.0,,,36-49,,Defensive rebound by B. Lopez
1:51.0,,,36-49,,B. Lopez misses 2-pt shot from 8 ft
1:50.0,Defensive rebound by R. Lopez,,36-49,,
1:35.0,D. Lillard makes 2-pt shot from 19 ft,2,38-49,,
1:17.0,,,38-49,,J. Johnson misses 2-pt shot from 9 ft
1:15.0,,,38-49,,Offensive rebound by Team
1:11.0,,,38-49,,D. Williams misses 2-pt shot from 3 ft
1:10.0,,,38-49,,Offensive rebound by D. Williams
0:59.0,,,38-49,,B. Lopez misses 2-pt shot from 7 ft
0:57.0,Defensive rebound by A. Afflalo,,38-49,,
0:44.0,A. Gee misses 2-pt shot from 20 ft,,38-49,,
0:43.0,,,38-49,,Defensive rebound by B. Lopez
0:36.0,,,38-52,3,D. Williams makes 3-pt shot from 25 ft
0:30.0,D. Lillard misses 3-pt shot from 27 ft,,38-52,,
0:29.0,,,38-52,,Defensive rebound by B. Lopez
0:14.0,,,38-52,,Shooting foul by R. Lopez (drawn by D. Williams)
0:14.0,,,38-53,1,D. Williams makes free throw 1 of 2
0:14.0,M. Leonard enters the game for A. Gee,,38-53,,
0:14.0,,,38-53,,M. Plumlee enters the game for B. Lopez
0:14.0,,,38-53,,D. Morris enters the game for J. Johnson
0:14.0,,,38-54,1,D. Williams makes free throw 2 of 2
0:14.0,Portland full timeout,,38-54,,
0:14.0,A. Crabbe enters the game for R. Lopez,,38-54,,
0:07.0,,,38-54,,Personal take foul by D. Williams (drawn by D. Lillard)
0:01.0,D. Lillard misses 2-pt shot from 2 ft,,38-54,,
0:00.0,,,38-54,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,A. Afflalo makes 2-pt shot from 17 ft,2,40-54,,
11:14.0,,,40-56,2,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams)
10:57.0,Turnover by A. Afflalo (bad pass; steal by M. Brown),,40-56,,
10:45.0,,,40-58,2,B. Lopez makes 2-pt shot from 19 ft (assist by D. Williams)
10:24.0,Turnover by D. Lillard (lost ball; steal by B. Lopez),,40-58,,
10:07.0,,,40-58,,J. Johnson misses 2-pt shot from 13 ft
10:06.0,Defensive rebound by M. Leonard,,40-58,,
9:43.0,R. Lopez misses 2-pt shot from 17 ft,,40-58,,
9:42.0,,,40-58,,Defensive rebound by M. Brown
9:29.0,,,40-60,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
9:05.0,M. Leonard misses 3-pt shot from 24 ft,,40-60,,
9:04.0,,,40-60,,Defensive rebound by J. Johnson
8:54.0,,,40-62,2,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams)
8:54.0,Portland full timeout,,40-62,,
8:41.0,D. Lillard makes 3-pt shot from 25 ft,3,43-62,,
8:15.0,,,43-64,2,T. Young makes 2-pt shot from 2 ft
7:55.0,D. Lillard makes 3-pt shot from 24 ft (assist by R. Lopez),3,46-64,,
7:32.0,,,46-64,,D. Williams misses 3-pt shot from 25 ft (block by D. Lillard)
7:31.0,Defensive rebound by A. Afflalo,,46-64,,
7:23.0,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Lillard),3,49-64,,
6:54.0,,,49-64,,J. Johnson misses 2-pt shot from 16 ft
6:53.0,,,49-64,,Offensive rebound by B. Lopez
6:41.0,,,49-64,,B. Lopez misses 2-pt shot from 7 ft
6:40.0,,,49-64,,Offensive rebound by T. Young
6:38.0,,,49-66,2,T. Young makes 2-pt shot from 1 ft
6:25.0,,,49-66,,Personal foul by T. Young (drawn by D. Lillard)
6:14.0,R. Lopez makes 2-pt shot from 13 ft (assist by M. Leonard),2,51-66,,
6:00.0,,,51-66,,B. Lopez misses 2-pt shot from 19 ft
5:59.0,Defensive rebound by D. Lillard,,51-66,,
5:52.0,D. Lillard makes 3-pt shot from 28 ft,3,54-66,,
5:50.0,,,54-66,,Brooklyn full timeout
5:50.0,,,54-66,,B. Bogdanovic enters the game for M. Brown
5:42.0,,,54-66,,B. Bogdanovic misses 2-pt shot from 8 ft
5:41.0,,,54-66,,Offensive rebound by B. Lopez
5:40.0,,,54-68,2,B. Lopez makes 2-pt shot from 2 ft
5:40.0,,,54-68,,Shooting foul by M. Leonard (drawn by B. Lopez)
5:40.0,,,54-69,1,B. Lopez makes free throw 1 of 1
5:26.0,D. Lillard makes 3-pt shot from 23 ft,3,57-69,,
5:04.0,,,57-71,2,B. Lopez makes 2-pt shot from 2 ft
4:49.0,Offensive foul by M. Leonard,,57-71,,
4:49.0,Turnover by M. Leonard (offensive foul),,57-71,,
4:49.0,J. Freeland enters the game for M. Leonard,,57-71,,
4:31.0,,,57-71,,B. Lopez misses 2-pt shot from 11 ft
4:30.0,Defensive rebound by R. Lopez,,57-71,,
4:21.0,A. Afflalo misses 3-pt shot from 25 ft,,57-71,,
4:20.0,,,57-71,,Defensive rebound by B. Bogdanovic
4:13.0,,,57-73,2,B. Lopez makes 2-pt shot from 2 ft (assist by D. Williams)
4:13.0,,,57-73,,Shooting foul by C. McCollum (drawn by B. Lopez)
4:13.0,,,57-73,,B. Lopez misses free throw 1 of 1
4:12.0,Defensive rebound by J. Freeland,,57-73,,
4:02.0,D. Lillard misses 2-pt shot from 19 ft,,57-73,,
4:01.0,,,57-73,,Defensive rebound by Team
4:01.0,Loose ball foul by J. Freeland (drawn by J. Johnson),,57-73,,
3:45.0,,,57-73,,D. Williams misses 2-pt shot from 19 ft
3:44.0,Defensive rebound by C. McCollum,,57-73,,
3:35.0,C. McCollum misses 2-pt shot from 3 ft (block by T. Young),,57-73,,
3:34.0,Offensive rebound by J. Freeland,,57-73,,
3:26.0,D. Lillard misses 3-pt shot from 25 ft,,57-73,,
3:25.0,,,57-73,,Defensive rebound by D. Williams
3:14.0,,,57-75,2,D. Williams makes 2-pt shot from 2 ft
2:52.0,J. Freeland misses 2-pt shot from 15 ft,,57-75,,
2:51.0,,,57-75,,Defensive rebound by D. Williams
2:43.0,,,57-75,,B. Lopez misses 2-pt shot from 13 ft
2:42.0,Defensive rebound by A. Afflalo,,57-75,,
2:30.0,Shooting foul by B. Lopez (drawn by D. Lillard),,57-75,,
2:30.0,D. Lillard makes free throw 1 of 2,1,58-75,,
2:30.0,,,58-75,,M. Plumlee enters the game for B. Lopez
2:30.0,A. Crabbe enters the game for C. McCollum,,58-75,,
