time,Portland,pts.away,score,pts.home,Brooklyn
0:45.0,Personal take foul by A. Afflalo (drawn by J. Johnson),,92-100,,
0:45.0,,,92-101,1,J. Johnson makes free throw 1 of 2
0:45.0,,,92-101,,M. Brown enters the game for B. Bogdanovic
0:45.0,,,92-102,1,J. Johnson makes free throw 2 of 2
0:45.0,Portland full timeout,,92-102,,
0:45.0,J. Freeland enters the game for R. Lopez,,92-102,,
0:45.0,S. Blake enters the game for J. Freeland,,92-102,,
0:44.0,D. Lillard makes 2-pt shot at rim (assist by S. Blake),2,94-102,,
0:44.0,Personal take foul by A. Afflalo (drawn by J. Johnson),,94-102,,
0:44.0,,,94-103,1,J. Johnson makes free throw 1 of 2
0:44.0,,,94-104,1,J. Johnson makes free throw 2 of 2
0:40.0,Turnover by S. Blake (bad pass),,94-104,,
0:39.0,Personal take foul by A. Afflalo (drawn by D. Williams),,94-104,,
0:39.0,,,94-105,1,D. Williams makes free throw 1 of 2
0:39.0,T. Frazier enters the game for D. Lillard,,94-105,,
0:39.0,,,94-106,1,D. Williams makes free throw 2 of 2
0:39.0,Portland full timeout,,94-106,,
0:39.0,A. Gee enters the game for M. Leonard,,94-106,,
0:39.0,A. Crabbe enters the game for A. Afflalo,,94-106,,
0:39.0,J. Freeland enters the game for S. Blake,,94-106,,
0:34.0,T. Frazier makes 2-pt shot from 2 ft,2,96-106,,
0:10.0,,,96-106,,Turnover by Team (shot clock)
0:02.0,A. Crabbe misses 3-pt shot from 26 ft,,96-106,,
0:01.0,,,96-106,,Defensive rebound by M. Brown
0:00.0,End of 4th quarter,,,,End of 4th quarter
