time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia,,,,Jump ball: P. Gasol vs. Z. Pachulia
12:00.0,Violation by Team (jump ball),,0-0,,
11:46.0,,,0-2,2,P. Gasol makes 2-pt shot from 1 ft
11:31.0,Z. Pachulia misses 2-pt shot from 16 ft,,0-2,,
11:30.0,,,0-2,,Defensive rebound by J. Butler
11:12.0,,,0-4,2,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler)
10:49.0,G. Antetokounmpo misses 2-pt shot from 10 ft,,0-4,,
10:47.0,,,0-4,,Defensive rebound by J. Noah
10:32.0,,,0-6,2,P. Gasol makes 2-pt shot from 12 ft
10:32.0,,,0-6,,Shooting foul by Z. Pachulia (drawn by P. Gasol)
10:32.0,,,0-7,1,P. Gasol makes free throw 1 of 1
10:20.0,B. Knight makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,2-7,,
10:01.0,,,2-7,,P. Gasol misses 2-pt shot from 21 ft
10:00.0,,,2-7,,Offensive rebound by K. Hinrich
9:55.0,,,2-7,,T. Snell misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by K. Middleton,,2-7,,
9:39.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Butler),,2-7,,
9:34.0,Personal foul by K. Middleton (drawn by J. Butler),,2-7,,
9:19.0,,,2-7,,T. Snell misses 2-pt shot from 13 ft (block by J. O'Bryant)
9:18.0,Defensive rebound by Z. Pachulia,,2-7,,
9:06.0,Z. Pachulia misses 2-pt shot from 18 ft,,2-7,,
9:06.0,,,2-7,,Defensive rebound by J. Noah
8:46.0,,,2-10,3,K. Hinrich makes 3-pt shot from 24 ft (assist by P. Gasol)
8:25.0,J. O'Bryant misses 2-pt shot from 1 ft,,2-10,,
8:24.0,Offensive rebound by Z. Pachulia,,2-10,,
8:24.0,,,2-10,,Personal foul by K. Hinrich (drawn by Z. Pachulia)
8:22.0,Shooting foul by P. Gasol (drawn by Z. Pachulia),,2-10,,
8:22.0,Z. Pachulia makes free throw 1 of 2,1,3-10,,
8:22.0,Z. Pachulia misses free throw 2 of 2,,3-10,,
8:20.0,,,3-10,,Defensive rebound by P. Gasol
8:00.0,,,3-10,,P. Gasol misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by B. Knight,,3-10,,
7:50.0,Z. Pachulia makes 2-pt shot from 19 ft (assist by B. Knight),2,5-10,,
7:29.0,,,5-10,,K. Hinrich misses 2-pt shot from 15 ft (block by J. O'Bryant)
7:29.0,,,5-10,,Offensive rebound by Team
7:26.0,,,5-10,,Turnover by J. Butler (bad pass; steal by J. O'Bryant)
