time,Sacramento,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Thompson (J. Holiday gains possession),,,,Jump ball: A. Davis vs. J. Thompson (J. Holiday gains possession)
11:40.0,,,0-0,,A. Davis misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by R. Sessions,,0-0,,
11:25.0,Turnover by D. Cousins (lost ball; steal by O. Asik),,0-0,,
11:20.0,,,0-0,,Turnover by J. Holiday (bad pass; steal by R. Sessions)
11:09.0,R. Sessions misses 2-pt shot from 3 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by J. Holiday
10:49.0,,,0-0,,O. Asik misses 2-pt shot from 5 ft
10:47.0,,,0-0,,Offensive rebound by Team
10:32.0,,,0-2,2,J. Holiday makes 2-pt shot from 7 ft
10:12.0,R. Sessions misses 2-pt shot from 5 ft,,0-2,,
10:09.0,Offensive rebound by R. Sessions,,0-2,,
10:03.0,O. Casspi misses 2-pt shot from 7 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by O. Asik
9:48.0,,,0-2,,A. Davis misses 2-pt shot from 5 ft
9:47.0,Defensive rebound by J. Thompson,,0-2,,
9:37.0,J. Thompson misses 2-pt shot from 8 ft (block by A. Davis),,0-2,,
9:35.0,,,0-2,,Defensive rebound by A. Davis
9:22.0,,,0-2,,D. Miller misses 2-pt shot from 20 ft
9:20.0,Defensive rebound by J. Thompson,,0-2,,
9:12.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Sessions),2,2-2,,
8:54.0,,,2-2,,J. Holiday misses 2-pt shot from 15 ft
8:53.0,Defensive rebound by D. Cousins,,2-2,,
8:48.0,,,2-2,,Shooting block foul by J. Holiday (drawn by R. Sessions)
8:48.0,R. Sessions makes free throw 1 of 2,1,3-2,,
8:48.0,R. Sessions makes free throw 2 of 2,1,4-2,,
8:34.0,,,4-2,,Turnover by T. Evans (bad pass; steal by R. Sessions)
8:28.0,O. Casspi makes 2-pt shot from 2 ft (assist by R. Sessions),2,6-2,,
8:09.0,,,6-2,,O. Asik misses 2-pt shot from 3 ft (block by D. Cousins)
8:06.0,Defensive rebound by B. McLemore,,6-2,,
7:58.0,D. Cousins misses 2-pt shot from 20 ft,,6-2,,
7:57.0,,,6-2,,Defensive rebound by J. Holiday
7:48.0,,,6-2,,D. Miller misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by J. Thompson,,6-2,,
7:35.0,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins),2,8-2,,
7:20.0,,,8-2,,T. Evans misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by O. Casspi,,8-2,,
7:12.0,Shooting foul by D. Miller (drawn by R. Sessions),,8-2,,
7:12.0,R. Sessions makes free throw 1 of 2,1,9-2,,
7:12.0,R. Sessions makes free throw 2 of 2,1,10-2,,
6:55.0,,,10-2,,Turnover by J. Holiday (bad pass; steal by B. McLemore)
6:50.0,B. McLemore makes 2-pt shot from 1 ft,2,12-2,,
6:42.0,,,12-2,,New Orleans full timeout
6:33.0,,,12-4,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
6:16.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Sessions),3,15-4,,
5:52.0,,,15-4,,D. Miller misses 2-pt shot from 4 ft
5:51.0,Defensive rebound by J. Thompson,,15-4,,
5:43.0,O. Casspi misses 2-pt shot from 5 ft,,15-4,,
5:42.0,Offensive rebound by J. Thompson,,15-4,,
