time,Phoenix,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. A. Len (G. Dragic gains possession),,,,Jump ball: C. Aldrich vs. A. Len (G. Dragic gains possession)
11:41.0,E. Bledsoe makes 3-pt shot from 23 ft (assist by G. Dragic),3,3-0,,
11:18.0,,,3-0,,T. Hardaway misses 2-pt shot from 17 ft
11:17.0,Defensive rebound by A. Len,,3-0,,
11:08.0,A. Len misses 2-pt shot from 14 ft,,3-0,,
11:07.0,,,3-0,,Defensive rebound by J. Calderon
10:53.0,,,3-0,,J. Calderon misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by M. Morris,,3-0,,
10:47.0,M. Morris misses 2-pt shot from 1 ft,,3-0,,
10:46.0,,,3-0,,Defensive rebound by Team
10:23.0,,,3-0,,C. Anthony misses 2-pt shot from 18 ft
10:22.0,,,3-0,,Offensive rebound by Q. Acy
10:16.0,,,3-2,2,C. Anthony makes 2-pt shot from 14 ft (assist by Q. Acy)
9:55.0,M. Morris misses 2-pt shot from 11 ft,,3-2,,
9:54.0,,,3-2,,Defensive rebound by C. Aldrich
9:38.0,,,3-2,,Turnover by Q. Acy (bad pass; steal by M. Morris)
9:31.0,G. Dragic misses 2-pt shot from 2 ft (block by C. Anthony),,3-2,,
9:30.0,,,3-2,,Defensive rebound by T. Hardaway
9:18.0,,,3-2,,C. Anthony misses 3-pt shot from 25 ft
9:17.0,,,3-2,,Offensive rebound by C. Anthony
9:12.0,,,3-2,,Turnover by C. Anthony (bad pass; steal by G. Dragic)
9:00.0,G. Dragic makes 2-pt shot from 9 ft,2,5-2,,
8:48.0,,,5-2,,T. Hardaway misses 2-pt shot from 2 ft (block by A. Len)
8:47.0,Defensive rebound by A. Len,,5-2,,
8:41.0,G. Dragic misses 2-pt shot from 2 ft,,5-2,,
8:40.0,,,5-2,,Defensive rebound by C. Anthony
8:34.0,,,5-2,,T. Hardaway misses 3-pt shot from 22 ft
8:33.0,Defensive rebound by E. Bledsoe,,5-2,,
8:25.0,A. Len misses 2-pt shot from 3 ft (block by C. Aldrich),,5-2,,
8:24.0,,,5-2,,Defensive rebound by T. Hardaway
8:11.0,Violation by M. Morris (kicked ball),,5-2,,
7:58.0,,,5-2,,C. Anthony misses 2-pt shot from 10 ft
7:57.0,Defensive rebound by A. Len,,5-2,,
7:51.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-2,,
7:51.0,Shooting foul by J. Calderon (drawn by G. Dragic),,7-2,,
7:51.0,,,7-2,,New York full timeout
7:51.0,G. Dragic makes free throw 1 of 1,1,8-2,,
7:25.0,,,8-4,2,C. Anthony makes 2-pt shot from 19 ft
7:09.0,E. Bledsoe makes 2-pt shot from 1 ft,2,10-4,,
6:56.0,,,10-4,,T. Hardaway misses 2-pt shot from 21 ft
6:55.0,Defensive rebound by E. Bledsoe,,10-4,,
6:52.0,Turnover by E. Bledsoe (lost ball; steal by C. Anthony),,10-4,,
6:48.0,,,10-4,,Turnover by C. Anthony (lost ball; steal by P. Tucker)
6:32.0,P. Tucker makes 3-pt shot from 25 ft,3,13-4,,
6:14.0,,,13-4,,Turnover by Q. Acy (bad pass; steal by E. Bledsoe)
6:10.0,E. Bledsoe makes 2-pt shot at rim,2,15-4,,
5:56.0,,,15-7,3,J. Calderon makes 3-pt shot from 23 ft (assist by C. Aldrich)
5:50.0,Shooting foul by Q. Acy (drawn by G. Dragic),,15-7,,
5:50.0,G. Dragic misses free throw 1 of 2,,15-7,,
5:50.0,Offensive rebound by Team,,15-7,,
5:50.0,,,15-7,,P. Prigioni enters the game for T. Hardaway
5:50.0,,,15-7,,J. Smith enters the game for C. Aldrich
5:50.0,,,15-7,,S. Dalembert enters the game for Q. Acy
5:50.0,G. Dragic makes free throw 2 of 2,1,16-7,,
5:31.0,,,16-7,,Turnover by J. Calderon (lost ball; steal by E. Bledsoe)
5:28.0,E. Bledsoe misses 2-pt shot from 1 ft,,16-7,,
5:26.0,Offensive rebound by M. Morris,,16-7,,
5:26.0,M. Morris misses 2-pt shot from 2 ft,,16-7,,
5:25.0,Offensive rebound by M. Morris,,16-7,,
5:23.0,M. Morris misses 2-pt shot from 4 ft,,16-7,,
5:22.0,,,16-7,,Defensive rebound by C. Anthony
5:06.0,,,16-7,,C. Anthony misses 2-pt shot from 22 ft
5:05.0,Defensive rebound by Team,,16-7,,
4:52.0,Turnover by E. Bledsoe (bad pass; steal by P. Prigioni),,16-7,,
4:46.0,,,16-7,,S. Dalembert misses 2-pt shot from 2 ft
4:45.0,,,16-7,,Offensive rebound by Team
4:45.0,M. Plumlee enters the game for A. Len,,16-7,,
4:45.0,I. Thomas enters the game for E. Bledsoe,,16-7,,
4:42.0,,,16-10,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
4:21.0,M. Morris makes 2-pt shot from 22 ft,2,18-10,,
4:06.0,Personal foul by M. Morris (drawn by J. Smith),,18-10,,
3:56.0,,,18-10,,J. Smith misses 2-pt shot from 19 ft
3:55.0,,,18-10,,Offensive rebound by Team
3:51.0,,,18-12,2,J. Calderon makes 2-pt shot from 14 ft (assist by P. Prigioni)
3:35.0,M. Morris misses 2-pt shot from 2 ft,,18-12,,
3:34.0,,,18-12,,Defensive rebound by S. Dalembert
3:23.0,,,18-12,,J. Smith misses 2-pt shot from 20 ft
3:22.0,,,18-12,,Offensive rebound by S. Dalembert
3:17.0,,,18-14,2,J. Smith makes 2-pt shot from 1 ft (assist by C. Anthony)
3:17.0,,,18-14,,Shooting foul by G. Dragic (drawn by J. Smith)
3:17.0,,,18-14,,S. Larkin enters the game for J. Calderon
3:17.0,,,18-15,1,J. Smith makes free throw 1 of 1
3:12.0,Phoenix full timeout,,18-15,,
3:03.0,Turnover by M. Plumlee (lost ball; steal by P. Prigioni),,18-15,,
2:47.0,,,18-17,2,J. Smith makes 2-pt shot from 19 ft (assist by P. Prigioni)
2:31.0,M. Morris makes 3-pt shot from 23 ft (assist by I. Thomas),3,21-17,,
2:16.0,,,21-19,2,J. Smith makes 2-pt shot from 7 ft
1:56.0,M. Morris misses 3-pt shot from 26 ft,,21-19,,
1:55.0,,,21-19,,Defensive rebound by S. Dalembert
1:36.0,,,21-19,,J. Smith misses 2-pt shot from 10 ft
1:35.0,Defensive rebound by M. Plumlee,,21-19,,
1:34.0,,,21-19,,Personal foul by P. Prigioni (drawn by G. Dragic)
1:34.0,M. Morris enters the game for P. Tucker,,21-19,,
1:24.0,I. Thomas misses 2-pt shot from 1 ft,,21-19,,
1:23.0,,,21-19,,Defensive rebound by S. Dalembert
1:17.0,,,21-19,,J. Smith misses 2-pt shot from 18 ft
1:16.0,Defensive rebound by Team,,21-19,,
1:16.0,,,21-19,,T. Wear enters the game for C. Anthony
1:00.0,G. Dragic misses 2-pt shot from 11 ft,,21-19,,
0:59.0,,,21-19,,Defensive rebound by P. Prigioni
0:42.0,,,21-19,,Shooting foul by M. Plumlee (drawn by J. Smith)
0:42.0,,,21-19,,J. Smith misses free throw 1 of 2
0:42.0,,,21-19,,Offensive rebound by Team
0:42.0,E. Bledsoe enters the game for M. Morris,,21-19,,
0:42.0,,,21-19,,Q. Acy enters the game for S. Dalembert
0:42.0,,,21-19,,J. Smith misses free throw 2 of 2
0:41.0,Defensive rebound by E. Bledsoe,,21-19,,
0:31.0,Shooting foul by T. Wear (drawn by E. Bledsoe),,21-19,,
0:31.0,E. Bledsoe misses free throw 1 of 2,,21-19,,
0:31.0,Offensive rebound by Team,,21-19,,
0:31.0,,,21-19,,C. Anthony enters the game for J. Smith
0:31.0,,,21-19,,S. Dalembert enters the game for Q. Acy
0:31.0,E. Bledsoe makes free throw 2 of 2,1,22-19,,
0:09.0,,,22-21,2,T. Wear makes 2-pt shot from 18 ft
0:03.0,I. Thomas makes 2-pt shot from 4 ft,2,24-21,,
