time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (K. Leonard gains possession)
11:43.0,,,0-0,,T. Parker misses 2-pt shot from 16 ft
11:42.0,Defensive rebound by B. Griffin,,0-0,,
11:23.0,M. Barnes misses 3-pt shot from 26 ft,,0-0,,
11:21.0,Offensive rebound by B. Griffin,,0-0,,
11:10.0,B. Griffin misses 2-pt shot from 6 ft,,0-0,,
11:09.0,,,0-0,,Defensive rebound by T. Parker
11:04.0,,,0-0,,T. Parker misses 2-pt shot from 1 ft (block by D. Jordan)
11:02.0,,,0-0,,Offensive rebound by T. Splitter
10:59.0,,,0-3,3,D. Green makes 3-pt shot from 24 ft (assist by T. Splitter)
10:47.0,Shooting foul by K. Leonard (drawn by J. Redick),,0-3,,
10:47.0,J. Redick makes free throw 1 of 2,1,1-3,,
10:47.0,J. Redick makes free throw 2 of 2,1,2-3,,
10:26.0,,,2-5,2,T. Parker makes 2-pt shot from 1 ft
10:06.0,Turnover by B. Griffin (lost ball; steal by K. Leonard),,2-5,,
9:59.0,,,2-7,2,K. Leonard makes 2-pt shot from 1 ft
9:51.0,J. Redick misses 3-pt shot from 23 ft,,2-7,,
9:50.0,,,2-7,,Defensive rebound by T. Duncan
9:40.0,,,2-7,,T. Parker misses 2-pt shot from 12 ft
9:39.0,Defensive rebound by D. Jordan,,2-7,,
9:28.0,C. Paul misses 2-pt shot from 18 ft,,2-7,,
9:27.0,,,2-7,,Defensive rebound by T. Splitter
9:13.0,,,2-9,2,K. Leonard makes 2-pt shot from 14 ft
8:58.0,Turnover by B. Griffin (bad pass),,2-9,,
8:45.0,,,2-11,2,D. Green makes 2-pt shot from 1 ft (assist by T. Splitter)
8:19.0,B. Griffin misses 2-pt shot from 19 ft,,2-11,,
8:18.0,,,2-11,,Defensive rebound by Team
7:54.0,,,2-11,,D. Green misses 3-pt shot from 23 ft
7:53.0,Defensive rebound by D. Jordan,,2-11,,
7:44.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,4-11,,
7:24.0,,,4-11,,T. Duncan misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by Team,,4-11,,
7:07.0,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin),2,6-11,,
6:44.0,,,6-11,,Turnover by T. Parker (bad pass)
6:38.0,Turnover by C. Paul (bad pass; steal by D. Green),,6-11,,
6:32.0,Violation by M. Barnes (kicked ball),,6-11,,
6:24.0,Personal foul by M. Barnes (drawn by K. Leonard),,6-11,,
6:10.0,,,6-13,2,T. Duncan makes 2-pt shot from 9 ft
5:58.0,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul),2,8-13,,
5:57.0,,,8-13,,San Antonio full timeout
5:57.0,,,8-13,,B. Diaw enters the game for T. Splitter
5:32.0,,,8-13,,D. Green misses 3-pt shot from 24 ft
5:31.0,,,8-13,,Offensive rebound by B. Diaw
5:30.0,,,8-15,2,B. Diaw makes 2-pt shot from 1 ft
4:57.0,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin),3,11-15,,
4:35.0,,,11-18,3,K. Leonard makes 3-pt shot from 26 ft (assist by B. Diaw)
4:15.0,C. Paul makes 2-pt shot from 12 ft,2,13-18,,
3:53.0,,,13-20,2,B. Diaw makes 2-pt shot from 16 ft (assist by D. Green)
3:28.0,M. Barnes misses 3-pt shot from 25 ft,,13-20,,
3:27.0,,,13-20,,Defensive rebound by T. Duncan
3:11.0,,,13-22,2,T. Parker makes 2-pt shot from 8 ft (assist by B. Diaw)
3:05.0,C. Paul misses 3-pt shot from 25 ft,,13-22,,
3:03.0,,,13-22,,Defensive rebound by T. Duncan
