time,Houston,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. D. Howard (J. Calderon gains possession),,,,Jump ball: C. Aldrich vs. D. Howard (J. Calderon gains possession)
11:42.0,,,0-0,,T. Hardaway misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by D. Howard,,0-0,,
11:27.0,Turnover by D. Motiejunas (bad pass; steal by C. Aldrich),,0-0,,
11:13.0,,,0-0,,J. Smith misses 2-pt shot from 3 ft
11:11.0,,,0-0,,Offensive rebound by C. Aldrich
11:11.0,,,0-2,2,C. Aldrich makes 2-pt shot at rim
10:49.0,D. Motiejunas misses 3-pt shot from 24 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by Team
10:30.0,,,0-2,,J. Smith misses 2-pt shot from 17 ft
10:28.0,Defensive rebound by D. Howard,,0-2,,
10:21.0,Shooting foul by T. Hardaway (drawn by J. Harden),,0-2,,
10:21.0,J. Harden makes free throw 1 of 2,1,1-2,,
10:21.0,J. Harden makes free throw 2 of 2,1,2-2,,
10:03.0,,,2-5,3,P. Prigioni makes 3-pt shot from 23 ft (assist by J. Smith)
9:46.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,5-5,,
9:25.0,,,5-7,2,C. Aldrich makes 2-pt shot from 4 ft (assist by P. Prigioni)
9:05.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,7-7,,
8:43.0,,,7-7,,T. Hardaway misses 3-pt shot from 23 ft
8:41.0,,,7-7,,Offensive rebound by C. Aldrich
8:40.0,,,7-7,,C. Aldrich misses 2-pt shot from 3 ft
8:39.0,Defensive rebound by J. Harden,,7-7,,
8:29.0,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas),3,10-7,,
8:11.0,,,10-7,,T. Hardaway misses 2-pt shot from 3 ft (block by D. Howard)
8:10.0,Defensive rebound by Team,,10-7,,
7:51.0,Turnover by D. Motiejunas (bad pass; steal by P. Prigioni),,10-7,,
7:41.0,,,10-7,,J. Calderon misses 3-pt shot from 25 ft
7:38.0,,,10-7,,Offensive rebound by J. Smith
7:22.0,,,10-9,2,T. Hardaway makes 2-pt shot from 18 ft (assist by P. Prigioni)
7:04.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,13-9,,
6:40.0,,,13-9,,J. Calderon misses 2-pt shot from 18 ft
6:38.0,Defensive rebound by P. Beverley,,13-9,,
6:35.0,Shooting foul by J. Smith (drawn by T. Ariza),,13-9,,
6:35.0,T. Ariza makes free throw 1 of 2,1,14-9,,
6:35.0,,,14-9,,Q. Acy enters the game for J. Smith
6:35.0,T. Ariza makes free throw 2 of 2,1,15-9,,
6:24.0,,,15-9,,Turnover by J. Calderon (bad pass; steal by J. Harden)
6:22.0,,,15-9,,Personal foul by P. Prigioni (drawn by J. Harden)
6:15.0,P. Beverley makes 2-pt shot from 6 ft,2,17-9,,
6:09.0,,,17-9,,New York full timeout
6:00.0,,,17-12,3,P. Prigioni makes 3-pt shot from 24 ft (assist by Q. Acy)
5:35.0,J. Harden misses 3-pt shot from 27 ft,,17-12,,
5:33.0,,,17-12,,Defensive rebound by Q. Acy
5:25.0,,,17-12,,P. Prigioni misses 2-pt shot from 2 ft
5:23.0,Defensive rebound by D. Howard,,17-12,,
5:20.0,Shooting foul by Q. Acy (drawn by J. Harden),,17-12,,
5:20.0,,,17-12,,Technical foul by P. Prigioni
5:20.0,J. Harden makes technical free throw,1,18-12,,
5:20.0,J. Smith enters the game for D. Howard,,18-12,,
5:20.0,,,18-12,,S. Larkin enters the game for P. Prigioni
5:20.0,J. Harden makes free throw 1 of 2,1,19-12,,
5:20.0,J. Harden makes free throw 2 of 2,1,20-12,,
4:58.0,,,20-12,,J. Calderon misses 3-pt shot from 24 ft
4:56.0,Defensive rebound by T. Ariza,,20-12,,
4:53.0,Turnover by T. Ariza (bad pass),,20-12,,
4:37.0,,,20-12,,Q. Acy misses 2-pt shot from 19 ft
4:36.0,Defensive rebound by D. Motiejunas,,20-12,,
4:31.0,J. Smith misses 2-pt shot from 2 ft,,20-12,,
4:29.0,,,20-12,,Defensive rebound by T. Hardaway
4:14.0,Personal foul by D. Motiejunas (drawn by C. Aldrich),,20-12,,
4:14.0,C. Brewer enters the game for T. Ariza,,20-12,,
4:14.0,J. Terry enters the game for P. Beverley,,20-12,,
4:14.0,,,20-12,,T. Wear enters the game for C. Aldrich
