time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (J. Noah gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (J. Noah gains possession)
11:40.0,,,0-2,2,P. Gasol makes 2-pt shot from 17 ft (assist by J. Butler)
11:25.0,,,0-2,,Violation by J. Butler (kicked ball)
11:13.0,I. Shumpert misses 2-pt shot from 20 ft,,0-2,,
11:13.0,,,0-2,,Defensive rebound by Team
11:13.0,Loose ball foul by T. Mozgov (drawn by P. Gasol),,0-2,,
11:06.0,,,0-4,2,D. Rose makes 2-pt shot from 19 ft
10:39.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,2-4,,
10:25.0,,,2-4,,D. Rose misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by L. James,,2-4,,
10:15.0,L. James makes 2-pt shot from 12 ft,2,4-4,,
9:52.0,,,4-4,,P. Gasol misses 2-pt shot from 13 ft
9:51.0,,,4-4,,Offensive rebound by J. Noah
9:51.0,,,4-4,,Shooting foul by T. Thompson (drawn by P. Gasol)
9:51.0,,,4-5,1,P. Gasol makes free throw 1 of 2
9:51.0,,,4-6,1,P. Gasol makes free throw 2 of 2
9:31.0,Shooting foul by J. Noah (drawn by T. Thompson),,4-6,,
9:31.0,T. Thompson makes free throw 1 of 2,1,5-6,,
9:31.0,T. Thompson makes free throw 2 of 2,1,6-6,,
9:18.0,,,6-8,2,M. Dunleavy makes 2-pt shot from 22 ft (assist by D. Rose)
9:01.0,Offensive charge foul by L. James,,6-8,,
9:01.0,Turnover by L. James (offensive foul),,6-8,,
8:42.0,,,6-8,,M. Dunleavy misses 3-pt shot from 26 ft
8:41.0,,,6-8,,Offensive rebound by J. Butler
8:41.0,,,6-10,2,J. Butler makes 2-pt shot at rim
8:19.0,L. James misses 2-pt shot from 19 ft,,6-10,,
8:18.0,,,6-10,,Defensive rebound by J. Noah
8:11.0,,,6-10,,J. Butler misses 3-pt shot from 25 ft
8:10.0,Defensive rebound by I. Shumpert,,6-10,,
8:03.0,L. James misses 3-pt shot from 26 ft,,6-10,,
8:02.0,,,6-10,,Defensive rebound by J. Butler
7:54.0,,,6-12,2,P. Gasol makes 2-pt shot at rim (assist by D. Rose)
7:53.0,Cleveland full timeout,,6-12,,
7:39.0,K. Irving makes 2-pt shot from 17 ft (assist by T. Mozgov),2,8-12,,
7:28.0,,,8-12,,Turnover by D. Rose (bad pass; steal by I. Shumpert)
7:23.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,11-12,,
7:08.0,,,11-12,,P. Gasol misses 2-pt shot from 6 ft
7:07.0,Defensive rebound by T. Thompson,,11-12,,
6:52.0,L. James misses 2-pt shot from 17 ft,,11-12,,
6:52.0,,,11-12,,Defensive rebound by Team
6:42.0,,,11-12,,D. Rose misses 2-pt shot from 1 ft
6:41.0,Defensive rebound by T. Mozgov,,11-12,,
6:22.0,T. Mozgov makes 2-pt shot from 2 ft (assist by L. James),2,13-12,,
6:05.0,,,13-14,2,P. Gasol makes 2-pt shot from 4 ft (assist by M. Dunleavy)
5:42.0,T. Mozgov makes 2-pt shot from 11 ft (assist by I. Shumpert),2,15-14,,
5:27.0,,,15-14,,Turnover by P. Gasol (bad pass)
5:10.0,T. Thompson misses 2-pt shot from 2 ft,,15-14,,
5:09.0,,,15-14,,Defensive rebound by P. Gasol
5:05.0,,,15-16,2,J. Butler makes 2-pt shot at rim (assist by M. Dunleavy)
4:42.0,Shooting foul by P. Gasol (drawn by T. Mozgov),,15-16,,
4:42.0,T. Mozgov makes free throw 1 of 2,1,16-16,,
4:42.0,,,16-16,,T. Gibson enters the game for P. Gasol
4:42.0,J. Smith enters the game for I. Shumpert,,16-16,,
4:42.0,T. Mozgov makes free throw 2 of 2,1,17-16,,
4:30.0,,,17-18,2,D. Rose makes 2-pt shot from 7 ft
4:18.0,Shooting foul by T. Gibson (drawn by T. Mozgov),,17-18,,
4:18.0,T. Mozgov misses free throw 1 of 2,,17-18,,
4:18.0,Offensive rebound by Team,,17-18,,
4:18.0,T. Mozgov makes free throw 2 of 2,1,18-18,,
4:06.0,,,18-20,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
3:45.0,T. Mozgov misses 2-pt shot from 17 ft,,18-20,,
3:43.0,,,18-20,,Defensive rebound by T. Gibson
3:39.0,,,18-20,,Shooting foul by T. Mozgov (drawn by J. Noah)
3:39.0,,,18-21,1,J. Noah makes free throw 1 of 2
3:39.0,J. Jones enters the game for T. Mozgov,,18-21,,
3:39.0,,,18-22,1,J. Noah makes free throw 2 of 2
3:23.0,L. James misses 2-pt shot from 5 ft,,18-22,,
3:20.0,Offensive rebound by T. Thompson,,18-22,,
3:16.0,L. James misses 3-pt shot from 25 ft,,18-22,,
3:13.0,,,18-22,,Defensive rebound by J. Noah
3:07.0,,,18-25,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by D. Rose)
2:55.0,Shooting foul by T. Gibson (drawn by K. Irving),,18-25,,
2:55.0,,,18-25,,Chicago full timeout
2:55.0,K. Irving makes free throw 1 of 2,1,19-25,,
2:55.0,K. Irving misses free throw 2 of 2,,19-25,,
2:53.0,,,19-25,,Defensive rebound by J. Noah
2:34.0,,,19-25,,J. Butler misses 2-pt shot from 22 ft
2:33.0,Defensive rebound by K. Irving,,19-25,,
2:24.0,J. Jones makes 3-pt shot from 25 ft (assist by L. James),3,22-25,,
2:10.0,,,22-27,2,D. Rose makes 2-pt shot from 2 ft
1:44.0,T. Thompson misses 2-pt shot from 1 ft,,22-27,,
