time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: T. Mozgov vs. J. Valanciunas (A. Johnson gains possession)
11:46.0,,,0-0,,J. Valanciunas misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by K. Love,,0-0,,
11:27.0,K. Love misses 3-pt shot from 24 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by J. Valanciunas
11:15.0,,,0-2,2,D. DeRozan makes 2-pt shot from 17 ft (assist by G. Vasquez)
11:01.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,3-2,,
10:59.0,,,3-2,,Turnover by G. Vasquez (inbound)
10:48.0,K. Love makes 2-pt shot from 20 ft (assist by L. James),2,5-2,,
10:28.0,,,5-4,2,J. Valanciunas makes 2-pt shot from 6 ft
10:13.0,J. Smith misses 3-pt shot from 25 ft,,5-4,,
10:11.0,,,5-4,,Defensive rebound by J. Valanciunas
9:54.0,,,5-4,,J. Valanciunas misses 2-pt shot from 12 ft
9:53.0,Defensive rebound by L. James,,5-4,,
9:41.0,T. Mozgov makes 2-pt shot from 2 ft (assist by L. James),2,7-4,,
9:19.0,,,7-4,,A. Johnson misses 2-pt shot from 7 ft
9:18.0,Defensive rebound by T. Mozgov,,7-4,,
9:07.0,L. James misses 2-pt shot from 9 ft (block by J. Johnson),,7-4,,
9:05.0,,,7-4,,Defensive rebound by J. Valanciunas
8:59.0,,,7-4,,J. Johnson misses 2-pt shot from 2 ft (block by J. Smith)
8:57.0,Defensive rebound by T. Mozgov,,7-4,,
8:44.0,T. Mozgov misses 2-pt shot from 2 ft (block by J. Valanciunas),,7-4,,
8:44.0,Offensive rebound by Team,,7-4,,
8:38.0,J. Smith misses 3-pt shot from 27 ft,,7-4,,
8:37.0,,,7-4,,Defensive rebound by A. Johnson
8:26.0,,,7-6,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by A. Johnson)
8:08.0,K. Irving misses 2-pt shot from 15 ft,,7-6,,
8:07.0,,,7-6,,Defensive rebound by G. Vasquez
7:59.0,,,7-8,2,G. Vasquez makes 2-pt shot from 18 ft
7:45.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,9-8,,
7:21.0,,,9-10,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by G. Vasquez)
7:14.0,J. Smith makes 2-pt shot at rim (assist by K. Irving),2,11-10,,
6:49.0,,,11-10,,G. Vasquez misses 2-pt shot from 6 ft (block by T. Mozgov)
6:47.0,Defensive rebound by T. Mozgov,,11-10,,
6:37.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,13-10,,
6:16.0,,,13-10,,D. DeRozan misses 2-pt shot from 20 ft
6:15.0,Defensive rebound by K. Love,,13-10,,
6:06.0,L. James misses 2-pt shot from 3 ft,,13-10,,
6:05.0,,,13-10,,Defensive rebound by A. Johnson
6:00.0,,,13-10,,J. Johnson misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by K. Love,,13-10,,
5:50.0,Turnover by K. Irving (bad pass; steal by A. Johnson),,13-10,,
5:46.0,,,13-12,2,D. DeRozan makes 2-pt shot at rim (assist by G. Vasquez)
5:13.0,T. Mozgov misses 2-pt shot from 6 ft,,13-12,,
5:12.0,Offensive rebound by K. Love,,13-12,,
