time,Detroit,pts.away,score,pts.home,Utah
4:20.0,,,10-10,,E. Millsap enters the game for R. Hood
3:58.0,T. Prince misses 2-pt shot from 17 ft,,10-10,,
3:54.0,Offensive rebound by G. Monroe,,10-10,,
3:53.0,,,10-10,,Personal foul by D. Favors (drawn by G. Monroe)
3:53.0,J. Meeks enters the game for K. Caldwell-Pope,,10-10,,
3:37.0,Offensive foul by R. Jackson,,10-10,,
3:37.0,Turnover by R. Jackson (offensive foul),,10-10,,
3:37.0,,,10-10,,T. Burke enters the game for D. Exum
3:23.0,,,10-13,3,E. Millsap makes 3-pt shot from 24 ft (assist by G. Hayward)
3:06.0,Shooting foul by E. Millsap (drawn by J. Meeks),,10-13,,
3:06.0,J. Meeks makes free throw 1 of 2,1,11-13,,
3:06.0,A. Tolliver enters the game for G. Monroe,,11-13,,
3:06.0,,,11-13,,T. Booker enters the game for D. Favors
3:06.0,J. Meeks misses free throw 2 of 2,,11-13,,
3:04.0,,,11-13,,Defensive rebound by T. Booker
2:48.0,,,11-13,,Turnover by E. Millsap (lost ball; steal by J. Meeks)
2:43.0,J. Meeks makes 2-pt shot from 2 ft (assist by A. Tolliver),2,13-13,,
2:25.0,,,13-13,,E. Millsap misses 2-pt shot from 2 ft
2:22.0,,,13-13,,Offensive rebound by E. Millsap
2:22.0,,,13-15,2,E. Millsap makes 2-pt shot from 1 ft
2:10.0,Offensive foul by A. Drummond,,13-15,,
2:10.0,Turnover by A. Drummond (offensive foul),,13-15,,
2:10.0,,,13-15,,Utah full timeout
2:10.0,S. Dinwiddie enters the game for A. Drummond,,13-15,,
2:10.0,J. Anthony enters the game for R. Jackson,,13-15,,
1:56.0,,,13-18,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
1:36.0,A. Tolliver makes 2-pt shot from 10 ft (assist by J. Meeks),2,15-18,,
1:24.0,,,15-18,,Turnover by G. Hayward (bad pass)
1:24.0,,,15-18,,J. Ingles enters the game for G. Hayward
1:07.0,A. Tolliver makes 2-pt shot from 18 ft (assist by T. Prince),2,17-18,,
0:48.0,,,17-18,,E. Millsap misses 2-pt shot from 5 ft
0:46.0,Defensive rebound by J. Meeks,,17-18,,
0:44.0,Shooting foul by T. Burke (drawn by J. Meeks),,17-18,,
0:44.0,J. Meeks makes free throw 1 of 2,1,18-18,,
0:44.0,J. Meeks misses free throw 2 of 2,,18-18,,
0:44.0,,,18-18,,Defensive rebound by R. Gobert
0:31.0,,,18-18,,J. Ingles misses 2-pt shot from 2 ft
0:30.0,,,18-18,,Offensive rebound by R. Gobert
0:30.0,,,18-18,,R. Gobert misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by T. Prince,,18-18,,
0:15.0,J. Anthony misses 2-pt shot from 4 ft,,18-18,,
0:13.0,,,18-18,,Defensive rebound by R. Gobert
0:04.0,,,18-18,,E. Millsap misses 3-pt shot from 24 ft
0:01.0,,,18-18,,Offensive rebound by T. Booker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,A. Tolliver misses 3-pt shot from 25 ft,,18-18,,
11:42.0,,,18-18,,Defensive rebound by J. Ingles
11:20.0,,,18-18,,Turnover by T. Booker (lost ball; steal by J. Meeks)
11:10.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,21-18,,
10:51.0,,,21-18,,J. Ingles misses 3-pt shot from 22 ft
10:50.0,,,21-18,,Offensive rebound by T. Booker
10:47.0,,,21-20,2,T. Booker makes 2-pt shot from 1 ft
10:35.0,Shooting foul by T. Burke (drawn by S. Dinwiddie),,21-20,,
10:35.0,S. Dinwiddie misses free throw 1 of 3,,21-20,,
10:35.0,Offensive rebound by Team,,21-20,,
10:35.0,S. Dinwiddie makes free throw 2 of 3,1,22-20,,
10:35.0,S. Dinwiddie makes free throw 3 of 3,1,23-20,,
10:22.0,,,23-22,2,D. Favors makes 2-pt shot from 13 ft
10:06.0,A. Tolliver misses 3-pt shot from 24 ft,,23-22,,
10:04.0,Offensive rebound by J. Anthony,,23-22,,
10:01.0,J. Anthony misses 2-pt shot from 7 ft,,23-22,,
9:59.0,,,23-22,,Defensive rebound by R. Hood
9:53.0,,,23-24,2,T. Burke makes 2-pt shot from 8 ft
9:53.0,,,23-24,,Shooting foul by S. Dinwiddie (drawn by T. Burke)
9:53.0,,,23-25,1,T. Burke makes free throw 1 of 1
9:40.0,J. Meeks misses 2-pt shot from 23 ft,,23-25,,
9:38.0,,,23-25,,Defensive rebound by T. Booker
9:30.0,,,23-25,,R. Hood misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by J. Meeks,,23-25,,
9:25.0,S. Dinwiddie makes 2-pt shot from 2 ft (assist by J. Meeks),2,25-25,,
9:25.0,Violation by Team (delay of game),,25-25,,
9:06.0,,,25-25,,Turnover by D. Favors (lost ball; steal by S. Dinwiddie)
8:58.0,T. Prince misses 2-pt shot from 18 ft,,25-25,,
8:56.0,Offensive rebound by A. Tolliver,,25-25,,
8:53.0,J. Meeks makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,28-25,,
8:53.0,,,28-25,,Utah full timeout
8:53.0,,,28-25,,D. Exum enters the game for T. Burke
8:29.0,,,28-25,,J. Ingles misses 2-pt shot from 21 ft
8:28.0,Defensive rebound by T. Prince,,28-25,,
8:07.0,T. Prince misses 2-pt shot from 22 ft,,28-25,,
8:06.0,,,28-25,,Defensive rebound by J. Ingles
7:47.0,,,28-27,2,R. Hood makes 2-pt shot from 2 ft
7:30.0,J. Anthony makes 2-pt shot from 3 ft (assist by J. Meeks),2,30-27,,
7:30.0,Shooting foul by T. Booker (drawn by J. Anthony),,30-27,,
7:30.0,,,30-27,,R. Gobert enters the game for T. Booker
7:30.0,K. Caldwell-Pope enters the game for T. Prince,,30-27,,
7:30.0,J. Anthony misses free throw 1 of 1,,30-27,,
7:28.0,Offensive rebound by K. Caldwell-Pope,,30-27,,
7:09.0,A. Tolliver makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,33-27,,
6:47.0,,,33-27,,D. Favors misses 2-pt shot from 1 ft (block by J. Anthony)
6:46.0,,,33-27,,Offensive rebound by D. Favors
6:46.0,,,33-27,,Shooting foul by A. Tolliver (drawn by D. Favors)
6:46.0,,,33-28,1,D. Favors makes free throw 1 of 2
6:46.0,G. Monroe enters the game for J. Anthony,,33-28,,
6:46.0,R. Jackson enters the game for S. Dinwiddie,,33-28,,
6:46.0,,,33-28,,G. Hayward enters the game for J. Ingles
6:46.0,,,33-29,1,D. Favors makes free throw 2 of 2
6:30.0,A. Tolliver misses 3-pt shot from 23 ft,,33-29,,
6:29.0,,,33-29,,Defensive rebound by R. Gobert
6:17.0,,,33-31,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
6:10.0,Detroit full timeout,,33-31,,
6:10.0,,,33-31,,E. Millsap enters the game for R. Hood
6:10.0,,,33-31,,J. Ingles enters the game for D. Favors
6:00.0,,,33-31,,Personal foul by D. Exum (drawn by A. Tolliver)
5:50.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,33-31,,
5:47.0,Offensive rebound by G. Monroe,,33-31,,
5:47.0,G. Monroe makes 2-pt shot from 2 ft,2,35-31,,
5:33.0,,,35-31,,J. Ingles misses 3-pt shot from 23 ft
5:31.0,Defensive rebound by R. Jackson,,35-31,,
5:19.0,R. Jackson makes 2-pt shot from 16 ft,2,37-31,,
5:07.0,Personal foul by A. Tolliver (drawn by E. Millsap),,37-31,,
4:55.0,,,37-34,3,D. Exum makes 3-pt shot from 25 ft
4:31.0,R. Jackson misses 2-pt shot from 3 ft (block by R. Gobert),,37-34,,
4:30.0,,,37-34,,Defensive rebound by J. Ingles
4:25.0,Personal foul by A. Tolliver (drawn by G. Hayward),,37-34,,
4:25.0,,,37-34,,R. Hood enters the game for E. Millsap
4:25.0,T. Prince enters the game for A. Tolliver,,37-34,,
4:16.0,,,37-37,3,R. Hood makes 3-pt shot from 22 ft (assist by J. Ingles)
3:58.0,G. Monroe makes 2-pt shot from 7 ft (assist by T. Prince),2,39-37,,
3:58.0,Shooting foul by R. Gobert (drawn by G. Monroe),,39-37,,
3:58.0,G. Monroe makes free throw 1 of 1,1,40-37,,
3:49.0,,,40-37,,Turnover by G. Hayward (step out of bounds)
3:49.0,,,40-37,,Violation by Team (delay of game)
3:32.0,Turnover by R. Jackson (traveling),,40-37,,
3:21.0,,,40-37,,Turnover by J. Ingles (bad pass; steal by K. Caldwell-Pope)
3:17.0,Turnover by K. Caldwell-Pope (bad pass; steal by G. Hayward),,40-37,,
3:14.0,,,40-39,2,G. Hayward makes 2-pt shot from 3 ft (assist by D. Exum)
2:57.0,J. Meeks misses 2-pt shot from 6 ft,,40-39,,
2:55.0,,,40-39,,Defensive rebound by R. Gobert
2:44.0,,,40-42,3,D. Exum makes 3-pt shot from 22 ft (assist by J. Ingles)
2:36.0,Detroit full timeout,,40-42,,
2:36.0,Official timeout,,40-42,,
2:36.0,,,40-42,,D. Favors enters the game for J. Ingles
2:25.0,G. Monroe misses 2-pt shot from 6 ft (block by R. Gobert),,40-42,,
2:23.0,,,40-42,,Defensive rebound by G. Hayward
2:10.0,,,40-42,,Turnover by D. Exum (bad pass; steal by J. Meeks)
2:05.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,40-42,,
2:03.0,,,40-42,,Defensive rebound by R. Hood
1:51.0,,,40-44,2,D. Favors makes 2-pt shot from 5 ft
1:40.0,,,40-44,,Personal foul by R. Hood (drawn by J. Meeks)
1:40.0,J. Meeks makes free throw 1 of 2,1,41-44,,
1:40.0,,,41-44,,J. Ingles enters the game for R. Hood
1:40.0,A. Drummond enters the game for T. Prince,,41-44,,
1:40.0,J. Meeks makes free throw 2 of 2,1,42-44,,
1:27.0,,,42-44,,Shooting foul by K. Caldwell-Pope (drawn by G. Hayward)
1:27.0,,,42-45,1,G. Hayward makes free throw 1 of 2
1:27.0,,,42-45,,G. Hayward misses free throw 2 of 2
1:25.0,Defensive rebound by G. Monroe,,42-45,,
1:06.0,Turnover by G. Monroe (lost ball; steal by D. Favors),,42-45,,
1:00.0,,,42-47,2,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles)
0:45.0,A. Drummond misses 2-pt shot from 6 ft,,42-47,,
0:44.0,Offensive rebound by Team,,42-47,,
0:32.0,Shooting foul by D. Favors (drawn by G. Monroe),,42-47,,
0:32.0,G. Monroe makes free throw 1 of 2,1,43-47,,
0:32.0,J. Anthony enters the game for A. Drummond,,43-47,,
0:32.0,,,43-47,,T. Booker enters the game for D. Favors
0:32.0,G. Monroe misses free throw 2 of 2,,43-47,,
0:31.0,,,43-47,,Defensive rebound by D. Exum
0:18.0,,,43-49,2,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles)
0:04.0,R. Jackson misses 3-pt shot from 24 ft,,43-49,,
0:03.0,,,43-49,,Defensive rebound by R. Gobert
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,G. Monroe misses 2-pt shot from 4 ft (block by D. Favors),,43-49,,
11:39.0,Offensive rebound by Team,,43-49,,
11:34.0,G. Monroe misses 2-pt shot from 16 ft,,43-49,,
11:32.0,Offensive rebound by C. Butler,,43-49,,
11:30.0,Turnover by C. Butler (bad pass; steal by R. Gobert),,43-49,,
11:13.0,,,43-51,2,D. Favors makes 2-pt shot at rim
11:01.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,43-51,,
11:00.0,Offensive rebound by Team,,43-51,,
11:00.0,Detroit full timeout,,43-51,,
10:54.0,G. Monroe misses 2-pt shot from 3 ft (block by D. Favors),,43-51,,
10:51.0,Offensive rebound by J. Anthony,,43-51,,
10:46.0,K. Caldwell-Pope misses 3-pt shot from 22 ft,,43-51,,
10:45.0,,,43-51,,Defensive rebound by R. Gobert
10:27.0,,,43-51,,R. Hood misses 2-pt shot from 3 ft
10:26.0,Defensive rebound by G. Monroe,,43-51,,
10:20.0,Turnover by R. Jackson (lost ball; steal by R. Hood),,43-51,,
10:09.0,,,43-51,,Turnover by D. Exum (bad pass; steal by K. Caldwell-Pope)
10:02.0,,,43-51,,Violation by G. Hayward (kicked ball)
9:49.0,C. Butler misses 2-pt shot from 18 ft,,43-51,,
9:48.0,,,43-51,,Defensive rebound by G. Hayward
9:42.0,,,43-51,,Turnover by G. Hayward (traveling)
9:26.0,R. Jackson makes 3-pt shot from 24 ft,3,46-51,,
9:01.0,,,46-51,,D. Exum misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by C. Butler,,46-51,,
8:44.0,R. Jackson misses 2-pt shot from 21 ft,,46-51,,
8:43.0,,,46-51,,Defensive rebound by R. Hood
8:37.0,Personal foul by K. Caldwell-Pope (drawn by D. Favors),,46-51,,
8:19.0,,,46-51,,G. Hayward misses 2-pt shot from 12 ft
8:17.0,Defensive rebound by R. Jackson,,46-51,,
8:06.0,J. Anthony makes 2-pt shot from 2 ft (assist by G. Monroe),2,48-51,,
7:44.0,,,48-51,,Shooting foul by J. Anthony (drawn by D. Favors)
7:44.0,,,48-52,1,D. Favors makes free throw 1 of 2
7:44.0,,,48-53,1,D. Favors makes free throw 2 of 2
7:28.0,Turnover by G. Monroe (back court),,48-53,,
7:12.0,,,48-53,,Shooting foul by J. Anthony (drawn by G. Hayward)
7:12.0,,,48-54,1,G. Hayward makes free throw 1 of 2
7:12.0,,,48-55,1,G. Hayward makes free throw 2 of 2
6:58.0,Shooting foul by D. Favors (drawn by K. Caldwell-Pope),,48-55,,
6:58.0,K. Caldwell-Pope misses free throw 1 of 2,,48-55,,
6:58.0,Offensive rebound by Team,,48-55,,
6:58.0,A. Tolliver enters the game for J. Anthony,,48-55,,
6:58.0,K. Caldwell-Pope makes free throw 2 of 2,1,49-55,,
6:45.0,,,49-55,,Turnover by G. Hayward (lost ball)
6:20.0,Turnover by Team (shot clock),,49-55,,
6:20.0,,,49-55,,T. Burke enters the game for D. Exum
6:02.0,,,49-55,,D. Favors misses 2-pt shot from 16 ft
6:01.0,Defensive rebound by R. Jackson,,49-55,,
5:54.0,A. Tolliver misses 3-pt shot from 24 ft,,49-55,,
5:52.0,,,49-55,,Defensive rebound by R. Hood
5:46.0,,,49-55,,T. Burke misses 3-pt shot from 24 ft
5:42.0,Defensive rebound by G. Monroe,,49-55,,
5:36.0,R. Jackson misses 3-pt shot from 24 ft,,49-55,,
5:33.0,,,49-55,,Defensive rebound by R. Gobert
5:27.0,,,49-55,,Utah full timeout
5:27.0,J. Meeks enters the game for C. Butler,,49-55,,
5:27.0,,,49-55,,T. Booker enters the game for D. Favors
5:18.0,,,49-55,,R. Hood misses 2-pt shot from 14 ft
5:17.0,Defensive rebound by K. Caldwell-Pope,,49-55,,
5:03.0,J. Meeks misses 2-pt shot from 22 ft,,49-55,,
5:01.0,,,49-55,,Defensive rebound by G. Hayward
4:48.0,,,49-55,,T. Booker misses 2-pt shot from 10 ft
4:47.0,,,49-55,,Offensive rebound by R. Gobert
4:45.0,,,49-57,2,R. Gobert makes 2-pt shot from 2 ft
4:31.0,,,49-57,,Personal foul by R. Hood (drawn by J. Meeks)
4:31.0,,,49-57,,E. Millsap enters the game for R. Hood
4:17.0,Shooting foul by E. Millsap (drawn by A. Tolliver),,49-57,,
4:17.0,A. Tolliver makes free throw 1 of 2,1,50-57,,
4:17.0,T. Prince enters the game for K. Caldwell-Pope,,50-57,,
4:17.0,A. Tolliver makes free throw 2 of 2,1,51-57,,
3:53.0,,,51-57,,E. Millsap misses 2-pt shot from 15 ft
3:50.0,,,51-57,,Offensive rebound by T. Booker
3:48.0,,,51-57,,T. Booker misses 2-pt shot from 2 ft
3:46.0,,,51-57,,Offensive rebound by R. Gobert
3:46.0,,,51-57,,R. Gobert misses 2-pt shot from 2 ft
3:46.0,,,51-57,,Offensive rebound by R. Gobert
3:46.0,,,51-57,,R. Gobert misses 2-pt shot from 2 ft
3:44.0,Defensive rebound by T. Prince,,51-57,,
3:22.0,G. Monroe makes 2-pt shot from 2 ft,2,53-57,,
3:04.0,,,53-59,2,T. Booker makes 2-pt shot from 2 ft
2:37.0,J. Meeks misses 3-pt shot from 24 ft,,53-59,,
2:35.0,Offensive rebound by T. Prince,,53-59,,
2:25.0,R. Jackson misses 2-pt shot from 2 ft (block by T. Booker),,53-59,,
2:23.0,,,53-59,,Defensive rebound by T. Booker
2:16.0,Personal foul by J. Meeks (drawn by E. Millsap),,53-59,,
2:16.0,J. Anthony enters the game for G. Monroe,,53-59,,
2:16.0,S. Dinwiddie enters the game for R. Jackson,,53-59,,
2:16.0,,,53-59,,J. Ingles enters the game for G. Hayward
2:01.0,,,53-59,,T. Burke misses 2-pt shot from 18 ft
1:59.0,Defensive rebound by T. Prince,,53-59,,
1:47.0,Turnover by T. Prince (lost ball; steal by J. Ingles),,53-59,,
1:32.0,,,53-59,,T. Booker misses 2-pt shot from 4 ft
1:31.0,Defensive rebound by T. Prince,,53-59,,
1:25.0,J. Meeks misses 2-pt shot from 1 ft,,53-59,,
1:23.0,,,53-59,,Defensive rebound by R. Gobert
1:06.0,,,53-59,,Turnover by T. Burke (lost ball; steal by J. Meeks)
1:06.0,,,53-59,,Personal foul by T. Burke (drawn by T. Prince)
0:57.0,J. Anthony makes 2-pt shot from 10 ft (assist by S. Dinwiddie),2,55-59,,
0:37.0,,,55-61,2,R. Gobert makes 2-pt shot from 1 ft (assist by E. Millsap)
0:17.0,J. Anthony misses 2-pt shot from 6 ft,,55-61,,
0:16.0,,,55-61,,Defensive rebound by T. Booker
0:01.0,,,55-61,,Shooting foul by S. Dinwiddie (drawn by T. Burke)
0:01.0,,,55-61,,T. Burke misses free throw 1 of 2
0:01.0,,,55-61,,Offensive rebound by Team
0:01.0,,,55-62,1,T. Burke makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,55-64,2,D. Favors makes 2-pt shot from 12 ft (assist by T. Burke)
11:20.0,T. Prince makes 3-pt shot from 25 ft (assist by S. Dinwiddie),3,58-64,,
11:05.0,,,58-64,,T. Burke misses 2-pt shot from 15 ft
11:03.0,Defensive rebound by T. Prince,,58-64,,
10:44.0,S. Dinwiddie makes 2-pt shot from 19 ft,2,60-64,,
10:17.0,,,60-64,,J. Ingles misses 3-pt shot from 23 ft
10:17.0,,,60-64,,Offensive rebound by Team
10:17.0,,,60-64,,Turnover by Team (shot clock)
10:07.0,Shooting foul by E. Millsap (drawn by J. Meeks),,60-64,,
10:07.0,J. Meeks makes free throw 1 of 2,1,61-64,,
10:07.0,J. Meeks makes free throw 2 of 2,1,62-64,,
9:47.0,,,62-64,,D. Favors misses 2-pt shot from 9 ft
9:46.0,Defensive rebound by A. Tolliver,,62-64,,
9:29.0,A. Tolliver misses 2-pt shot from 2 ft,,62-64,,
9:28.0,Offensive rebound by J. Anthony,,62-64,,
9:27.0,J. Anthony misses 2-pt shot from 2 ft (block by D. Favors),,62-64,,
9:15.0,,,62-64,,Defensive rebound by J. Ingles
9:15.0,,,62-64,,J. Ingles misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by T. Prince,,62-64,,
9:09.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by T. Booker),,62-64,,
9:07.0,Offensive rebound by T. Prince,,62-64,,
9:04.0,A. Tolliver misses 3-pt shot from 24 ft,,62-64,,
9:02.0,Offensive rebound by J. Anthony,,62-64,,
8:57.0,J. Anthony makes 2-pt shot from 1 ft,2,64-64,,
8:51.0,,,64-64,,Shooting foul by J. Anthony (drawn by D. Favors)
8:51.0,Official timeout,,64-64,,
8:51.0,,,64-64,,R. Hood enters the game for E. Millsap
8:51.0,,,64-64,,G. Hayward enters the game for J. Ingles
8:51.0,,,64-64,,D. Exum enters the game for T. Burke
8:51.0,,,64-65,1,D. Favors makes free throw 1 of 2
8:51.0,,,64-65,,D. Favors misses free throw 2 of 2
8:50.0,Defensive rebound by J. Anthony,,64-65,,
8:36.0,J. Anthony makes 2-pt shot at rim (assist by T. Prince),2,66-65,,
8:13.0,,,66-67,2,D. Favors makes 2-pt shot from 5 ft
7:48.0,T. Prince makes 3-pt shot from 24 ft (assist by J. Meeks),3,69-67,,
7:31.0,,,69-67,,Shooting foul by J. Anthony (drawn by D. Favors)
7:31.0,,,69-68,1,D. Favors makes free throw 1 of 2
7:31.0,,,69-68,,R. Gobert enters the game for T. Booker
7:31.0,G. Monroe enters the game for A. Tolliver,,69-68,,
7:31.0,,,69-69,1,D. Favors makes free throw 2 of 2
7:25.0,,,69-69,,Personal foul by G. Hayward (drawn by T. Prince)
7:17.0,T. Prince makes 2-pt shot from 23 ft (assist by J. Meeks),2,71-69,,
6:55.0,,,71-72,3,R. Hood makes 3-pt shot from 24 ft (assist by D. Exum)
6:26.0,J. Meeks misses 2-pt shot from 21 ft,,71-72,,
6:24.0,,,71-72,,Defensive rebound by R. Hood
6:11.0,,,71-74,2,D. Exum makes 2-pt shot from 6 ft
6:10.0,Detroit full timeout,,71-74,,
6:10.0,A. Tolliver enters the game for J. Anthony,,71-74,,
6:10.0,R. Jackson enters the game for S. Dinwiddie,,71-74,,
5:50.0,Turnover by R. Jackson (bad pass; steal by R. Hood),,71-74,,
5:36.0,,,71-76,2,D. Favors makes 2-pt shot from 2 ft
5:36.0,,,71-76,,Shooting foul by G. Monroe (drawn by D. Favors)
5:36.0,,,71-76,,D. Favors misses free throw 1 of 1
5:35.0,Defensive rebound by G. Monroe,,71-76,,
5:19.0,Turnover by J. Meeks (bad pass; steal by R. Hood),,71-76,,
5:15.0,,,71-78,2,R. Hood makes 2-pt shot from 1 ft (assist by D. Exum)
4:49.0,R. Jackson makes 3-pt shot from 30 ft,3,74-78,,
4:32.0,,,74-78,,Turnover by R. Gobert (traveling)
4:32.0,K. Caldwell-Pope enters the game for T. Prince,,74-78,,
4:32.0,Detroit full timeout,,74-78,,
4:32.0,S. Dinwiddie enters the game for R. Jackson,,74-78,,
4:12.0,S. Dinwiddie misses 2-pt shot from 20 ft,,74-78,,
4:11.0,,,74-78,,Defensive rebound by G. Hayward
3:57.0,,,74-78,,Turnover by G. Hayward (bad pass; steal by S. Dinwiddie)
3:48.0,A. Tolliver makes 2-pt shot at rim (assist by G. Monroe),2,76-78,,
3:48.0,Shooting foul by D. Exum (drawn by A. Tolliver),,76-78,,
3:48.0,A. Tolliver misses free throw 1 of 1,,76-78,,
3:46.0,,,76-78,,Defensive rebound by R. Gobert
3:33.0,,,76-80,2,G. Hayward makes 2-pt shot from 18 ft
3:14.0,S. Dinwiddie misses 2-pt shot from 2 ft,,76-80,,
3:12.0,Offensive rebound by G. Monroe,,76-80,,
3:12.0,G. Monroe makes 2-pt shot from 1 ft,2,78-80,,
2:52.0,,,78-80,,D. Favors misses 2-pt shot from 17 ft
2:51.0,Defensive rebound by A. Tolliver,,78-80,,
2:40.0,G. Monroe misses 2-pt shot from 3 ft,,78-80,,
2:38.0,Offensive rebound by S. Dinwiddie,,78-80,,
2:36.0,J. Meeks misses 3-pt shot from 24 ft,,78-80,,
2:36.0,,,78-80,,Defensive rebound by Team
2:36.0,Loose ball foul by G. Monroe (drawn by R. Gobert),,78-80,,
2:36.0,,,78-80,,Utah full timeout
2:36.0,J. Anthony enters the game for A. Tolliver,,78-80,,
2:16.0,,,78-80,,Shooting foul by J. Anthony (drawn by D. Favors)
2:16.0,,,78-81,1,D. Favors makes free throw 1 of 2
