time,LA Clippers,pts.away,score,pts.home,Detroit
0:23.0,,,101-95,,Detroit full timeout
0:23.0,D. Jordan enters the game for H. Turkoglu,,101-95,,
0:22.0,,,101-95,,Turnover by J. Smith (bad pass; steal by J. Crawford)
0:16.0,,,101-95,,Personal foul by K. Caldwell-Pope (drawn by J. Crawford)
0:16.0,J. Crawford makes free throw 1 of 2,1,102-95,,
0:16.0,J. Crawford makes free throw 2 of 2,1,103-95,,
0:08.0,,,103-98,3,J. Smith makes 3-pt shot from 25 ft (assist by D. Augustin)
0:07.0,,,103-98,,Personal foul by S. Dinwiddie (drawn by J. Redick)
0:07.0,J. Redick misses free throw 1 of 2,,103-98,,
0:07.0,Offensive rebound by Team,,103-98,,
0:07.0,J. Redick makes free throw 2 of 2,1,104-98,,
0:02.0,,,104-98,,D. Augustin misses 3-pt shot from 32 ft
0:01.0,Defensive rebound by D. Jordan,,104-98,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
