time,Utah,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. A. Horford (J. Teague gains possession),,,,Jump ball: D. Favors vs. A. Horford (J. Teague gains possession)
11:42.0,,,0-2,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Korver)
11:16.0,A. Burks makes 2-pt shot from 16 ft,2,2-2,,
11:02.0,,,2-4,2,P. Millsap makes 2-pt shot from 6 ft (assist by K. Korver)
10:40.0,A. Burks makes 3-pt shot from 23 ft (assist by E. Kanter),3,5-4,,
10:16.0,,,5-6,2,T. Sefolosha makes 2-pt shot at rim (assist by A. Horford)
10:05.0,Turnover by A. Burks (bad pass; steal by P. Millsap),,5-6,,
10:01.0,,,5-6,,Turnover by P. Millsap (bad pass; steal by D. Favors)
9:52.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,7-6,,
9:42.0,Personal foul by T. Burke (drawn by J. Teague),,7-6,,
9:37.0,,,7-8,2,J. Teague makes 2-pt shot from 13 ft
9:25.0,D. Favors misses 2-pt shot from 12 ft,,7-8,,
9:24.0,,,7-8,,Defensive rebound by K. Korver
9:11.0,,,7-8,,P. Millsap misses 3-pt shot from 25 ft
9:09.0,Defensive rebound by G. Hayward,,7-8,,
9:01.0,A. Burks misses 3-pt shot from 24 ft,,7-8,,
8:59.0,Offensive rebound by E. Kanter,,7-8,,
8:59.0,E. Kanter misses 2-pt shot from 1 ft,,7-8,,
8:59.0,,,7-8,,Defensive rebound by Team
8:52.0,,,7-8,,A. Horford misses 2-pt shot at rim
8:50.0,,,7-8,,Offensive rebound by A. Horford
8:40.0,,,7-8,,Turnover by K. Korver (step out of bounds)
8:16.0,E. Kanter makes 2-pt shot from 1 ft (assist by A. Burks),2,9-8,,
8:01.0,,,9-10,2,T. Sefolosha makes 2-pt shot from 1 ft
8:01.0,,,9-10,,Shooting foul by G. Hayward (drawn by T. Sefolosha)
8:01.0,,,9-10,,T. Sefolosha misses free throw 1 of 1
8:01.0,Defensive rebound by E. Kanter,,9-10,,
7:43.0,D. Favors makes 2-pt shot from 9 ft,2,11-10,,
7:31.0,,,11-10,,J. Teague misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by E. Kanter,,11-10,,
7:19.0,E. Kanter makes 3-pt shot from 25 ft (assist by T. Burke),3,14-10,,
6:54.0,,,14-10,,P. Millsap misses 2-pt shot from 4 ft
6:53.0,,,14-10,,Offensive rebound by P. Millsap
6:52.0,,,14-12,2,P. Millsap makes 2-pt shot at rim
6:24.0,D. Favors makes 2-pt shot at rim,2,16-12,,
6:15.0,,,16-12,,Atlanta full timeout
6:15.0,,,16-12,,P. Antic enters the game for A. Horford
6:15.0,D. Exum enters the game for G. Hayward,,16-12,,
6:02.0,,,16-14,2,P. Antic makes 2-pt shot at rim (assist by P. Millsap)
