time,Washington,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. M. Gortat (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. M. Gortat (S. Larkin gains possession)
11:40.0,,,0-0,,Turnover by A. Stoudemire (lost ball; steal by N. Hilario)
11:18.0,J. Wall makes 2-pt shot from 18 ft (assist by N. Hilario),2,2-0,,
11:01.0,,,2-2,2,S. Larkin makes 2-pt shot from 2 ft (assist by S. Dalembert)
10:45.0,J. Wall makes 2-pt shot from 2 ft (assist by G. Temple),2,4-2,,
10:22.0,,,4-2,,Offensive foul by C. Anthony
10:22.0,,,4-2,,Turnover by C. Anthony (offensive foul)
10:06.0,P. Pierce misses 2-pt shot from 15 ft,,4-2,,
10:05.0,,,4-2,,Defensive rebound by A. Stoudemire
9:50.0,,,4-4,2,C. Anthony makes 2-pt shot from 22 ft (assist by A. Stoudemire)
9:34.0,Turnover by N. Hilario (traveling),,4-4,,
9:14.0,,,4-4,,S. Dalembert misses 2-pt shot from 11 ft
9:13.0,Defensive rebound by P. Pierce,,4-4,,
9:05.0,Turnover by J. Wall (bad pass),,4-4,,
8:49.0,Personal foul by G. Temple (drawn by I. Shumpert),,4-4,,
8:46.0,,,4-4,,Turnover by C. Anthony (bad pass; steal by G. Temple)
8:42.0,G. Temple misses 2-pt shot at rim,,4-4,,
8:40.0,Offensive rebound by N. Hilario,,4-4,,
8:35.0,,,4-4,,Personal foul by A. Stoudemire (drawn by N. Hilario)
8:28.0,J. Wall misses 2-pt shot from 17 ft,,4-4,,
8:26.0,,,4-4,,Defensive rebound by I. Shumpert
8:09.0,,,4-4,,C. Anthony misses 2-pt shot from 20 ft
8:08.0,,,4-4,,Offensive rebound by Team
8:08.0,Loose ball foul by N. Hilario (drawn by S. Dalembert),,4-4,,
8:01.0,,,4-4,,S. Dalembert misses 2-pt shot from 7 ft
8:00.0,,,4-4,,Offensive rebound by C. Anthony
