time,Houston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. D. Howard (S. Ibaka gains possession)
11:46.0,,,0-0,,Turnover by J. Lamb (bad pass; steal by T. Ariza)
11:39.0,P. Beverley misses 3-pt shot from 23 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by R. Jackson
11:21.0,,,0-0,,L. Thomas misses 2-pt shot from 11 ft
11:19.0,Defensive rebound by D. Howard,,0-0,,
11:03.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,3-0,,
10:43.0,,,3-2,2,S. Ibaka makes 2-pt shot from 12 ft (assist by J. Lamb)
10:25.0,D. Howard misses 2-pt shot at rim (block by S. Ibaka),,3-2,,
10:23.0,Offensive rebound by D. Motiejunas,,3-2,,
10:18.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Harden),2,5-2,,
9:59.0,,,5-2,,S. Ibaka misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by Team,,5-2,,
9:46.0,Shooting foul by J. Lamb (drawn by D. Howard),,5-2,,
9:46.0,D. Howard makes free throw 1 of 2,1,6-2,,
9:46.0,D. Howard makes free throw 2 of 2,1,7-2,,
9:29.0,,,7-2,,R. Jackson misses 3-pt shot from 24 ft
9:28.0,Defensive rebound by D. Motiejunas,,7-2,,
9:14.0,D. Howard misses 2-pt shot from 2 ft (block by S. Adams),,7-2,,
9:13.0,,,7-2,,Defensive rebound by R. Jackson
9:07.0,,,7-4,2,J. Lamb makes 2-pt shot from 14 ft (assist by L. Thomas)
8:53.0,P. Beverley misses 3-pt shot from 25 ft,,7-4,,
8:52.0,Offensive rebound by D. Motiejunas,,7-4,,
8:42.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,9-4,,
8:30.0,,,9-4,,R. Jackson misses 2-pt shot from 4 ft
8:29.0,Defensive rebound by D. Howard,,9-4,,
8:12.0,Shooting foul by L. Thomas (drawn by J. Harden),,9-4,,
8:12.0,J. Harden makes free throw 1 of 2,1,10-4,,
8:12.0,J. Harden makes free throw 2 of 2,1,11-4,,
8:06.0,,,11-4,,Oklahoma City full timeout
8:06.0,J. Terry enters the game for P. Beverley,,11-4,,
