time,Philadelphia,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Sims vs. J. Valanciunas (H. Thompson gains possession),,,,Jump ball: H. Sims vs. J. Valanciunas (H. Thompson gains possession)
11:40.0,J. Sampson misses 3-pt shot from 22 ft,,0-0,,
11:39.0,Offensive rebound by H. Sims,,0-0,,
11:37.0,H. Sims misses 2-pt shot from 8 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Valanciunas
11:21.0,,,0-0,,D. DeRozan misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by L. Mbah a Moute,,0-0,,
11:10.0,L. Mbah a Moute makes 2-pt shot at rim,2,2-0,,
10:58.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by A. Johnson)
10:41.0,H. Sims misses 2-pt shot from 16 ft,,2-2,,
10:40.0,,,2-2,,Defensive rebound by J. Valanciunas
10:23.0,,,2-4,2,D. DeRozan makes 2-pt shot from 9 ft
10:23.0,,,2-4,,Shooting foul by J. Sampson (drawn by D. DeRozan)
10:23.0,,,2-5,1,D. DeRozan makes free throw 1 of 1
10:00.0,H. Thompson misses 2-pt shot from 3 ft,,2-5,,
9:57.0,,,2-5,,Defensive rebound by A. Johnson
9:57.0,Technical foul by Team,,2-5,,
9:57.0,,,2-6,1,D. DeRozan makes technical free throw
9:43.0,,,2-6,,D. DeRozan misses 2-pt shot from 14 ft
9:41.0,Defensive rebound by T. Wroten,,2-6,,
9:34.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,2-6,,
9:32.0,Offensive rebound by Team,,2-6,,
9:14.0,,,2-6,,Shooting block foul by A. Johnson (drawn by T. Wroten)
9:14.0,T. Wroten makes free throw 1 of 2,1,3-6,,
9:14.0,T. Wroten makes free throw 2 of 2,1,4-6,,
9:00.0,,,4-6,,K. Lowry misses 2-pt shot from 22 ft
8:59.0,,,4-6,,Offensive rebound by T. Ross
8:54.0,Personal foul by H. Thompson (drawn by D. DeRozan),,4-6,,
8:44.0,,,4-8,2,D. DeRozan makes 2-pt shot from 14 ft
8:44.0,,,4-8,,Shooting foul by J. Sampson (drawn by D. DeRozan)
8:44.0,K. McDaniels enters the game for J. Sampson,,4-8,,
8:44.0,,,4-9,1,D. DeRozan makes free throw 1 of 1
8:25.0,L. Mbah a Moute makes 2-pt shot from 4 ft (assist by T. Wroten),2,6-9,,
8:14.0,,,6-9,,Turnover by D. DeRozan (bad pass; steal by T. Wroten)
8:02.0,H. Sims misses 2-pt shot from 14 ft,,6-9,,
7:59.0,,,6-9,,Defensive rebound by D. DeRozan
7:45.0,,,6-11,2,T. Ross makes 2-pt shot from 19 ft
7:30.0,H. Thompson misses 3-pt shot from 24 ft,,6-11,,
7:29.0,,,6-11,,Defensive rebound by D. DeRozan
7:20.0,,,6-11,,T. Ross misses 3-pt shot from 23 ft
7:19.0,,,6-11,,Offensive rebound by Team
7:11.0,,,6-11,,Turnover by J. Valanciunas (lost ball; steal by H. Sims)
7:07.0,T. Wroten makes 2-pt shot from 1 ft (assist by H. Sims),2,8-11,,
7:07.0,Shooting foul by D. DeRozan (drawn by T. Wroten),,8-11,,
7:07.0,T. Wroten misses free throw 1 of 1,,8-11,,
7:06.0,,,8-11,,Defensive rebound by J. Valanciunas
6:52.0,Personal foul by H. Sims (drawn by J. Valanciunas),,8-11,,
