time,LA Clippers,pts.away,score,pts.home,Charlotte
7:31.0,B. Griffin misses 2-pt shot from 7 ft,,11-8,,
7:29.0,,,11-8,,Defensive rebound by A. Jefferson
7:11.0,,,11-8,,A. Jefferson misses 2-pt shot from 13 ft
7:10.0,Defensive rebound by D. Jordan,,11-8,,
7:05.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,13-8,,
6:42.0,,,13-8,,Charlotte full timeout
6:42.0,,,13-8,,C. Zeller enters the game for M. Williams
6:37.0,,,13-10,2,A. Jefferson makes 2-pt shot from 15 ft
6:19.0,B. Griffin misses 2-pt shot from 3 ft (block by C. Zeller),,13-10,,
6:19.0,Offensive rebound by Team,,13-10,,
6:12.0,J. Redick misses 2-pt shot from 20 ft,,13-10,,
6:10.0,,,13-10,,Defensive rebound by K. Walker
5:56.0,,,13-10,,A. Jefferson misses 2-pt shot from 10 ft (block by D. Jordan)
5:54.0,,,13-10,,Offensive rebound by A. Jefferson
5:50.0,,,13-10,,G. Henderson misses 2-pt shot from 18 ft
5:49.0,Defensive rebound by D. Jordan,,13-10,,
5:37.0,R. Bullock misses 3-pt shot from 25 ft,,13-10,,
5:36.0,,,13-10,,Defensive rebound by K. Walker
5:20.0,,,13-12,2,C. Zeller makes 2-pt shot from 20 ft (assist by G. Henderson)
4:57.0,B. Griffin misses 2-pt shot from 6 ft (block by A. Jefferson),,13-12,,
4:55.0,Offensive rebound by B. Griffin,,13-12,,
4:55.0,B. Griffin makes 2-pt shot from 1 ft,2,15-12,,
4:41.0,Personal foul by R. Bullock (drawn by L. Stephenson),,15-12,,
4:41.0,,,15-12,,G. Neal enters the game for G. Henderson
4:41.0,J. Crawford enters the game for R. Bullock,,15-12,,
4:30.0,,,15-12,,Turnover by L. Stephenson (bad pass; steal by D. Jordan)
4:25.0,C. Paul misses 3-pt shot from 25 ft,,15-12,,
4:23.0,,,15-12,,Defensive rebound by G. Neal
4:07.0,,,15-12,,A. Jefferson misses 2-pt shot from 9 ft
4:06.0,Defensive rebound by C. Paul,,15-12,,
3:59.0,J. Redick misses 3-pt shot from 24 ft,,15-12,,
3:58.0,,,15-12,,Defensive rebound by A. Jefferson
3:50.0,,,15-12,,L. Stephenson misses 2-pt shot from 1 ft
3:49.0,Defensive rebound by J. Crawford,,15-12,,
3:29.0,J. Crawford makes 3-pt shot from 25 ft (assist by J. Redick),3,18-12,,
3:24.0,,,18-12,,Charlotte full timeout
3:24.0,,,18-12,,B. Roberts enters the game for A. Jefferson
3:24.0,,,18-12,,B. Biyombo enters the game for L. Stephenson
3:13.0,,,18-15,3,B. Roberts makes 3-pt shot from 23 ft (assist by K. Walker)
2:49.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,20-15,,
2:34.0,,,20-15,,C. Zeller misses 2-pt shot from 17 ft
2:33.0,Defensive rebound by C. Paul,,20-15,,
2:26.0,J. Crawford makes 3-pt shot from 23 ft (assist by C. Paul),3,23-15,,
2:09.0,,,23-17,2,G. Neal makes 2-pt shot from 9 ft (assist by C. Zeller)
2:02.0,LA Clippers full timeout,,23-17,,
2:02.0,J. Farmar enters the game for D. Jordan,,23-17,,
2:02.0,S. Hawes enters the game for J. Redick,,23-17,,
1:43.0,C. Paul makes 2-pt shot from 8 ft (assist by B. Griffin),2,25-17,,
1:25.0,,,25-17,,K. Walker misses 2-pt shot from 17 ft
1:24.0,,,25-17,,Offensive rebound by B. Roberts
1:14.0,,,25-17,,G. Neal misses 2-pt shot from 9 ft
1:12.0,,,25-17,,Offensive rebound by B. Biyombo
1:12.0,,,25-17,,Shooting foul by S. Hawes (drawn by B. Biyombo)
1:12.0,,,25-18,1,B. Biyombo makes free throw 1 of 2
1:12.0,,,25-19,1,B. Biyombo makes free throw 2 of 2
0:58.0,C. Paul makes 2-pt shot from 9 ft (assist by B. Griffin),2,27-19,,
0:47.0,,,27-19,,Shooting foul by B. Griffin (drawn by G. Neal)
0:47.0,,,27-20,1,G. Neal makes free throw 1 of 2
0:47.0,G. Davis enters the game for B. Griffin,,27-20,,
0:47.0,,,27-21,1,G. Neal makes free throw 2 of 2
0:34.0,G. Davis makes 2-pt shot from 5 ft (assist by C. Paul),2,29-21,,
0:22.0,,,29-21,,Turnover by K. Walker (bad pass; steal by G. Davis)
0:22.0,Turnover by G. Davis (bad pass; steal by K. Walker),,29-21,,
0:19.0,,,29-23,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
0:02.0,C. Paul makes 2-pt shot from 9 ft,2,31-23,,
0:01.0,,,31-23,,K. Walker misses 3-pt shot from 54 ft (block by C. Paul)
0:00.0,,,31-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
