time,San Antonio,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: T. Duncan vs. Z. Pachulia (E. Ilyasova gains possession)
11:36.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by E. Ilyasova)
11:18.0,Turnover by T. Splitter (lost ball; steal by K. Middleton),,0-2,,
11:11.0,,,0-2,,E. Ilyasova misses 2-pt shot from 1 ft
11:09.0,,,0-2,,Offensive rebound by Z. Pachulia
11:09.0,,,0-2,,Z. Pachulia misses 2-pt shot at rim
11:08.0,,,0-2,,Offensive rebound by Z. Pachulia
11:07.0,,,0-2,,Z. Pachulia misses 2-pt shot at rim (block by T. Duncan)
11:05.0,Defensive rebound by T. Parker,,0-2,,
10:57.0,T. Duncan misses 2-pt shot from 19 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by K. Middleton
10:42.0,,,0-2,,E. Ilyasova misses 2-pt shot from 1 ft (block by K. Leonard)
10:39.0,,,0-2,,Offensive rebound by E. Ilyasova
10:38.0,,,0-4,2,E. Ilyasova makes 2-pt shot from 1 ft
10:23.0,Shooting foul by E. Ilyasova (drawn by D. Green),,0-4,,
10:23.0,D. Green makes free throw 1 of 2,1,1-4,,
10:23.0,D. Green makes free throw 2 of 2,1,2-4,,
10:14.0,,,2-6,2,Z. Pachulia makes 2-pt shot from 10 ft (assist by K. Middleton)
9:58.0,D. Green misses 2-pt shot from 10 ft,,2-6,,
9:56.0,,,2-6,,Defensive rebound by Z. Pachulia
9:47.0,,,2-6,,Turnover by G. Antetokounmpo (bad pass; steal by T. Splitter)
9:37.0,Shooting foul by K. Middleton (drawn by K. Leonard),,2-6,,
9:37.0,K. Leonard makes free throw 1 of 2,1,3-6,,
9:37.0,K. Leonard makes free throw 2 of 2,1,4-6,,
9:25.0,,,4-6,,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard)
9:14.0,D. Green misses 2-pt shot from 18 ft,,4-6,,
9:12.0,,,4-6,,Defensive rebound by Z. Pachulia
