time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. M. Plumlee (J. Jack gains possession),,,,Jump ball: L. Amundson vs. M. Plumlee (J. Jack gains possession)
11:48.0,Personal foul by C. Anthony (drawn by J. Johnson),,0-0,,
11:43.0,,,0-0,,M. Plumlee misses 2-pt shot from 7 ft
11:42.0,Defensive rebound by C. Anthony,,0-0,,
11:24.0,L. Amundson misses 2-pt shot from 12 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by A. Anderson
11:04.0,,,0-2,2,K. Garnett makes 2-pt shot from 15 ft
10:43.0,L. Galloway makes 2-pt shot from 2 ft (assist by J. Calderon),2,2-2,,
10:20.0,,,2-4,2,K. Garnett makes 2-pt shot from 19 ft (assist by A. Anderson)
10:01.0,J. Smith makes 2-pt shot from 2 ft (assist by L. Galloway),2,4-4,,
9:45.0,Personal foul by L. Amundson (drawn by M. Plumlee),,4-4,,
9:36.0,,,4-6,2,J. Jack makes 2-pt shot from 17 ft (assist by K. Garnett)
9:13.0,J. Smith misses 2-pt shot from 18 ft,,4-6,,
9:12.0,,,4-6,,Defensive rebound by J. Johnson
9:04.0,,,4-8,2,A. Anderson makes 2-pt shot from 13 ft (assist by J. Jack)
9:04.0,,,4-8,,Shooting foul by L. Galloway (drawn by A. Anderson)
9:04.0,,,4-8,,A. Anderson misses free throw 1 of 1
9:03.0,Defensive rebound by J. Smith,,4-8,,
8:47.0,J. Calderon makes 2-pt shot from 20 ft (assist by L. Amundson),2,6-8,,
8:31.0,,,6-8,,J. Johnson misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by J. Calderon,,6-8,,
8:20.0,J. Smith misses 2-pt shot from 18 ft,,6-8,,
8:19.0,,,6-8,,Defensive rebound by J. Johnson
8:11.0,,,6-10,2,J. Jack makes 2-pt shot from 13 ft
7:49.0,C. Anthony misses 2-pt shot from 19 ft,,6-10,,
7:47.0,,,6-10,,Defensive rebound by A. Anderson
7:31.0,,,6-10,,A. Anderson misses 3-pt shot from 24 ft
7:30.0,Defensive rebound by L. Amundson,,6-10,,
7:12.0,J. Calderon misses 3-pt shot from 24 ft,,6-10,,
7:11.0,,,6-10,,Defensive rebound by K. Garnett
6:59.0,,,6-10,,Shooting foul by J. Calderon (drawn by J. Jack)
6:59.0,,,6-11,1,J. Jack makes free throw 1 of 2
6:59.0,,,6-12,1,J. Jack makes free throw 2 of 2
6:38.0,J. Calderon misses 2-pt shot from 16 ft,,6-12,,
6:37.0,,,6-12,,Defensive rebound by J. Johnson
6:33.0,,,6-12,,Shooting foul by L. Amundson (drawn by M. Plumlee)
6:33.0,,,6-12,,M. Plumlee misses free throw 1 of 2
6:33.0,,,6-12,,Offensive rebound by Team
6:33.0,New York full timeout,,6-12,,
6:33.0,A. Stoudemire enters the game for L. Amundson,,6-12,,
6:33.0,,,6-13,1,M. Plumlee makes free throw 2 of 2
6:17.0,C. Anthony misses 2-pt shot from 1 ft (block by K. Garnett),,6-13,,
6:16.0,Offensive rebound by A. Stoudemire,,6-13,,
6:15.0,A. Stoudemire makes 2-pt shot at rim,2,8-13,,
5:58.0,,,8-15,2,J. Johnson makes 2-pt shot from 3 ft
