time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession)
11:46.0,,,0-2,2,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol)
11:26.0,L. Aldridge misses 2-pt shot from 21 ft,,0-2,,
11:26.0,Offensive rebound by Team,,0-2,,
11:26.0,,,0-2,,Loose ball foul by M. Gasol (drawn by R. Lopez)
11:10.0,D. Lillard makes 2-pt shot from 8 ft,2,2-2,,
10:52.0,,,2-2,,Turnover by M. Conley (bad pass; steal by R. Lopez)
10:45.0,A. Crabbe makes 3-pt shot from 23 ft (assist by N. Batum),3,5-2,,
10:19.0,,,5-2,,Z. Randolph misses 2-pt shot from 7 ft
10:16.0,Defensive rebound by L. Aldridge,,5-2,,
10:01.0,L. Aldridge makes 3-pt shot from 25 ft (assist by R. Lopez),3,8-2,,
9:43.0,,,8-2,,M. Gasol misses 2-pt shot from 14 ft
9:42.0,Defensive rebound by L. Aldridge,,8-2,,
9:34.0,R. Lopez makes 2-pt shot from 6 ft (assist by N. Batum),2,10-2,,
9:09.0,,,10-2,,M. Gasol misses 2-pt shot from 6 ft
9:08.0,Defensive rebound by D. Lillard,,10-2,,
9:02.0,Turnover by D. Lillard (bad pass; steal by C. Lee),,10-2,,
8:59.0,,,10-2,,Z. Randolph misses 2-pt shot from 2 ft (block by A. Crabbe)
8:56.0,,,10-2,,Offensive rebound by C. Lee
8:56.0,,,10-4,2,C. Lee makes 2-pt shot from 1 ft
8:43.0,D. Lillard misses 3-pt shot from 27 ft,,10-4,,
8:42.0,,,10-4,,Defensive rebound by M. Gasol
8:25.0,,,10-4,,M. Gasol misses 2-pt shot from 9 ft
8:24.0,Defensive rebound by L. Aldridge,,10-4,,
8:11.0,D. Lillard misses 2-pt shot from 13 ft,,10-4,,
8:10.0,Offensive rebound by N. Batum,,10-4,,
8:10.0,Turnover by N. Batum (bad pass),,10-4,,
7:58.0,,,10-7,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
7:31.0,L. Aldridge makes 2-pt shot at rim,2,12-7,,
7:11.0,,,12-7,,M. Gasol misses 2-pt shot from 14 ft
7:10.0,Defensive rebound by N. Batum,,12-7,,
7:00.0,N. Batum misses 2-pt shot from 13 ft,,12-7,,
6:59.0,Offensive rebound by R. Lopez,,12-7,,
6:59.0,R. Lopez misses 2-pt shot from 1 ft,,12-7,,
6:58.0,Offensive rebound by R. Lopez,,12-7,,
6:58.0,Jump ball: C. Lee vs. R. Lopez,,,,Jump ball: C. Lee vs. R. Lopez
6:58.0,,,12-7,,Violation by Team (jump ball)
6:44.0,N. Batum misses 2-pt shot from 1 ft,,12-7,,
6:42.0,Offensive rebound by L. Aldridge,,12-7,,
6:40.0,N. Batum makes 2-pt shot from 1 ft,2,14-7,,
6:27.0,,,14-9,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
6:10.0,L. Aldridge makes 2-pt shot from 21 ft,2,16-9,,
5:54.0,,,16-12,3,C. Lee makes 3-pt shot from 23 ft (assist by Z. Randolph)
5:30.0,L. Aldridge makes 2-pt shot from 17 ft,2,18-12,,
5:07.0,,,18-12,,Z. Randolph misses 2-pt shot from 13 ft
5:06.0,Defensive rebound by D. Lillard,,18-12,,
4:52.0,Turnover by N. Batum (lost ball; steal by M. Gasol),,18-12,,
4:52.0,,,18-12,,M. Conley misses 2-pt shot at rim (block by D. Lillard)
4:52.0,,,18-12,,Offensive rebound by Team
4:52.0,,,18-12,,Memphis full timeout
4:52.0,,,18-12,,J. Green enters the game for T. Allen
4:52.0,C. McCollum enters the game for R. Lopez,,18-12,,
4:52.0,M. Leonard enters the game for A. Crabbe,,18-12,,
4:44.0,,,18-12,,M. Gasol misses 2-pt shot from 13 ft
4:41.0,Defensive rebound by M. Leonard,,18-12,,
4:29.0,N. Batum misses 3-pt shot from 25 ft,,18-12,,
4:28.0,,,18-12,,Defensive rebound by M. Gasol
4:14.0,,,18-12,,C. Lee misses 2-pt shot from 1 ft
4:14.0,,,18-12,,Offensive rebound by Team
4:10.0,,,18-14,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
4:10.0,,,18-14,,Shooting foul by N. Batum (drawn by M. Gasol)
4:10.0,,,18-15,1,M. Gasol makes free throw 1 of 1
3:46.0,L. Aldridge misses 2-pt shot from 22 ft,,18-15,,
3:45.0,,,18-15,,Defensive rebound by M. Conley
3:36.0,,,18-15,,Z. Randolph misses 2-pt shot from 1 ft
3:34.0,Defensive rebound by M. Leonard,,18-15,,
3:26.0,Shooting foul by C. Lee (drawn by D. Lillard),,18-15,,
3:26.0,D. Lillard misses free throw 1 of 2,,18-15,,
3:26.0,Offensive rebound by Team,,18-15,,
3:26.0,D. Lillard makes free throw 2 of 2,1,19-15,,
3:14.0,,,19-15,,C. Lee misses 2-pt shot at rim
3:12.0,Defensive rebound by L. Aldridge,,19-15,,
3:03.0,C. McCollum makes 2-pt shot from 6 ft,2,21-15,,
2:49.0,Personal foul by D. Lillard (drawn by M. Conley),,21-15,,
2:49.0,Portland full timeout,,21-15,,
2:49.0,,,21-15,,K. Koufos enters the game for M. Gasol
2:49.0,,,21-15,,B. Udrih enters the game for M. Conley
2:49.0,R. Lopez enters the game for L. Aldridge,,21-15,,
2:36.0,,,21-15,,J. Green misses 2-pt shot from 6 ft
2:34.0,Defensive rebound by M. Leonard,,21-15,,
2:26.0,C. McCollum misses 3-pt shot from 25 ft,,21-15,,
